MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
20427,Georg Wilhelm Tiarks,Georg Wilhelm Tiarks (1803-1848),1803,1848,Mitgleider der Zinngießerfamilie Tiarks. Tätig in Jever.,piz,male,,
313882,Druckerei Hugo Meyer,Druckerei Hugo Meyer,,,Druckerei in Waltershausen in Thüringen (nachgewiesen 1925),kif,,+,
157228,Fritz Engel (Schreibwarenhändler),Fritz Engel (Schreibwarenhändler),,,"Zeitschriften - Schreibwaren Händler, Hersteller und Verkäufer von Postkarten in Koblenz-Güls",piz,male,+,
314209,Gerhard Silwedel (Cellist),Gerhard Silwedel (Cellist) (1903-1982),1903,1982,"Gerhard Gustav Silwedel, deutscher Violoncellist, geb. 16. 3. 1903 Landsberg/Warthe, gest. 22. 11. 1982 Berlin-Wilmersdorf (Quelle: Sterbeurkunde), Sohn des Musikalienverlegers Hermann Silwedel (Quelle: Geburtsurkunde), 1937/38 nachgewiesen in Potsdam (1937 Solocellist, 1938 Kapellmeister)",piz,male,+,https://d-nb.info/gnd/134743334
10737,"Verlagsanstalt Kosmos, Halberstadt","Verlagsanstalt Kosmos, Halberstadt",,,"Verlag in Halberstadt, gab ca. 1900-1920 Ansichtskarten heraus",piz,,+,
201877,Metalurgica Magnano S.A.I.C.I.F.,Metalurgica Magnano S.A.I.C.I.F.,,,Argentinischer Landmaschinenhersteller,kif,,+,
340769,Handwerker-Innung für das Elektrohandwerk in Berlin,Handwerker-Innung für das Elektrohandwerk in Berlin,,,Handwerks-Innunng in Berlin,kiz,,+,
150626,Günter Riedel,Günter Riedel (1926-2015),1926,2015,"Ehemann von Christa Riedel, geb. Hartwich (1929-2015), Mitbegründer der Stiftung Riedel-Hartwich, Havelberg.",piz,male,+,
207307,Karl Haug (Autor),Karl Haug (Autor),,,Autor von Unterrichtsmaterialien und Arbeitsbüchern zu humanbiologischen Fragen.,piz,male,+,
315878,Claudia Esch-Kenkel,Claudia Esch-Kenkel (1950-),1950,,"deutsche Fotografin, geb. 1950 Berlin",piz,,+,https://d-nb.info/gnd/1207559652
181809,Friedrich Carl Schubert,Friedrich Carl Schubert (1826-1883),1826,1883,"""Professor für Baukunde und Mathematik"" - gnd, 17.07.2022

""Der Baumeister Karl Friedrich Schubert (Breslau 1826–1883 Bonn) war Kommunalbaumeister mehrerer rheinischer Kreise seit 1856, später Professor an der landwirtschaftlichen Hochschule Bonn (Werke: Bliesheim, 1860–1863; Kirchheim, 1868–1870; Erp, 1872–1873; Ersdorf, 1877–1879; Effelsberg, 1881)."" - https://dewiki.de/Lexikon/St._Martinus_(Kirchheim), 17.07.2022",piz,male,+,https://d-nb.info/gnd/142049514
225862,Ernst Vogel (Müllermeister),Ernst Vogel (Müllermeister) (1883-1961),1883,1961,"Wilhelm Adolph Ernst Vogel, Rufnahme Ernst, wurde am 10. April 1883 in Beelitz geboren. Er stammt aus der Müllerdynastie Vogel in Beelitz und war ab 1921 Besitzer und Betreiber der Wassermühle Vogel in Beelitz. 1922 heiratet er Emma Wilke, mit der er 1925 die Tochter Margarete bekommt. Nach dem frühen Tod seiner ersten Frau Emma (1928) heiratet er 1930 Martha Kuhle. Aus der Ehe gehen keine weiteren Kinder hervor.",piz,male,+,
17666,Johann Friedrich Wiese,Johann Friedrich Wiese,,,"Lehrer und Conrector an der Stadt- und Bürgerschule in Fürstenwalde (1. H. 19. Jh.)

""... Am 12. August 1800 starb der Conrector emeritus Bürger zu Müllrose, und nun wurde der bisherige Adjunctus Jäger wegen seiner Kränklichkeit emeritirt. Am 14. August 1802 ernannte das Consistorium, welchem der Magistrat für diesmal das jus patronatus deshalb abtrat, weil dasselbe 90 Rthlr. zu dem Concrectorgehalte zuschoß, damit die beiden Conrectoren leben konnten, den Candidaten der Theologie Johann Friedrich Wiese zum Conrector. Als aber 1816 der Wiese als Diaconus und Rector nach Storkow berufen wurde, so trat der Candidat der Theologie Zehe in diese Stelle, und wurde am 23. Juli 1816 introducirt."" - Golz, G. F. G., Diplomatische Chronik der ehemaligen Residenzstadt der Lebusischen Bischöfe Fürstenwalde, Fürstenwalde 1837, S. 428-429",piz,male,+,
144168,Wohlgemuth (Furtwangen),Wohlgemuth (Furtwangen),,,"Firma in Furtwangen, die Reizstromgeräte für medizinische Zwecke herstellte.",kif,,+,
14689,Georg Kallmeyer Verlag,Georg Kallmeyer Verlag,,,"Verlag in Wolfenbüttel, gegr. 1925 (gnd)",kif,,+,http://d-nb.info/gnd/5176974-8
72553,Beamten-Wohnungsverein zu Potsdam,Beamten-Wohnungsverein zu Potsdam,,,1903 gegründete Wohnungsbaugenossenschaft,kif,,+,
