MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
275896,"Ernst Jaenisch (Buch-, Kunst- und Musikalienhandlung)","Ernst Jaenisch (Buch-, Kunst- und Musikalienhandlung)",,,"Firma in Berlin-Rummelsburg, ca. 1900-1910",kif,,+,
30838,Cornelius Wilhelm van den Bosch,Cornelius Wilhelm van den Bosch (1736-1789),1736,1789,aus einer holländischen Familie stammender Hofzimmermeister und Erbauer der Mühle von Sanssouci,piz,male,+,
345371,Gisela Nehring-Knab,Gisela Nehring-Knab,,,Buchautorin (1994 erwähnt),piz,female,+,
34677,Atelier d'Art Fauré,Atelier d'Art Fauré,,,"Kunstemail-Atelier in Limoges (Frankreich), eröffnet 1919 von Camille Fauré",kif,,+,
271421,Ödön Schmid,Ödön Schmid (1864-1922),1864,1922,ungarischer Ingenieur,piz,male,+,
274131,Schaffer (Berlin),Schaffer (Berlin),,,"Fotograf in Berlin
""Bln. Fried., Gutsmutsstr. 20""
(nachgewiesen 1930)",piz,,,
267617,Messerschmiede Conrad Kaufmann (Tuttlingen),Messerschmiede Conrad Kaufmann (Tuttlingen),,,Die Messerschmiede bestand um 1900 in der Bismarckstraße 7 in Tuttlingen.,kif,,+,
22156,Robert Ebert (Schmied),Robert Ebert (Schmied),,,"Bergschmied in Neustädtel, 20. Jh.",piz,male,+,
339630,Borromäusverein Bonn,Borromäusverein Bonn,,,1845 gegründeter Bildungsverein,kiz,,+,
133507,Joseph Wood (Stecher),Joseph Wood (Stecher) (1720-1763),1720,1763,"""Also known as
 Joseph Wood 
 primary name: primary name: Wood, Joseph 
 other name: other name: Wood, John 
Details
 individual; printmaker; British; Male 
Life dates
 1720-1763/64 
Address
 James Street, Covent Garden 
Biography
 Engraver. Pupil of Chatelain, and often worked for Arthur Pond (qq.v.). His christian name is given as John in the standard dictionaries, but Mortimer's Directory, 1763 calls him Joseph, describing him as landscape engraver, remarkable also for engraving horses, of James Street, Covent Garden. He was presumably dead by 19 March 1764 when the Prints etc of Mr Joseph Wood, Engraver of James Street, were sold by auction at Darres print shop. 
Bibliography
 Information from David Alexander. "" - https://www.britishmuseum.org/collection/term/BIOG51562, 28.05.2022",piz,male,+,
59911,Iulius Saturninos (Priene),Iulius Saturninos (Priene),,,"""Archon in Priene unter Valerianus I.
Lit.: K. Regling, Die Münzen von Priene (1927) 159; W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 799."" - https://ikmk.smb.museum/object?id=18220481, 26.04.2019",piz,,+,
35117,Angelo Bottinelli (Kunsthändler),Angelo Bottinelli (Kunsthändler) (1759-1839),1759,1839,"""Wirkungsdaten: 1789-1826 ... Wirkungsort: Kassel, Wirkungsort: Göttingen (1789) ... Kunsthändler, Maler"" - gnd, 31.12.2017

""Ein erster Hinweis auf die Existenz eines Kunsthändlers in der Stadt findet sich in einem Gesuch eines Angelo Bottinelli, der sich um das Prädikat als „akademischer Kunsthändler“ in hiesigen Landen tätig zu werden bemühte, und am 8. Oktober 1803 das erforderliche Privileg des Kurfürsten erhielt."" Marianne Heinz, ""Die Kunstakademie in Kassel"", in: Heide Wunder, Christina Vanja und Karl-Hermann Wegner (Hrsg.), ""Kassel im 18. Jahrhundert. Residenz und Stadt"", S. 212-228 - S. 224",piz,male,+,http://d-nb.info/gnd/1069084808
