MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
270768,Hans Ulrich Eylau,Hans Ulrich Eylau (1909-1982),1909,1982,"Filmkritiker, Theaterkritiker, Journalist. Zunächst Kulturjournalist für Theater, Literatur und Film, später Schwerpunkt im Filmleben der DDR mit Aufsätzen, Porträts und Kritiken.",piz,male,+,https://d-nb.info/gnd/10551246X
130154,Jean Baptiste de Bisthoven,Jean Baptiste de Bisthoven (1603-1655),1603,1655,"""Aus Antwerpen; Jesuit u. Rektor der Universität von Aalst"" - gnd, 26.05.2021",piz,male,+,https://d-nb.info/gnd/1025230000
346958,F. W. Contessa (Zeichner),F. W. Contessa (Zeichner),,,"Zeichner, nachgewiesen um 1820",piz,male,+,
148431,Polizei-Direktion der Stadt Buxtehude,Polizei-Direktion der Stadt Buxtehude,,,"Leitende Polizeibehörde in Buxtehude, nachgewiesen 1926",kio,,+,
74841,Felix Porton,Felix Porton (1892-),1892,,"Felix Porton, geboren am 10.2.1892 in Löwen, war ein belgischer (flämischer) Zigarrenmacher, der während des Ersten Weltkriegs im Kriegsgefangenenlager Münster (Westfalen) interniert war.",piz,male,+,
193862,Carl Eduard Grünler,Carl Eduard Grünler (1799-1879),1799,1879,Hofmaler und Zeichner,piz,male,+,
9052,Karl Stadelmann,Karl Stadelmann (1880-1964),1880,1964,"""Nach seiner Schulausbildung erlernte er den Beruf des Hilfspräparators am Naturkunde-Museum in Berlin, ging 1901 als Präparator an das Zoologische Institut der Universität Gießen und wurde 1908 nach Mainz verpflichtet. Unter W. von Reichenau - zusammen mit O. Schmidtgen - baute er bei der Neueinrichtung des städtischen Museums, ab 1909, die bekannten 17 Säugetiergruppen auf, die bis zu ihrer Zerstörung im 2. Weltkrieg ein Anziehungspunkt des Museums waren."" (https://www.zobodat.at/biografien/Mitt-Rhein-naturforsch-Ges_1986-1992.pdf, 07.09.2022)

Karl Stadelmann (1880-1964) arbeitete ab dem 1. Juli 1908 am Naturhistorischen Museum Mainz als Konservator. Zuvor war er am zoologischen Institut der Universität Gießen beschäftigt.
Nach dem Tod des Direktors Eduard Schertz am 8. Juli 1941 führte Stadelmann das Museum gemeinsam mit dem Wissenschaftler Friedrich Ohaus, bevor am 1. Januar 1944 Wilhelm Weiler als Nachfolger von Schertz die Direktorenstelle antrat.",piz,male,+,
201366,Hans Kunert (Maler),Hans Kunert (Maler),,,"Malte Schiffsportrait, nachgewiesen für 1970er Jahre",piz,male,+,
222947,Fritz Keller,Fritz Keller (1897-),1897,1967,"Fritz Keller erlernte das Holz- und Weinküfer Handwerk und erbaute im Jahre 1933/34 das bis heute noch größte Weinfass der Welt, das berühmte Dürkheimer Riesenfass. Fritz Keller gründete aus dem Betrieb die »Kellerei Keller«",piz,male,,
11038,Curt Fischer (Mahlwinkel),Curt Fischer (Mahlwinkel),,,"Einwohner von Mahlwinkel, 2. H. 20. Jh.",piz,male,+,
