MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
280406,Frank Neubauer (Zeichner),Frank Neubauer (Zeichner) (1952-),1952,,"deutscher Künstler, Zeichner, geb. 1952 Hamm-Rhynern",piz,male,+,
252439,Lena Schirrmeister,Lena Schirrmeister (1990-),1990,,"Deutsche Bildhauerin, Medailleurin
Geb. in Berlin",piz,female,+,
181207,Etablissement Jules Fonson,Etablissement Jules Fonson,,,Medaillenherstellendes Unternehmen in Brüssel.,kif,,+,
3233,"Komitee für Frieden, Abrüstung und Zusammenarbeit Kaiserslautern","Komitee für Frieden, Abrüstung und Zusammenarbeit Kaiserslautern",,,Teil der Friedensbewegung.,kiz,,+,
199424,AG Essen-Arensberger Bergbau-Gesellschaft,AG Essen-Arensberger Bergbau-Gesellschaft,,,"Um neue Mittel für Bergbau im Gebiet des Herzogs von Arensberg einzuwerben gründete man die AG Essen-Arensberger Bergbau-Gesellschaft. 1860 wurde für den Betrieb der erstellten Anlagen eine AG gegründet. 1865 erfolgte die Umwandlung in eine Gewerkschaft. 1873 wurden die Kohlefelder der Gesellschaft in die AG Steinkohlenbergwerk Norstern eingebracht, die 1907 an die AG Phönix angegliedert wurde.",kif,,+,
282667,Wolf-Peter Schwarz,Wolf-Peter Schwarz (1942-),1942,,"Deutscher Goldschmied, tätig in Ulm.",piz,male,+,https://d-nb.info/gnd/1131365348
339107,Johannes Müller sen. (Dürkheim),Johannes Müller sen. (Dürkheim) (1767-),1767,,Bürger in Dürkheim 1797,piz,male,+,
28069,Agilino (Mainz),Agilino (Mainz),,,"""Merowingischer Monetar in Mainz ca. 620-640.
Zum Monetarnamen Agilino/Agilinus s. E. Felder, Die Personennamen auf den merowingischen Münzen der Bibliothèque nationale de France (2003) 48 f."" - https://ikmk.smb.museum/object?id=18207595, 25.05.2019",piz,,+,
9743,Wolfgang Sellenthin,Wolfgang Sellenthin (1933-),1933,,Diplom-Journalist,piz,male,+,http://d-nb.info/gnd/107341611
77410,M. Engel und Sohn,M. Engel und Sohn,,,K. K. Hof-Buchdruckerei und Hof-Lithografie in Wien,kif,,+,
144896,Orthopädische Versorgungsstelle Königsberg,Orthopädische Versorgungsstelle Königsberg,,,Einrichtung in Königsberg im Kontext des zweiten Weltkrieges.,kio,,+,
311076,Bärbel Seifert,Bärbel Seifert (1962-),1962,,"Spanbaumkreationen Bärbel Seifert, Hauptstraße 176, 09548 Seiffen",piz,female,+,
31198,Mappin & Webb (London),Mappin & Webb (London),,,"Unternehmen in London, unklar, ob identisch mit dem gleichnamigen, 1775 gegr., bedeutenden Gold- und Silberschmiedegeschäft",kif,,+,
74431,Albrecht Langenbach,Albrecht Langenbach (1944-2024),1944,,"Bankkaufmann, Heimatforscher, Chronist, Gründungsmitglied des Kulturvereins Guntersblum.",piz,male,,
311397,Heinrich Loch,Heinrich Loch (1937-),1937,,Langjähriger Masseur des 1. FC Kaiserslautern. Genannt Henri.,piz,male,+,
157229,Adolf Wagner (Gartenbaudirektor),Adolf Wagner (Gartenbaudirektor) (1817-1893),1817,1893,"Gartenbaudirektor in Stuttgart. Plante u. a. die Gartenbau-Ausstellung 1870 und die Anlage des Pragfriedhofs. (https://www.stadtlexikon-stuttgart.de/article/d9ca6f5c-517f-4fd5-8fbf-d8ddab6470c7/Pragfriedhof.html, 28.12.2020)",piz,male,+,
241580,Turn und Sportgemeinschaft Klingenthal,Turn und Sportgemeinschaft Klingenthal,,,Sportverein in Klingenthal,kiz,,+,
234857,Druckerei Olbernhau GmbH,Druckerei Olbernhau GmbH,,,Druckerei in Olbernhau.,kif,,+,
205409,E. Breuninger GmbH & Co. (Stuttgart),E. Breuninger GmbH & Co. (Stuttgart),,,Handelsunternehmen in Stuttgart.,kif,,+,https://d-nb.info/gnd/5253700-6
336910,Ruth Weidenbach,Ruth Weidenbach,,,Erfinderin des Pedalo (1962 nachgewiesen),piz,female,+,
207004,Carl Koehler junior (Darmstadt),Carl Koehler junior (Darmstadt),,,"1857 gegründete Sortimentsbuchhandel, Kunsthandlung, Musikalienhandlung und Verlag, wurde am 17.04.1863 verkauft;
firmierte zuvor unter dem Namen: Gustav Georg Lange (Darmstadt),
nach 1863: Koehler's Buch-, Kunst- & Musikalienhandlung F. L. Schorkopf (Darmstadt)
nach 1863: Carl Köhler (Verlag)",kif,,+,https://d-nb.info/gnd/1072932369
308810,Willi Rulf,Willi Rulf (1889-1961),1889,1961,"Willi Rulf war seit 1.10.1912 Registrator und Kalkulator, seit 1.3.1914 Inspektor bei der Königlichen Akademie der Künste zu Berlin, von 1948 bis 1955 Verwaltungsdirektor der Hochschule für bildende Künste Berlin.",piz,male,+,
46795,Edward Taurines,Edward Taurines,,,"Fotograf in Bombay, aktiv zwischen 1885 und 1902.",piz,male,+,
183526,Nicholai Iossa,Nicholai Iossa,,,""" Iossa, Nicholai	
Münzmeister in St. Petersburg von 1848 bis 1877.
Iossa signiert mit seinen Initialen HI.
Lit.: T. Michael - T. L. Schmidt, Standard Catalogue of World Coins 1801-1900. 9. Auflage (2019) 1065.- https://ikmk.smb.museum/ndp/person/11957",piz,male,+,
72315,Philipp Arnold (Bürgermeister),Philipp Arnold (Bürgermeister),,,Bürgermeister von Edenkoben in den Jahren 1849-1851 und 1865-1877.,piz,male,+,
80929,Liebich & Co.,Liebich & Co.,,,"Brotfabrik in Wien-Kagran, 1920er Jahre",kif,,+,
137166,Jeremias Winckler (Kupferstecher),Jeremias Winckler (Kupferstecher),,,"Kupferstecher, wirkte 1675 in Breslau",piz,,+,http://d-nb.info/gnd/115209291X
9872,"Warsteiner Gruben- und Hüttenwerke, Zweigwerk Holzhausen","Warsteiner Gruben- und Hüttenwerke, Zweigwerk Holzhausen",,,Zweigwerk Holzhausen (bei Homberg/Efze) der Warsteiner Gruben- und Hüttenwerke,kif,,+,
