339332,Oceanic Electronics Corporation,Oceanic Electronics Corporation,,,"Hersteller von Computerhardware in Taiwan, kaum dokumentiert",kif,,+,
15307,"Aktiengesellschaft für Druck und Verlag, vorm. Gebr. Gotthelft, Kassel","Aktiengesellschaft für Druck und Verlag, vorm. Gebr. Gotthelft, Kassel",,,Kasseler Verlag,kif,,+,
35542,Wendelin Wick (Drucker),Wendelin Wick (Drucker),,,"Drucker, tätig in: München und Freiburg im Breisgau, Wirkungsdaten: 1840-1845 (gnd, 31.01.2019)",piz,male,+,http://d-nb.info/gnd/1154539237
222788,Zimmermann Berndorfer Fleischwerke AG,Zimmermann Berndorfer Fleischwerke AG,,,"Fleischverarbeitender Betrieb in Berndorf, Niederösterreich. Bis 1948 aktiv. Zeitweilig bis zu 1200 Angestellte.",kif,,+,
40987,"Spindler (Familie, Tischler)","Spindler (Familie, Tischler)",,,"Familie von Tischlern, die u.a. für den preußischen Hof arbeiteten. 
Dt. Tischlerfamilie seit 18. Jh. aus Bayreuth, später in Potsdam.",pif,,+,
63858,Stadt Bergzabern,Stadt Bergzabern,,,Verwaltung der Stadt Bergzabern,kio,,+,
324629,Nikolaus Lenhardt,Nikolaus Lenhardt (1931-1999),1931,1999,"Nikolaus Lenhardt heiratete 1955 Anna Remy. Die Familie lebte zunächst in Kreuzkirchen/Cruceni. 1965 zog sie nach Arad um, wo sie ein Haus gebaut hatte, damit die Kinder die Möglichkeit hatten, ab der 5. Klasse eine deutsche Schule zu besuchen. (In Kreuzstätten hatte die deutsche Schule nur vier Klassen.)
1983 emigrierten sie aus Arad nach Deutschland, wo bereits Verwandte wohnten.",piz,male,+,
154829,Tânia Maria,Tânia Maria,,,"Musikgruppe, nachgewiesen für 1991",kim,,+,
336744,Eugen Wilke,Eugen Wilke (1850-1898),1850,1898,Regierungsrat beim königlichen Eisenbahnbetriebsamt Hamburg,piz,male,+,
88641,Schwarzkopf & Henkel GmbH,Schwarzkopf & Henkel GmbH,,,"""Die Schwarzkopf und Henkel GmbH ist als Teil der Henkel AG & Co. KGaA mit Hauptsitz in Düsseldorf-Holthausen weltweit mit ihren haarpflegenden Produkten vertreten. Seit mehr als 100 Jahren steht das Unternehmen unter anderem für Qualität, Kompetenz und Innovation in der Haarkosmetik und widmet sich dem Vertrieb von chemischen, therapeutischen und pharmazeutischen Erzeugnissen für die Haarpflege.
Der Henkel-Konzern wurde 1876 von dem Unternehmer Fritz Henkel in Aachen gegründet. Zunächst startete er mit dem Verkauf von Waschmittel, brachte er bereits 1903 das erste Haarwaschpulver auf den Markt und bot somit eine Alternative zu der sonst verwendeten Kernseife."" - https://www.shop-apotheke.com/hersteller/schwarzkopf-henkel-gmbh, 18.12.2020",kif,,+,
