127950,Georg Ludwig Winter,Georg Ludwig Winter (-1772),,1772,"""† vor Juni 1772, Verleger. Winter begründete seinen (nicht allein auf Musik konzentrierten) Verlag im Jahre 1750 in Berlin und arbeitete als erster Drucker außerhalb Leipzigs mit dem von Joh. G. I. Breitkopf 1755 vorgestellten neuen Typendruckverfahren. ... Nach seinem Tode übernahm Fr. Wilh. Birnstiel Teile der nichtmusikalischen Produktion, während der Verlag seit Juni 1772 unter der Firma G. L. Winters Wittwe und Erben (seit Jan. 1787 unter G. L. Winters Wittwe) fortgeführt wurde. Ende 1787 erlosch die Firma, und die Musikalien gingen an Joh. C. Fr. Rellstab über."" - https://www.mgg-online.com/article?id=mgg13915&v=1.0&rs=mgg13915, 17.12.2020",piz,male,+,http://d-nb.info/gnd/1037495829
159190,Egon Kunz,Egon Kunz,,,"Dipl.-Ing., Regierungsbaudirektor (nachgewiesen 1992)",piz,male,,
211516,"Prosi, Henri",Prosi Henri (1936-2010),1936,2010,French painter,piz,male,+,
157110,Andreas (Seliger),Andreas (Seliger) (-936),,936,"Der Selige Andreas war Sklave des angesehenen Beamten Theognostos in Konstantinopel, der ihm aufgrund seiner Begabung Unterricht zuteil werden und ihn als Notar ausbilden ließ, um ihm die Leitung seines Hauses und die Verwaltung seines Vermögens zu übertragen. Der Hl. Andreas kam durch die Lektüre von Heiligenleben und durch seine Freundschaft zu Nikephoros, einem Presbyter der Sophienkirche, zum christlichen Glauben. Die Bekehrung im Alter von etwa 36 Jahren endete damit, dass er beschloss, sich zum,Narren um Christi Willen zu machen. Er verbrachte nun sein ganzes Leben auf den Gassen von Konstantinopel. In der Kirche zu Blachernae ward er gewürdigt, die Mutter Gottes zu sehen, die für die bedrohten Christen der Stadt betete und sie mit ihrem Schultertuch deckte. Der Selige Andreas starb im Jahre 936. orthopedia.de, 31.12.2020",piz,male,+,
142696,Da Chongguang,Da Chongguang (1623-1692),1623,1692,"Da Chongguang 笪道光 (1623 - 1692), chinesischer Maler des 17. Jahrhundert",piz,,+,
347736,Christian Felix,Christian Felix (1723-1796),1723,1796,"""Zu Christian Felix (* 22. Dezember 1723; † 5. August 1796) ist nicht bekannt, bei wem er das Handwerk des Glockengießers erlernte. Er betrieb anfangs in Feldkirch keine eigene Gießerei. Um 1768 lebt und arbeitet er in Chur, wo er mit Johannes Schmid zusammenarbeitet. 1768 ist er in Feldkirch ein selbstständiger Gießer.""! - https://austria-forum.org/af/AustriaWiki/Felix_%28Glockengie%C3%9Fer%29 (11.04.2026)",piz,male,+,
293488,Adelheid Koenigs,Adelheid Koenigs (1880-1945),1880,1945,"""Adelheid Koenigs (* 1880, † 1945) war die letzte Schlossherrin des Sinziger Schlosses. Am Standort der Skulptur „Das alte und das junge Sinzig“ in den Anlagen zwischen HoT und Schloss, die während der Nazizeit den Namen „Dr.-Goebbels-Anlagen"" trugen[1] stand einst eine von Adelheid Koenigs geschaffene Bronzeplastik „Der Dornzieher“. Sie fiel im Zweiten Weltkrieg der Metallsammlung zum Opfer."" - https://www.aw-wiki.de/index.php/Adelheid_Koenigs, 30.12.2024",piz,female,+,
8612,Heinrich I. Rößing,Heinrich I. Rößing,,,"Dr. med. Heinrich I. Roessing, Arzt aus Rhede, Münsterstraße (2. H. 20. Jh.)",piz,male,+,
234580,Paul Bohrdt,Paul Bohrdt (1841-),1841,,Bruder des Marinemalers Hans Bohrdt.,piz,male,+,
220569,Friedrich Kurscheidt,Friedrich Kurscheidt (1874-1942),1874,1942,Lehrer in Bonn,piz,male,+,
128784,Anthonius Carli,Anthonius Carli (1647-1717),1647,1717,"""dt. Maler; Hofmaler des Kölner Kurfürsten Heinrich Maximilian von Bayern und Köln"" - gnd, 01.09.2024",piz,male,+,https://d-nb.info/gnd/1052841309
49969,Sam Phillips (Kupferstecher),Sam Phillips (Kupferstecher),,,Stach nach Gemälde von William Hogarth,piz,,+,
65902,Timokles (Alabanda),Timokles (Alabanda),,,"""Magistrat in Alabanda in Karien zwischen ca. 197 und 189 v. Chr.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 846."" - http://www.mkfrankfurt.uni-frankfurt.de/object?lang=de&id=ID340, 26.02.2019",piz,,+,
49070,H. Fricke (Fotograf),H. Fricke (Fotograf),,,"H. Fricke (Nachweiszeit: 1865 - 1884), Herstellung, Fotograf",piz,,+,
327853,Hochschule für Architektur und Bauwesen Weimar (1954-1996),Hochschule für Architektur und Bauwesen Weimar (1954-1996),,,Hochschule in Weimar 1954-1996,kio,,+,https://d-nb.info/gnd/37390-4
236314,Frederick Loeser,Frederick Loeser (1833-1911),1833,1911,"""Frederick Loeser & Co. war ein großes Kaufhaus in Brooklyn, New York. Ihr Hauptgeschäft in der Fulton Street 484 war 65 Jahre lang eines der wichtigsten Wahrzeichen von Brooklyn. Das Geschäft wurde im Februar 1952 geschlossen.

Das 1860 von dem deutschen Einwanderer Frederick Loeser (1833-1911) unter dem Namen Loeser und Dinkelspiel gegründete Unternehmen begann als Stickerei- und Posamentengeschäft. Das ursprüngliche Geschäft befand sich in der Fulton Street 277, etwa einen Block von der Brooklyn Borough Hall entfernt."" - (Wikipedia (de) 11.10.2023)",piz,male,,
62504,Peter Paul Pfeiffer,Peter Paul Pfeiffer (1879-1957),1879,1957,Medailleur,piz,male,+,http://d-nb.info/gnd/1012390624
166791,Ferdinand Ludwig Carl von Zeppelin,Ferdinand Ludwig Carl von Zeppelin (1875-1937),1875,1937,"Ferdinand Ludwig Carl Graf von Zeppelin (10.4.1875 - 26.10.1937), im Umfeld des Luftschiffbaus damals allgemein als Graf Zeppelin jun. bezeichnet, war ein Neffe des alten Grafen von Zeppelin (1838-1917). Sein Vater war Eberhard Moritz Adolf Albert Graf von Zeppelin (1842-1906), ein jüngerer Bruder des Luftschiffbauers Ferdinand Adolf Heinrich August Graf von Zeppelin (1838-1917). 
Er war ebenfalls für die Luftschiffbau Zeppelin GmbH tätig.",piz,male,+,
30140,Franz Rösner (Müllerschüler),Franz Rösner (Müllerschüler),,,1902/03 Ausbildung an der Deutschen Müllerschule Dippoldiswalde,piz,male,+,
30730,Bernd Schiemann,Bernd Schiemann,,,"Fotograf, Fürstenwalde, belegt um 1979",piz,male,+,
15236,Friedrich Vollandt,Friedrich Vollandt (1890-1977),1890,1977,"""Schüler der Leipziger Akademie, seine graphischen Mappen fanden große Beachtung, trat auch als Buchkünstler hervor"" - gnd, 18.05.2020",piz,male,+,http://d-nb.info/gnd/1034462636
