MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
184446,Erste Mainzer Metallkapsel-Fabrik,Erste Mainzer Metallkapsel-Fabrik,,,Kellereimaschinen Fabrik und Kellereiartikel,kif,,+,
301012,Jörg Langkop,Jörg Langkop (1953-),1953,,"Jörg Langkop (*1953) ist ein deutscher Produktdesigner. Gemeinsam mit seiner Frau, der Designerin Sabine Langkop, gründete er das Designstudio LangkopDesign, das zunächst in München ansässig war und seit 1996 im Raum Stuttgart tätig ist. - (https://emuseum.duesseldorf.de/view/objects/aslist/People@113205, 05.06.2025)",piz,male,+,
38940,P. Wuest (Kupferstecher),P. Wuest (Kupferstecher),,,"Kupfer- und Stahlstecher, belegt 1832",piz,,+,http://d-nb.info/gnd/132378272
254936,Shepherd (Flight Lieutenant),Shepherd (Flight Lieutenant),,,Flight Lieutenant Shepherd diente während der Berliner Luftbrücke auf dem Flugplatz Berlin-Gatow als Operateur (Talk-Down) einer GCA-Einheit.,piz,male,+,
23385,Fr. Otto Borgwardt,Fr. Otto Borgwardt,,,Mühlenbesitzer in Waren/Müritz um 1910,piz,,+,
236917,Stadt Radolfzell,Stadt Radolfzell,,,Die Stadtgemeinde Radolfzell als Gebietskörperschaft sowie ihre Verwaltung,kio,,+,
285098,Fotoatelier Fr. Sartorti,Fotoatelier Fr. Sartorti,,,"Fotoatelier in
- Lüneburg, Untere Schrangenstr. 5",kif,,+,
198769,Georg Kajetan Gehrig,Georg Kajetan Gehrig (-1875),,1875,"Buchbinder und Herausgeber des ""Dürkheimer Wochenblatt"". Hatte einen Laden in der Kirchgasse in Bad Dürkheim in dem sich auch eine Leihbibliothek befand. 
Literatur: ""Aus der Jugendzeit"" Jakob Esslinger, S. 47-48",piz,male,+,
153212,Atelier Paul Helmut Becker,Atelier Paul Helmut Becker,,,Atelier für Gebrauchsgrafik Paul Helmut Becker in Leipzig (DDR),kif,,+,
15082,Kunstanstalt Braunau i/B,Kunstanstalt Braunau i/B,,,Druckerei in Braunau in Böhmen.,kif,,+,
205260,Landlicht AG,Landlicht AG,,,"Im Januar 1922 in Berlin gegründet
1923 umbenannt in Landlicht-AG für Filmindustrie und Optik.
Herstellung und Vertrieb von Filmen, Filmverleih, Betrieb von Filmtheatern.
Landlicht war Mehrheitsaktionär der ""Optische Werke AG"" in Kassel und der ""Ertel-Werke"" in München. 
Ab Dezember 1925 in Liquidation.
Die Firma wurde 1929 gelöscht. - https://www.aktiensammler.de/br/archiv_branchen_detail.asp?AREA=262&ID=344975&SID=467084192168100100&NS=1, 03.07.2022",kif,,+,
327554,Hartmut Schultz,Hartmut Schultz (1947-2023),1947,2023,Maler und Grafiker in Bernburg,piz,male,+,
268988,Jon-Kaare Koppe,Jon-Kaare Koppe (1963-),1963,,"Schauspieler, studierte an der Hochschule für Schauspielkunst Ernst Busch Berlin.

Quelle: https://www.hansottotheater.de/ensemble/jon-kaare-koppe/ (Stand: 03.05.2024)

GND: 1241851409",piz,male,+,
310042,Friedrich Bohnenberger Verlag,Friedrich Bohnenberger Verlag,,,Verlag in Stuttgart (nachgewiesen 1935),kif,,+,
135335,"Lubienski, Matthias",Matthias Lubienski,,,"""Also known as
 Matthias Lubienski 
 primary name: Lubienski, Matthias 
 other name: Lubiensky, Mathias 
Details
 individual; cleric/religious official; Polish; Male 
Biography
 Bishop of Wladislaw (1631-1641)."" - https://www.britishmuseum.org/collection/term/BIOG155852, 25.12.2020",piz,male,+,
300563,VEB Blechformwerke Erzgebirge Bernsbach,VEB Blechformwerke Erzgebirge Bernsbach,,,"Der VEB Blechformwerke Erzgebirge Bernsbach war ein volkseigener Betrieb der DDR mit Spezialisierung auf Blechumformung. Er produzierte vor allem Karosserie- und Fahrzeugteile, Behälter, Ofenrohre sowie weitere Haushalts- und Industrieblechteile.",kif,,+,https://d-nb.info/gnd/5073199-3
121016,Ziveta Spasojewic,Ziveta Spasojewic,,,"Ziveta Spasojewic, geboren um 1890 in Pojejena, war ein rumänischer (histor. serbischer) Schneider, der während des Ersten Weltkriegs im Kriegsgefangenenlager Königsbrück interniert war.",piz,male,+,
190050,Frieda Nietlispach,Frieda Nietlispach (1891-1947),1891,1947,"""Lehrerin, ab 1924 Verfasserin von Kochbüchern"" - gnd, 23.08.2022

""Mit Frieda Nietlisbach (1891–1947) aus Olten trat eine neue Generation von Kochbuchautorinnen ans Licht. Sie kann gar als Wegbereiterin der modernen Kochbuch-Autoren begriffen werden, denn ihre Marketing- und Verkaufsideen hielten noch lange Bestand. Sie verfasste das Kochbuch «200 Rezepte», welches sich im Erscheinungsjahr 1924 70 000 Mal verkaufte. Es war mit farbigen Abbildungen versehen und beantwortete die ständige Hausfrauenfrage: Was soll ich kochen? Als besonders geschäftstüchtige Frau reiste Frieda Nietlisbach gar 1931 nach Amerika, um einen Verleger für ihr Buch in englischer Sprache zu finden."" 
(https://www.solothurnerzeitung.ch/solothurn/kanton-solothurn/mutige-und-kreative-frauen-erschufen-die-schweizer-kuche-dazu-gehorte-auch-eine-oltnerin-ld.1383162, 23.08.2022)",piz,female,+,https://d-nb.info/gnd/1026387051
316275,Pierre van Brée,Pierre van Brée,,,"Piere van Brée (Vater) und Jean van Brée (Sohn) finden sich als „Künstler“, „Maler“ und „Historienmaler“ van Brée aus Brüssel bzw. Antwerpen in der Datenbank der Kurgäste und Ortsfremden in Homburg v. d. Höhe: ""Im Juni 1848 wohnte ein Künstler van Brée in der Louisenstraße, im Mai 1862 weilte er mit seinem Sohn (Jean van Brée) im Nassauer Hof, im Juli wohnten beide bei Schreinermeister S. Holler in der Mauergasse, dort wohnten beide auch 1864"".",piz,male,+,
258221,Friedrich Traugott Starke,Friedrich Traugott Starke (1764-1822),1764,1822,Stadtrichter und Bürgermeister in Bautzen.,piz,male,+,
140205,Monte Ballou,Monte Ballou,,,"Banjo-Spieler, Mitglied von ""The Famous Castle Jazz Band"" (1944–1954, 1957–1977)",piz,male,+,
67201,Ludwig Wilhelm Tischer,Ludwig Wilhelm Tischer,,,"""Ludwig Wilhelm Tischer
1831 - 1866
Nachweiszeit: 1831 - 1866
beruflicher Titel, Amtsbezeichung, Dienstgrad: Stadtverordnetenvorsteher
Beruf: Jurist
Beruf: Advokat
- Studium der Rechtswissenschaften
- 1831 erster Nachweis in Dresden als Rechtsanwalt und Gerichtsdirektor
- 1837-1841 Amtszeit als Dresdner Stadtverordnetenvorsteher
- 1839/40 stellvertretender Abgeordneter der Stadt Dresden in der II. Kammer des sächsischen Landtages 
- bis 1865/66 als Rechtsanwalt in Dresden"" - http://sammlungsdatenbank-museen-dresden.de/de/entitySearch?artId=70367, 19.03.2019",piz,male,+,
237158,Töpferei Monika und Helmut Maurer,Töpferei Monika und Helmut Maurer,,,"Töpferei in Frankfurt am Main, 1991",kif,,+,
19476,E. Schwesig (Berlin),E. Schwesig (Berlin),,,Verlag oder Vertriebsgesellschaft in Berlin um 1946,kif,,+,
22976,Artur Felix Schulze,Artur Felix Schulze (1874-),1874,,"""Arthur Felix-Schulze (1874-?), Leipziger Maler, studierte an der dortigen Akad."" - https://lot-tissimo.com/de/i/4627612",piz,male,+,
