MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
183528,Alexei Chadov (Münzmeister),Alexei Chadov (Münzmeister),,,"""Chadov, Alexei
Münzmeister in St. Petersburg von 1839 bis 1843.
Chadov signiert mit seinen Initialen AЧ.

Lit.: Lit.: T. Michael - T. L. Schmidt, Standard Catalogue of World Coins 1801-1900. 9. Auflage (2019) 1065."" - - https://ikmk.smb.museum/ndp/person/11959",piz,,+,
259011,Arnold Fliedner (Unternehmen),Arnold Fliedner (Unternehmen),,,"Arnold Fliedner, Fabrik für Präzisions-Glasinstrumente, gegr. 1904, Ilmenau Thüringen",kif,,+,
268545,Jost Wilhelm Ebner von Eschenbach,Jost Wilhelm Ebner von Eschenbach (1717-1763),1717,1763,"Jurist in Nürnberg

""Pfleger der Mendelschen Stiftung; aus Nürnberg; Studium Universität Altdorf"" - gnd, 06.10.2024",piz,male,+,https://d-nb.info/gnd/1139070797
220164,Paul Kohl (Fotograf),Paul Kohl (Fotograf),,,"Fotograf in Soldin (Neumark), nach 1918",piz,male,+,
280353,Helmut E. Freitag (Botaniker),Helmut E. Freitag (Botaniker) (1932-),1932,,Deutscher Botaniker.,piz,male,+,https://d-nb.info/gnd/139691812
48484,Wilhelm Felsing,Wilhelm Felsing,,,"""Carl Jakob Otto Felsing war der Sohn von Johann Heinrich Felsing. Felsing erlernte als erstes den Beruf des Kunstschlossers. Seine Ausbildung als Kupferdrucker und Kupferstecher erhielt er in der Werkstatt seines Vaters in Darmstadt.
Von 1852 bis 1857 befand sich Felsing zur Weiterbildung in London, danach arbeitete er in der Druckerei seines Vaters in Darmstadt. Im Jahr 1870 übernahm Felsing die Druckerei in Darmstadt von seinem Vater.
Felsing führte, mit seinen Söhnen Friedrich Felsing und Wilhelm Felsing, auch eine eigene Kupferstecher-Druckerei in München.
Im Jahr 1875 gründeten seine Söhne eine Firma („Hof-Kupferdruckerei und Nationaler Verlag Otto Felsing“) in Berlin-Charlottenburg. Die Druckerei in Darmstadt wurde im gleichen Jahr aufgegeben.
Ab dem Jahr 1881 leitet Wilhelm Felsing die Druckerei in Berlin und spezialisiert sie auf alle Verfahren des Tiefdrucks. Die nur reproduzierende Grafik trat dabei in den Hintergrund.
Viele bekannte Künstler ließen bei Felsing drucken; z. B. Lovis Corinth, Otto Greiner, Max Klinger, Käthe Kollwitz, Max Liebermann, Ernst Oppler, Max Slevogt und Heinrich Zille."" - Wikipedia (de) über Otto Felsing, 10.04.2020",piz,male,,
21432,Großherzogliche Edelglasmanufaktur Darmstadt,Großherzogliche Edelglasmanufaktur Darmstadt,,,"Von Großherzog Ernst Ludwig 1907 im barocken Residenzschloss als Zweig der Künstlerkolonie Darmstadt unter Leitung von Josef Emil Schneckendorf begründete Glasmanufaktur, Stilllegung 1911",kif,,+,
350070,Johann Christoph Gottlieb Pistorius,Johann Christoph Gottlieb Pistorius (1732-1806),1732,1806,"Johann Christoph Gottlieb Pistorius (Winnenden 9.9.1732 - 13.1.1806 Göppingen)
Vogt, Oberamtmann in Göppingen",piz,male,+,
191686,Caroline Eleonore Grebitz,Caroline Eleonore Grebitz,,,"Autorin eines Haushaltungsbuches, 1826",piz,female,,
115363,E. A. Lattreuter GmbH,E. A. Lattreuter GmbH,,,"""Im Jahre 1899 gründete Ernst Anton Lattreuter in Nierstein die Buchdruckerei E.A. Lattreuter. ..."" - https://www.lattreuter.de/unternehmen, 12.03.2022",kif,,+,
229637,Caroline Henriette Sophie Manthe,Caroline Henriette Sophie Manthe (1820-1898),1820,1898,"Henriette Manthe, geborene Hagemann, ist die Mutter des Bildhauers Albert Manthe aus Angermünde. Sie betrieb eine Schneiderwerkstatt in Angermünde, heiratete 1846 den Sattlermeister August Manthe. Mit ihm hatte sie vier Kinder: Albert, Carl Ludwig, Sophie und Louise.",piz,female,+,
218073,Minna Schiffner (Schneiderei),Minna Schiffner (Schneiderei),,,Schneiderei in Großschönau.,kif,,+,
329864,Raiza Herzogin von Österreich,Raiza Herzogin von Österreich (-1182),,1182,"Raiza ist die Gemahlin von Herzog Heinrich dem Älteren von Mödling.

""Heinrich der Ältere, auch Heinrich de Medlich (* 1158; † 11. September 1223) aus einer Familie, die heute als die Babenberger bekannt sind, war einer der beiden Söhne des Markgrafen und späteren Herzogs Heinrich II. von Österreich aus seiner 2. Ehe mit Theodora Komnena, einer Nichte des byzantinischen Kaisers Manuel I. Er war der jüngere Bruder von Leopold V., Herzog von Österreich und von Steiermark. Zur Unterscheidung von seinem gleichnamigen Sohn wird er gewöhnlich in der Forschung als Heinrich der Ältere bezeichnet."" - (Wikipedia (de) über Heinrich dem Älteren von Mödling, 21.07.2025)",pik,male,+,
