MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
34608,Friedrich Nerold,Friedrich Nerold,,,Schnitzer bei Wiener Werkstätten,piz,male,+,
205694,VEB Schreibmaschinenwerk Markersdorf,VEB Schreibmaschinenwerk Markersdorf,,,Schreibmaschinenherstellendes Unternehmen in Markersdorf.,kif,,+,
278966,Gabor Neudl,Gabor Neudl,,,Spender von Erinnerungsgegenständen des 1. FC Kaiserslautern (nachgewiesen 2023),piz,male,+,
63286,Manufaktur Giovanni Battista Antonibon,Manufaktur Giovanni Battista Antonibon,,,Fayencemanufaktur in Le Nove bei Bassano. Gründung 1728. Zur Produktpalette gehörten zahlreiche Schaugerichte.,kif,,+,
197469,VEB Robotron Schreibmaschinenwerk Dresden,VEB Robotron Schreibmaschinenwerk Dresden,,,Unternehmen in Dresden.,kif,,+,
22918,Ludwig Klein (Rutsweiler),Ludwig Klein (Rutsweiler),,,1914 wohnhaft in Rutsweiler an der Lauter.,piz,male,+,
144894,Reserve-Lazarett Trier I,Reserve-Lazarett Trier I,,,Lazarett im zweiten Weltkrieg.,kio,,+,
209275,Fritz Hofmeier,Fritz Hofmeier (1893-1918),1893,1918,"Johannes Walter Friedrich (Fritz) Hofmeier (*09.06.1893 Würzburg; +10.07.1918 bei Moreuil) war der zweite Sohn des Professors Max Hofmeier und seiner Ehefrau Elisabeth Hofmeier, geb. Schröder, Freunden von Wilhelm Conrad Röntgen in Würzburg. Er war Leutnant der Reserve im Fuß-Artillerie Battalion 122, 1. Batterie. (Quelle: Meyer-Erlach, Georg: Ehrenbuch der Gefallenen der Stadt Würzburg 1914-1919, Würzburg 1937)",piz,male,+,
125256,Richard Deimig,Richard Deimig,,,Richard Deimig war Ende des 19. Jahrhundert und Anfang des 20. Jahrhunderts Kaufmann und Stadtverordneter in Bitterfeld. Seit Anfang der 1920er Jahre gehörte er der Bitterfelder Schützengilde an. Bereits 1886 gründete er hier ein Geschäft.,piz,male,+,
37831,Friedrich Christian von Braunschweig (Domschüler),Friedrich Christian von Braunschweig (Domschüler),,,1777-1796; Primaner der Domschule zu Halberstadt,piz,male,+,
145442,Dietrich und Hermann (Druckerei),Dietrich und Hermann (Druckerei),,,Druckerei in Duisburg,kif,,+,
258552,Schneider & Deyer (Druckerei),Schneider & Deyer (Druckerei),,,"Druckerei in Idar-Oberstein
""2012 kaufte Maurer Druck die Firma ""Schneider & Deyer"" auf."" (https://www.maurer-druck.de/Uns.html, 12.01.2024)",kif,,+,
300987,VEB Delicia Delitzsch,VEB Delicia Delitzsch,,,"Der VEB Delicia Delitzsch war ein volkseigener Betrieb der DDR mit Sitz in Delitzsch (Bezirk Leipzig), der sich auf die Herstellung von Schädlingsbekämpfungs- und Pflanzenschutzmitteln spezialisierte.",kif,,+,https://d-nb.info/gnd/10349220-3
339517,"Barthel, Lang & Co.","Barthel, Lang & Co.",,,In Chemnitz ansässige Firma; gegründet 1912; Spätestens seit den 1930er Jahren u. a. Zulieferer für Diamant. Produziert wurde v. a. Beleuchtung für Fahrräder und KFZ. Ab 1959 Kommanditgesellschaft mit staatlicher Beteiligung. Bis Anfang der 1970er Jahre wurden Produkte unter dem Namen BALACO hergestellt; 1972 Verstaatlichung und Umwandlung zum VEB Kradleuchten Karl-Marx-Stadt.,kif,,+,
308725,Jacob Kracht,Jacob Kracht,,,Maler. Um 1634/36 braunschweigischer Hofmaler. Porträtist.,piz,male,+,
191182,Erasmusdruck (Berlin),Erasmusdruck (Berlin),,,"""Von 1921 bis 1944 in Berlin"" - gnd, 19.09.2025",kif,,+,https://d-nb.info/gnd/5125724-5
313573,Johannes Böse,Johannes Böse,,,"Deutscher Maler. Nachgewiesen 1777-1778 in Bremen. Porträtmaler, Pastellmaler.",piz,male,+,
208375,L. u. H. Hochstein (Heidelberg),L. u. H. Hochstein (Heidelberg),,,Land- und Kommunalmaschinenvertrieb in Heidelberg (nachgewiesen 1949),kif,,+,
259431,Joseph M. Haupert,Joseph M. Haupert (1929-2020),1929,2020,Joseph M. Haupert diente während der Berliner Luftbrücke als Flugingenieur (Flight Engineer) im Rang eines Team Sergeants bei der US-amerikanischen Luftwaffe auf dem Stützpunkt und Flugplatz Faßberg. Haupert absolvierte über 200 Luftbrückenflüge. Er war von 1946 bis 1951 in der US Army Air Force bzw. US Air Force und anschließend bis 1992 in der Privatwirtschaft tätig.,piz,male,+,
324397,"Adam Krämer (Weprowatz, um 1920)","Adam Krämer (Weprowatz, um 1920)",,,geboren zwischen 1919 und 1921; lebte in Weprowatz,piz,male,+,
188470,José Domingo de Irureta Goyena,José Domingo de Irureta Goyena (1830-1921),1830,1921,"""Kunstsammler und -händler in Sevilla."" - https://ikmk.smb.museum/ndp/person/8727, 21.05.2022",piz,male,+,
153217,Viktor Ostrounow,Viktor Ostrounow (1904-1955),1904,1955,"Viktor Ostroumow (Kaluga 1904-1955 New York), russischer Maler",piz,male,,http://d-nb.info/gnd/133751384
340704,Friedrich Carl,Friedrich Carl,,,Mitschüler Joseph von Eichendorffs in Breslau,piz,male,,
205699,Karl Leistner KG Karl-Marx-Stadt,Karl Leistner KG Karl-Marx-Stadt,,,Unternehmen in Chemnitz.,kif,,+,
118610,Valentin Dirion,Valentin Dirion (1867-1954),1867,1954,"Valentin Dirion machte eine Lehre zum Lithografen in der Graphischen Kunstanstalt Rheinberger in Bad Dürkheim, er gestaltete lange Jahre die Titelseite der „Wurstmarktzeitung“ (Quelle: „Dürkheimer Maler“, Dr. Walther Klein, 1975 aufgelegt von der Kreissparkasse). Ein Lieblingsmotiv des Künstlers waren Konterfeis damaliger Winzer, meist die der Winzergenossenschaft Bad Dürkheims.",piz,male,+,
315825,Franz von Ratibor,Franz von Ratibor (1849-1925),1849,1925,"Franz Carl Herzog von Ratibor (* 6. April 1849 Rauden; † 27. Mai 1925), preußischer Oberst, verheiratet mit Marie-Agnes Gräfin zu Solms-Baruth, verwitwete Gräfin von der Asseburg; Sohn von Victor I. Herzog von Ratibor",piz,male,+,
188955,Heinrich Fuchs,Heinrich Fuchs (1923-2000),1923,2000,"Heinrich Fuchs war Kunsthistoriker, Kunsthändler und Autor der mehrbändigen Werke ""Die österreichischen Maler des 19. Jahrhunderts"" und ""Die österreichischen Maler des 20. Jahrhunderts"".",piz,male,+,
200517,Willi Jennrich,Willi Jennrich,1901,1945,"Der Künstler Willi Jennrich war ein deutscher Maler und Grafiker. Seit 1923 arbeitete er freiberuflich für die Zeitschriftenn ""Der Junggeselle"", ""Der Reigen"", ""Die Schönheit"".",piz,female,+,
274066,Gudrun Söll,Gudrun Söll,,,Einwohnerin von Dieburg (nachgewiesen 1970),piz,female,+,
6379,H. Meyerding (Druckerei),H. Meyerding (Druckerei),,,Druckerei in Quedlinburg,kif,,+,
273351,François Selimand,François Selimand,,,"Textilkünstler, tätig 1778-1789",piz,male,+,
133229,Arcolano Armafodrito,Arcolano Armafodrito,,,Erscheint auf einem Kupferstich von Wenzel Hollar um 1650,piz,male,+,
9811,Hermann Jansen (Fotograf),Hermann Jansen (Fotograf),,,"Kölner Fotograf, nachgewiesen für Zeit um 1928.",piz,male,+,
