MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
22574,Turnverein 1896 Mühlbeck,Turnverein 1896 Mühlbeck,,,Der Mühlbecker Turnverein wurde 1896 gegründet. Kurz nach seinem 25jährigem Jubiläumsfest ging er im Verein für Rasensport Mühlbeck (kurz: VfR Mühlbeck) auf.,kiz,,+,
342177,Helmuth von Kujawa,Helmuth von Kujawa (1899-1979),1899,1979,"Helmuth Julius Adolf Theodor von Kujawa, Journalist in Berlin, geb.11. 2. 1899 (Berlin-)Schöneberg, gest. 18. 7. 1979 Berlin-Wilmersdorf (Qielle: Sterbeurkunde)

""Helmuth [Helmut] von Kujawa, Bildberichterstatter, Berlin SW 68, Stallschreiberstraße 55""
Quelle: Berliner Adressbuch 1940 https://digital.zlb.de/viewer/image/34115495_1940/1683/ [Abruf: 20.01.2026]",piz,male,,
184147,H. Lange ( Verlag und Druckerei ),H. Lange ( Verlag und Druckerei ),,,H. Lange ( Verlag und Druckerei ) Lippstadt,kif,,+,
48634,Nauck und Hartmann,Nauck und Hartmann,,,Druckerei in Berlin,kif,,+,
166313,Reich (Zeichenlehrer ),Reich (Zeichenlehrer ),,,"Zeichenlehrer in Sinsheim, nachweislich tätig 1929, um 1880-1950",piz,male,+,
277836,Sándor Marich,Sándor Marich (1893-),1893,,Maler und Grafiker in Ungarn,piz,male,+,
136862,Auguste Mann,Auguste Mann (1908-1991),1908,1991,Auguste Mann (1908-1991) zählte in Mardorf und Erfurtshausen zu einer der bekanntesten Eierschreiberinnen. Sie gab außerdem ein Spruchheft mit 231 Versen heraus.,piz,female,+,
205040,Rat des Kreises Potsdam-Land,Rat des Kreises Potsdam-Land,,,Der Rat des Kreises war in der DDR das Exekutivorgan des jeweiligen Kreistages und somit nach gesetzlicher Definition vollziehendes und verfügendes Organ in einem Kreisgebiet.,kio,,+,
337793,Metallwarenfabrik Adolf Schwerdt,Metallwarenfabrik Adolf Schwerdt,,,"""Metallwarenfabrik u. Kunstprägeanstalt, gegr. 1879 von dem Medailleur u. Graveur Adolf Schwerdt (geb. 1843) in Stuttgart; Inhaber um 1900 ist der frühere Mitarbeiter, Bildhauer u. Medailleur Wilhelm Volk"" - gnd, 02.04.2026",kif,,+,https://d-nb.info/gnd/1289067228
286070,Erich Lotz,Erich Lotz (1933-2022),1933,2022,"Der Schuhmachermeister Erich Lotz, ein Urgestein der Erzhausener Handwerkskunst, widmete sein Leben dem Handwerk.
Als 18-Jähriger erlernte er das Schuhmacherhandwerk, machte sich 1951 im elterlichen Anwesen in Erzhausen selbstständig. 1967 gelang ihm sein Meisterstück. 2017 erhielt den goldene Ehrenbrief als Anerkennung durch die Kreishandwerkerschaft Darmstadt Dieburg (50 Jahre Schumachermeister). Zitat von Erich Lotz: ""Das A und O sei der Leisten. Wenn der nicht passt, taugt der ganze Schuh nichts"". Ein Stück Buchenholz mit der Form eines Fußes. Da wird das Leder (Schäfte) ,,drübergezwickt"", mit Holzstiften vernagelt und der Rahmen mit Pechdraht aus Hanf mit der Brandsohle vernäht (Fundament der Schuhe).",piz,male,+,
245781,Fotoatelier Boppel & Mahn,Fotoatelier Boppel & Mahn,,,"Fotoatelier in
- Schwäbisch Gmünd
- Heidenheim
Wilhelm Boppel würde 1841 in Eichelberg bei Bruchsal geboren und verstarb 1896 in Schwäbisch Gmünd.",kif,,+,
339662,Walter Notter,Walter Notter (1961-),1961,,Deutscher Fußballfunktionär,piz,male,+,
271625,VEB Elektromaschinenbau Sachsenwerk Dresden-Niederselitz,VEB Elektromaschinenbau Sachsenwerk Dresden-Niederselitz,,,"Volkseigener Betrieb der DDR, Hersteller von Elektromaschinen und Elektromotoren.",kif,,+,
246990,Maria Stadelmaier,Maria Stadelmaier,,,Mutter von Hugo Stadelmaier (Maler aus Schwäbisch Gmünd),piz,female,+,
316408,Deutsches Reich. Reichs-Postverwaltung,Deutsches Reich. Reichs-Postverwaltung,,,"unselbstständige Behörde zur Verwaltung des deutschen Postwesens mit Sitz in Berlin, gegründet 1871",kio,,+,https://d-nb.info/gnd/11517-4
331565,Johann Baedeker,Johann Baedeker,,,"Johann Ulrich Baedeker
Weingutsbesitzer in Kreuzlingen",piz,,+,
