327749,Thomas Schöller,Thomas Schöller,,,Schlesischer Maler. Nachgewiesen 1758 in Breslau. Porträtmaler.,piz,male,+,
309893,Julian Eichler,Julian Eichler (1712-),1712,,"Deutscher Maler. Geboren in Rom und zur Ausbildung um 1730 wieder dort. Zwischenzeitlich in Braunschweig und hier wohl auch um 1742 tätig. Porträtist. Sohn von Johann Conrad Eichler (1680-1748), Bruder von Joseph Ignaz Eichler (1714-1763) und Joseph Eichler (1724-1783).",piz,male,+,
343198,Landkreis Weststernberg,Landkreis Weststernberg,,,Verwaltungskörperschaft des Landkreises Weststernberg,kio,,+,
199900,Helene Paschke-Schmidt,Helene Paschke-Schmidt,,,Glaskünstlerin in Starnberg.,piz,female,+,
75039,Konstantinos Alimbertis,Konstantinos Alimbertis (1894-),1894,,"Konstantinos Alimbertis, geboren 1894 in Steni, war ein griechischer Bauer, der während des Ersten Weltkriegs im Kriegsgefangenenlager Görlitz interniert war.",piz,male,+,
183471,Demo... (Amisos-Peiraieus),Demo... (Amisos-Peiraieus),,,"""Magistrat in Amisos-Peiraieus/Pontos im 5./4. Jh. v. Chr.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 441 [verweist auf W. H. Waddington, Recueil général des monnaies grecques d’Asie mineure I-1 ²(1925) Nr. 1]."" - https://ikmk.smb.museum/ndp/person/11804, 18.09.2021",piz,male,+,
167020,Walburga von Brederode,Walburga von Brederode (1512-1567),1512,1567,"Walburga van Brederode (um 1512–1567), heiratete 1530 Arnold II. von Bentheim-Steinfurt ä. L. (1497–1553), der 1544 in der Grafschaft Bentheim-Steinfurt und seiner Herrschaft Wevelinghoven die lutherische Reformation einführte und 1550 die „Kölnische Erblandesvereinigung“ unterschrieb (Wikipedia, 05.03.2021)",piz,female,+,
277834,Angelika Leitmann,Angelika Leitmann,,,1991 Redakteurin des Werkstatt Olympia Journals Nr. 1,piz,female,+,
278391,H.-J. Hillmann,H.-J. Hillmann (1953-),1953,,"Inhaber des Lebensmittelgeschäftes ""Hillmann"" (Eröffnung am 29.10.1984) in der Oranienstraße in Berlin-Kreuzberg",piz,male,+,
165021,August Niewiedzol,August Niewiedzol (1858-1939),1858,1939,Holzbildhauer,piz,male,+,
54557,Karl Knobloch K.-G. Steinigtwolmsdorf / Sa.,Karl Knobloch K.-G. Steinigtwolmsdorf / Sa.,,,Firma. Stellte Stifte her.,kif,,+,
232888,Richard Peck,Richard Peck (1859-1916),1859,1916,"Magistrats-Bürobeamter in Berlin, ab 1894 Mitglied des Touristenklubs für die Mark Brandenburg (1935 umbenannt in Landesgeschichtliche Vereinigung für die Mark Brandenburg), 1900–1914 dessen 2. Vorsitzender, erhielt 1914 die Fontane-Plakette ""für die außergewöhnlichen Verdienste um den Klub"".

Quelle:
Die Landesgeschichtliche Vereinigung für die Mark Brandenburg in Vergangenheit und Gegenwart. Aus Anlass ihres 125jährigen Bestehens bearb. u. hrsg. von Peter Bahl (Schriften der Landesgeschichtlichen Vereinigung für die Mark Brandenburg, N.F., Bd. 2). Berlin 2009, S. 400.",piz,male,+,
211640,F. W. Jul. Assmann (Aßmann) (Kirchenbedarf),F. W. Jul. Assmann (Aßmann) (Kirchenbedarf),,,Gegründet wurde die Kunstanstalt für evangelische Kirchenausstattungen von F. W. Jul. Assmann im Jahr 1890 in Lüdenscheid. Der Fachlieferant für Kirchenbedarf stieg im Jahr 1905 zum königlichen Hoflieferanten auf und eröffnete einen Zweigsitz in Berlin.,kif,,+,
250595,Erna Rockstroh-Langer,Erna Rockstroh-Langer (1843-1908),1843,1908,"Landschaftsmalerin, geboren in Düsseldorf",piz,female,+,
262072,Johanna Thierse,Johanna Thierse,,,"Dipl.-Restauratorin für Gemälde, Moderne und Zeitgenössische Kunst, Skulptur/ Skulpturenfassung / Polychrome Bildwerke (nachgewiesen 2023 in Berlin)",piz,female,+,
181817,Josef Schlüter (Geseke),Josef Schlüter (Geseke),,,Autor der Biographie Fritz Beckers.,piz,male,+,
30920,Heinrich Wilhelm Ferdinand von der Schulenburg,Heinrich Wilhelm Ferdinand von der Schulenburg (1766-1832),1766,1832,Domdechant (Vorsteher eines Domkapitels) von Havelberg und Brandenburg,piz,male,+,
142836,Samuel Sandars,Samuel Sandars,,,"""Mälzer und Getreidehändler in Gainsborough, Lincolnshire.
Samuel Sandars gab 1811 Marken aus.
Lit.: P. und B. R. Withers, The Token Book. British Tokens of the 17th 18th and 19th centuries and their values (2010) 400 Nr. 8."" - https://ikmk.smb.museum/ndp/person/11219, 19.09.2021",piz,male,+,
119209,Caroline Hakelberg,Caroline Hakelberg (1862-1941),1862,1941,geb. Kühn. Schwiegermutter der Überlasserin der Lehmann-Sammlung.,piz,,,
151088,Carl Friedrich Heinrich Plambeck,Carl Friedrich Heinrich Plambeck (1814-1879),1814,1879,Carl Friedrich Heinrich Plambeck (1814–1879) war ein bekannter Hamburger Kunsttischler und Marquetterie-Arbeiter des Historismus. Er stellte bei den wichtigsten Gewerbeausstellungen ab 1840 aus und wurde bei der Weltausstellung 1851 mit einer Medaille ausgezeichnet.,piz,male,+,
302346,Daniel Furrer (Historiker),Daniel Furrer (Historiker) (1962-),1962,,"Historiker, Publizist, Fotograf",piz,male,+,https://d-nb.info/gnd/128905808
46555,Werner Hagen,Werner Hagen (1864-1921),1864,1921,"""Werner Hagen (1864–1921), Vizekonsul in Yokohama, Konsul in Philadelphia, stellvertretender Bevollmächtigter Preußens zum Reichsrat."" - Wikipedia (de) über den Vater Adolf Hermann Wilhelm Hagen, 07.06.2021",piz,male,+,http://d-nb.info/gnd/1023954206
25037,Fotoatelier W. Wertheim,Fotoatelier W. Wertheim,,,"Fotoatelier in
- Berlin, Friedrichstraße 110-112

""Ähnlich wie beim ""Vorbild"" A. Wertheim wurden auch die Fotografien aus dem Hause Wolf Wertheim in ""vornehmer Weise"" gestaltet. Da das Warenzeichen von Wolf Wertheim 1909 angemeldet und erst 1910 eingetragen wurde, kann man davon ausgehen, daß es frühestens 1909 auf den Kartons erschien. Zeitlich sind die Fotografien mit der Bezeichnung Atelier W. Wertheim in die Zeit um 1909-1911 zu datieren."" - Jeanne E. Rehnig, Das ""Photographische Atelier"" im Warenhaus, Würzburg 1999, S. 298",kif,,+,
203324,C. V. Maesbergh,C. V. Maesbergh,,,"Kupferstecher, Grafiker, wirkte um 1650 - gnd, 26.05.2022",piz,,+,https://d-nb.info/gnd/1035777827
278144,Urner Mineralienfreunde (UMF),Urner Mineralienfreunde (UMF),,,"Die Urner Mineralienfreunde (UMF) sind ein Verein in der Schweiz, der sich der Welt der Mineralien und Kristalle widmet. Gegründet 1962.",kiz,,+,
347074,Fonderie d’art Mario Pastori (Genève),Fonderie d’art Mario Pastori (Genève),,,"Gießerei in Genf, bestand von 1919-1984",kif,,+,
248758,Friedrich Sannemann,Friedrich Sannemann,,,"Tischlermeister in Wittstock (Dosse), nachgewiesen 1910",piz,male,+,
38564,Theo Weinhardt,Theo Weinhardt,,,"1939 Schäfer in Schierke, Wernigeröder Str. 5",piz,male,+,
