MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
23599,H. Wohlert (Mühlenbesitzer),H. Wohlert (Mühlenbesitzer),,,1898 belegt als Besitzer einer Wassermühle in Malente zur Beckmühle in Preetz,piz,,+,
17036,Fotoatelier Hermann Noack,Fotoatelier Hermann Noack,,,"Gründung des Ateliers: 1870
Adresse des Ateliers 1879 bis 1900: N.W. 45. Unter den Linden 45. (Universitätsseite) Fernsprech-Anschl. Amt I. No. 4661.
Offizieller Hofphotograph zum Ende des 19. Jahrhunderts und Beginn des 20. Jahrhunderts.

1914 hat Noack zwei Atelieradressen:
Berlin W. 66, Leipziger Str. 121. Zentrum 4661 
Berlin W. 30, Bayerischer Platz 2. Nollendorf 753",kif,,+,
22392,Heidel (Textilunternehmen),Heidel (Textilunternehmen),,,Textilunternmehmen in Hohenstein-Ernstthal,kif,,+,
10931,VEB Fahrzeugelektrik Ruhla (FER),VEB Fahrzeugelektrik Ruhla (FER),,,"""Gegründet wurde das Unternehmen 1867 unter dem Namen Otto Schlothauer und Soehne OHG in Ruhla, ab 1907 firmierte es als Metallwaren Alfred Schwarz. 1958 wurde es mit anderen Betrieben zu einem Volkseigenen Betrieb unter dem Namen VEB Fahrzeugelektrik Ruhla zusammengeschlossen, der später auch Stammbetrieb des gleichnamigen Kombinats wurde, zu dem noch eine Vielzahl kleinerer Unternehmen gehörte."" (wikipedia 02.09.2013: http://de.wikipedia.org/wiki/Fahrzeugelektrik_Ruhla)",kif,,+,http://d-nb.info/gnd/5566729-6
62714,"Wielandy, Charles",Charles Wielandy (1748-1837),1748,1837,"""Wielandy, Charles (Swiss). Medallist and Engraver of Geneva, born in London on 26. July 1748; son of Jean Nicolas W., studied in Paris, and obtained an appointment as Engraver at the Geneva Mint in November 1794; died on 10. February 1837. He surpassed his father in steel-engraving, and excelled as a Modeller. He was entrusted in 1794 to cut the dies for the Geneva Décimes and Petits Ecus of 1795."" - Forrer, L. ""Biographical Dictionary of Medallists"", Bd 6 (London 1916), S. 471",piz,male,+,
282054,G. Poppinga,G. Poppinga,,,"Vermutlich Künstler, während des Zweiten Weltkriegs in Köln tätig",piz,,,
210681,Ilse Kreim (Schülerin),Ilse Kreim (Schülerin),,,"Schülerin der Alice-Eleonoren-Schule, Darmstadt, 1955 - 1957",piz,female,+,
341646,Heike Toczek,Heike Toczek (1959-),1959,,Hohlglasmacherin / Diplomformgestalterin,piz,female,,
53096,"Wlodarzewska, Wladyslawa",Wladyslawa Wlodarzewska (1903-1992),1903,1992,"""Wladyslawa Wlodarzewska was born in the middle of nowhere in central Poland. From 1914 untill 1920 her father was in the army and her mother had to earn a living by working on the nearby country estate. Wlodarzewska was a housekeeper for her six younger brothers and sisters and there was no possibility to get any education.
When the family had gone to bed she started painting flowers and beautiful women on the walls. At first with her fingers and afterwards with a brush she made herself from a small stick and some textile. Painting became an obsession and an effective remedy against her frequent headaches. As soon as she started painting the pain was gone. When she could not get hold of paper or cardboard she made paintings on the walls in- or outside of her small farm, on the eclosure, the waterwell, etc."" (http://www.ot-art.nl/Wlodarzewska.htm)",piz,female,+,
200933,"""Schäfers gute Stuben"" (Bad Bodendorf)","""Schäfers gute Stuben"" (Bad Bodendorf)",,,Gasthof in Bad Bodendorf.,kif,,+,
180431,Fritz Theobald,Fritz Theobald,,,Vorstandsmitglied der Asbestwerke Danco Wetzell u. Co. A. G. im Juli 1937,piz,male,+,
335280,Mährisch-Schlesischer-Sudetengebirgsverein e.V.,Mährisch-Schlesischer-Sudetengebirgsverein e.V.,,,Der Mährisch-Schlesische Sudetengebirgsverein e. V. (MSSGV) ist ein 1881 in Freiwaldau gegründeter Gebirgsverein.,kiz,,+,https://d-nb.info/gnd/1065171889
16165,Eith Verlag,Eith Verlag,,,Verlag in St. Goarshausen,kif,,,
286337,Plakat-Fabrik Bühler & Co.,Plakat-Fabrik Bühler & Co.,,,"Plakat-Fabrik Bühler & Co. (Bad Cannstatt (Stuttgart), auch Blechemballagenfabrik Bühler & Co. (Stuttgart-Bad Cannstatt)",kif,,+,
130053,Giovanni Battista Cappelli,Giovanni Battista Cappelli,,,"Drucker und Verleger in Neapel

""Libraio, tipografo ed editore bolognese, attivo a Napoli. N. verso il 1525, fu apprendista a Venezia presso Gabriele Giolito De Ferrari, che lo inviò a Napoli a gestire una sua bottega. Nel 1565 subì un sequestro editoriale e fu processato e condannato per vendita di libri proibiti. Nel 1573 si mise in proprio e aprì una libreria a S. Biagio. Lavorò sia da solo che in società con Raimondo Amato, Giovanni De Boy e Giuseppe Cacchi. Come editore fu presente anche a Roma, dove si servì della tipografia di Vincenzo Accolti, a Cagliari, dove si servì di quella di Vincenzo Sembenino, e a Venezia, dove fu in società con Giuseppe Pelusio.
Nationality: Italian"" - http://thesaurus.cerl.org/record/cni00020376, 03.01.2021",piz,male,+,https://d-nb.info/gnd/103762095X
339138,Hedwig Marie Therese von Eichendorff,Hedwig Marie Therese von Eichendorff (1857-1874),1857,1874,"Tochter von Maria Amalia, geb. Thymian, und Rudolf von Eichendorff sowie Enkelin Joseph von Eichendorffs.",piz,female,+,
274617,Michael Talik,Michael Talik (1948-),1948,,"Aquarellmaler; Ausbildung an der Akademie der bildenden Künste in Krakau; seit 1988 in Wien tätig;
bekannt sind vor allem seine Wien-Ansichten, mit denen er in Ausstellungen in Wiener Bezirksmuseen vertreten war",piz,male,,
46465,Alfred Ruckenbrod (Druckerei),Alfred Ruckenbrod (Druckerei),,,Druckerei in Berlin,kif,,+,
278541,Nymphaea Leipzig 1892 e.V.,Nymphaea Leipzig 1892 e.V.,,,Der Nymphaea Leipzig 1892 e.V. ist der älteste noch bestehender Aquarienverein Deutschlands. Der Verein wurde am 03.08.1892 von sieben Leipziger Aquarianern gegründet. Die Nymphaea Leipzig ist aktuell der mitgliederstärkste Aquarienverein in der Region. Wir sind unabhängig von übergeordneten Verbänden.,kiz,,+,
296704,Seno (Maartensdijk),Seno (Maartensdijk),,,Unternehmen in Maartensdijk,kif,,+,
31499,Marie Giese (Boitzenburg),Marie Giese (Boitzenburg),,,"1908 wohnhaft in Boitzenburg, Uckermark",piz,female,+,
65927,Aurelius Demetrios (Neapolis ad Harpasum),Aurelius Demetrios (Neapolis ad Harpasum),,,"""Grammateus in Neapolis ad Harpasum/Karien unter Antoninus Pius.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Müzen II (2009) 440."" - http://www.mkfrankfurt.uni-frankfurt.de/object?lang=de&id=ID401, 25.02.2019",piz,,+,
335011,Mariahilfer Zentralpalast - Erstes Warenmuster- und Kollektivkaufhaus,Mariahilfer Zentralpalast - Erstes Warenmuster- und Kollektivkaufhaus,,,"Name, unter dem das spätere Warenhaus Stafa in Wien am 18. August 1911 eröffnet wurde",kif,,+,
210544,Gg. Adam Pfaff (Schlosserei),Gg. Adam Pfaff (Schlosserei),,,Schlosserei in Neu-Isenburg.,kif,,+,
342729,Stadt Paderborn,Stadt Paderborn,,,Die Stadt Paderborn als Gebietskörperschaft sowie ihre Verwaltung.,kio,,+,https://d-nb.info/gnd/1270503103
22353,C. G. Pfretzschner und Co.,C. G. Pfretzschner und Co.,,,Musikinstrumentenbauer in Markneukirchen,kif,,+,
201454,Porzellanfabrik Stadtlengsfeld,Porzellanfabrik Stadtlengsfeld,,,Thüringische Porzellanfabrik,kif,,+,https://d-nb.info/gnd/133400806X
150689,VEB Qualitäts- und Edelstahl-Kombinat,VEB Qualitäts- und Edelstahl-Kombinat,,,"VEB Qualitäts- und Edelstahlkombinat, ehemaliger Betrieb der DDR mit Hauptwerk Stahl- und Walzwerk Hennigsdorf",kif,,+,
328772,Sabine Dahme,Sabine Dahme (1961-),1961,,Leiterin der Kaschierwerkstatt am Hans Otto Theater Potsdam,piz,female,+,
73533,Bürgerstiftung Stuttgart,Bürgerstiftung Stuttgart,,,"""Die Bürgerstiftung Stuttgart ist eine selbständige und von der Landeshauptstadt Stuttgart unabhängige Organisation.
Wir betreiben langfristigen Vermögensaufbau zugunsten gemeinnütziger Projekte und bieten Spendern und Stiftern die Möglichkeit, ihre Beiträge hierfür unter einem gemeinsamen Dach zu leisten."" - https://www.buergerstiftung-stuttgart.de/wer-wir-sind, 02.06.2020",kiz,,+,
42356,Paul Reichenbach,Paul Reichenbach,,,"Weilte Weihnachten 1926 im Gasthof ""Königslust"" in Kühberg (Bärenstein).",piz,male,+,
28680,Gabriel Le Clerc,Gabriel Le Clerc,,1743,"""Leclerc, Gabriel (gestorben 1743)
Schon 1696 (?) Medailleur in Darmstadt, 1702 Stempelschneider in Berlin, 1718 Münzmeister in Kassel, dann meist ohne Anstellung. 1737 Münzmeister in Bremen, dort 1743 verstorben.
Signiert mit GLC."" - https://ikmk.smb.museum/ndp/person/3472, 11.07.2020",piz,male,+,
