MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
129429,Umkreis des Wenzel Jamnitzer,Umkreis des Wenzel Jamnitzer,,,Personen aus dem Umkreis des Wenzel Jamnitzer,siu,,+,
339312,VEB Brauerei Zeitz,VEB Brauerei Zeitz,,,"1972 nach der Enteignung der Brauerei Oettler gegründet, seit 1978 Teil des VEB Getränkekombinats Dessau.",kif,,+,
258182,Karl Wilhelm August Hering,Karl Wilhelm August Hering (1749-1802),1749,1802,Karl Wilhelm August Hering (1749-1802) - 1802 regierender Bürgermeister der Stadt Bautzen.,piz,male,+,
258381,Öchsle (Hauptwerkmeister),Öchsle (Hauptwerkmeister),,,Herr Öchsle war 1974 Hauptwerkmeister in Ludwigsburg.,piz,male,+,
9687,Bussy Ellerman Harms B. V. Amsterdam,Bussy Ellerman Harms B. V. Amsterdam,,,"Druckerei in Amsterdam, 20. Jh.",kif,,+,
324523,Lorenz Kaltner (Weprowatz),Lorenz Kaltner (Weprowatz),,,wurde zwischen 1914 und 1916 geboren; lebte in Weprowatz,piz,male,+,
19816,Auguste Drebenstedt (Irxleben),Auguste Drebenstedt (Irxleben),,,"Lebte in der 1. Hälfte des 20. Jh., 1936 in Irxleben
Verwandtschaftsverhältnis mit Otto Drebenstedt.",piz,female,+,
65915,M. Oul. Ouliades Leon,M. Oul. Ouliades Leon,,,"""Archon in Alinda/Karien zwischen 202 und 205 n. Chr.
Erscheint mit und ohne den Namenszusatz Leon.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 642. 737."" - http://www.mkfrankfurt.uni-frankfurt.de/object?lang=de&id=ID360, 25.02.2019",piz,,+,
70350,A. C. Jungmichel,A. C. Jungmichel,,,Maler aus Großschönau?,piz,,+,
342212,Anja Pöpplau,Anja Pöpplau (1989-),1989,,"Anja Pöpplau, geb. 1989 Perleberg, studierte Geschichte, Kunstgeschichte sowie Museumsmanagement und -marketing an den Universitäten Greifswald und Hamburg. Ihre beruflichen Stationen führten sie vom Pommerschen Landesmuseum Greifswald, dem Deutschen Historischen Museum Berlin, dem Denkmalamt Hamburg, dem Europäischen Hansemuseum Lübeck und dem Textlimuseum Neumünster zurück in ihre Heimat Perleberg, wo sie seit 2020 das Stadt‑ und Regionalmuseum leitet.",piz,female,+,
187667,Daniel Seupel (Goldschmied),Daniel Seupel (Goldschmied),,,Goldschmied. Lebte gegen Ende des 17. Jh,piz,male,+,
6693,E. Glauber jun.,E. Glauber jun.,,,Verleger in Görlitz,piz,,+,http://d-nb.info/gnd/116654791
157132,A. Teuber,A. Teuber,,,"Frankenthal (Pfalz) Bedanstr. 15
Photograph um 1920",piz,male,,
220151,Hans Printz,Hans Printz (1865-1925),1865,1925,deutscher Künstler,piz,male,,
74736,Ferideddinof Kaschaffeddin,Ferideddinof Kaschaffeddin (1889-),1889,,"Ferideddinof Kaschaffeddin, geboren 1889 in der Nähe von Bugulma, war ein russischer Bauer, der während des Ersten Weltkriegs im Kriegsgefangenenlager Wünsdorf interniert war.",piz,male,+,
312672,Nikolaus Nikander,Nikolaus Nikander (1547-1585),1547,1585,"""Dt. ev. Theologe und Pädagoge; Student in Wittenberg, Magister ebd.; 1574 Lehrer an der Lateinschule Altenburg; 1576 Diakon Unser Lieben Frauen Halle (Salle); 1577-1585 Oberpfr. St. Ulrich Halle (Saale); starb an der Pest"" - gnd, 18.10.2025",piz,,+,https://d-nb.info/gnd/119831570
167284,Allan Crockford,Allan Crockford,,,"""Bassist with The Prisoners (1980-86) and The James Taylor Quartet (1986-88)."" - https://www.discogs.com/de/artist/453539-Allan-Crockford, 31.08.2021",piz,male,+,
137876,Institute of Papua New Guinea Studies,Institute of Papua New Guinea Studies,,,"""The Institute for Papua New Guinea Studies (IPNGS) operated from 1974 until 1988, when it was absorbed into the National Research Institute. Its director from 1974-78 was Ulli Beier, who had been operating a similar institute in Ife, Nigeria, since his departure from UPNG in 1971. The Institute was funded primarily out of National Cultural Centre money, although Beier was able to bring some Nigerian support with him on his return. The stated objective of IPNGS was to research, record, and interpret ""all aspects of traditional indigenous culture in Papua New Guinea.""

With this material in hand the Institute was to establish a folklore library, a tape and sound library, a film project, a publications programme, and a trust fund for further research. In addition, IPNGS was charged with the responsibility of regulating who could conduct such research and under which conditions. All IPNGS records were to be made available for the development of literature, drama, music and the visual arts in PNG. The Institute published and hosted a number of periodicals including Oral History, Gigibori, Bikmaus, and the Journal of the Morobe Historical Society."" - http://png.athabascau.ca/IPNGStudies.php, 27.05.2022",kio,,+,
256851,Lucas Cranach (der Ältere) (Werkstatt),Lucas Cranach (der Ältere) (Werkstatt),,,"Werkstatt des Malers Lucas Cranach des Älteren (1472-1553)

Die Werkstatt von Lucas Cranach dem Älteren war eine der produktivsten und bedeutendsten Kunstwerkstätten der Renaissance. Cranach, der ab 1505 als Hofmaler am kursächsischen Hof tätig war, leitete eine Werkstatt, die eine beeindruckende Anzahl von Kunstwerken schuf. Es wird geschätzt, dass die Werkstatt rund 5000 Gemälde hinterlassen hat1.

Die Werkstatt fertigte eine Vielzahl von Kunstwerken an, darunter Altarwerke, allegorische Gemälde und Porträts. Besonders bekannt sind die Porträts von Reformatoren wie Martin Luther und Philipp Melanchthon1. Die Werkstatt war für ihre hohe Produktivität und die Fähigkeit, verschiedene Medien zu beherrschen, bekannt. Neben Gemälden wurden auch Grafiken, illustrierte Bücher und Medaillen hergestellt2.

Nach dem Tod von Lucas Cranach dem Älteren im Jahr 1553 wurde die Werkstatt von seinem Sohn, Lucas Cranach dem Jüngeren, weitergeführt.
(https://www.klassik-stiftung.de/ihr-besuch/ausstellung/cranachs-bilderfluten/) / (https://lucascranach.org/)",kif,,+,
165610,Menekrates Askle... (Eumeneia),Menekrates Askle... (Eumeneia),,,"""Menekrates tou Askle..., Menekrates, Sohn des Askle...
Magistrat in Eumeneia/Phrygien nach 133 v. Chr. Auf zeitgleichen Münzen einer anderen Serie erscheint nur der Name Menekrates (BMC Phrygia Nr. 9[-11]), siehe dort.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 376. 674."" - https://ikmk.smb.museum/ndp/person/11136, 18.09.2021",piz,male,+,
171193,G. Hans Friedrich,G. Hans Friedrich,,,Druckerei in Dresden,kif,,+,
273368,Fritz P. Krueger (Fotoatelier),Fritz P. Krueger (Fotoatelier),,,"Berliner Fotograf/Fotoatelier, vermutlich zweite Hälfte des 20. Jahrunderts.",kif,,+,
119426,Heinrich Natter,Heinrich Natter (1844-1892),1844,1892,"Heinrich Natter (* 16. März 1844 in Graun im Vinschgau, Südtirol; † 13. April 1892 in Wien) war ein österreichischer Bildhauer. (wikipedia)",piz,male,+,
263937,Theodor Wernz,Theodor Wernz,,,Mühlenbesitzer in Grethen (19. Jh.) und Schwiegervater von Hermann Schäfer,piz,male,+,
226559,August Heuser,August Heuser (1807-1844),1807,1844,"Bruder von Georgine Heuser, wohnhaft in Gummersbach",piz,male,+,
332393,Carl Kagel,Carl Kagel,,,"2. Hälfte 19. Jh., 1856-1866 Teilnahme an den Berliner Akademie-Ausst.",piz,male,,
17869,Fritz Rickriem (Firma),Fritz Rickriem (Firma),,,"Berliner Unternehmen, u. a. Herstellung von Fischentgrätern",kif,,+,
9347,J. Blume (Fotograf),J. Blume (Fotograf),,,"Fotograf im Kreis Wolmirstedt, 2. H. 20. Jh.",piz,,+,
50704,C. Michel (Schlosser),C. Michel (Schlosser),,,Schlosser in Frankreich. Nachgewiesen um 1750.,piz,male,+,
335116,Adam Brüderlein,Adam Brüderlein (1611-1665),1611,1665,"Papiermacher in Zwönitz; Besitzer der Papiermühle Zwönitz; Eheschließung in Zwönitz, Ehefrau; Valentin Tischendorf, Greiz, beschwert sich über ihn bei den Schöffen in Leipzig wegen Übertretung des Lumpensammler-Privilegs 

GND: 1032590904",piz,male,+,https://d-nb.info/gnd/1032590904
344484,Männer-Turn-Verein Mariendorf,Männer-Turn-Verein Mariendorf,,,Turnverein in Berlin-Mariendorf (gegründet 1889),kiz,,+,
192592,Verein der Pfälzer in Berlin,Verein der Pfälzer in Berlin,,,Der Verein der Pfälzer in Berlin wurde am 2. 7. 1925 gegründet.,kiz,,+,https://d-nb.info/gnd/5335867-3
47554,David Dick,David Dick (1655-1720),1655,1720,"""David Dick‏‎
Sohn von Hans Jakob Dick und Ursula Römer‏.
Geb. ‎23 Dez 1655 in Bern, Bern, BE, CH
Gest. ‎1702‎, 46 oder 47 Jahre
Beruf: Landschafts- und Historienmaler"" - http://www.bernergeschlechter.ch/humo-gen/family.php?database=humo_&id=F27425&main_person=I80121, 20.07.2018",piz,male,+,
45627,Maria Ana Centeno de Romainville,Maria Ana Centeno de Romainville,,,"Aus Cuzco, verheirat mit Romainville ""a french citizen who had established himself in the ancient Inca capital.""",piz,female,+,
210961,Männergesangverein Germania Eberbach,Männergesangverein Germania Eberbach,,,Nachgewiesen 1895.,kim,,+,
252734,Mantitheos Biano,Mantitheos Biano,,,"""Mantitheos tou Bianoros. Manthiteos, Sohn des Bianor.

Magistrat in Apameia/Phrygien zwischen ca. 88 und 76 v. Chr.

Der Name erscheint auf Kistophoren.

Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 407. 658."" - https://ikmk.smb.museum/ndp/person/13353, 02.12.2023",piz,male,+,
169901,Alwin Arnold (Verlag),Alwin Arnold (Verlag),,,Verlag in Dresden-Blasewitz (nachgewiesen 1897/99),kiz,,+,
311546,Louis Galle,Louis Galle,,,"Graveur in Obertiefenbach, lebte um 1880",piz,male,+,
24325,L. Kussmann (Mühlenbesitzer),L. Kussmann (Mühlenbesitzer),,,"Mühlenbesitzer in Kiszewo, nachgewiesen für Zeit um 1913.",piz,,+,
40373,Landesfremdenverkehrsverband Rheinland e. V.,Landesfremdenverkehrsverband Rheinland e. V.,,,Tourismuseinrichtung im Rheinland.,kiz,,+,
14112,Siegel und Co. GmbH,Siegel und Co. GmbH,,,"Sidol-Werke in Köln
Die Sidol-Werke wurden 1903 von den Kaufleuten Siegel und Wolf gegründet.",kif,,+,http://d-nb.info/gnd/1601805-9
114960,Moritz Heinrich Weiße,Moritz Heinrich Weiße (1828-1909),1828,1909,"""Moritz Heinrich Weiße
2.7.1828 - 1.5.1909
Nachweiszeit: 1856 - 1904
beruflicher Titel, Amtsbezeichung, Dienstgrad: Hofuhrmacher
Beruf: Uhrmacher
- deutscher Uhrmacher, königlich sächsischer Hofuhrmacher in Dresden 
- Vorgänger [?] Salomo Weiße 
- 1856 bis 1904: Als Uhrmacher in Dresden nachweisbar. 
- Verleihung des Titels eines Hofuhrmachers 

(Quellen: ABD 1856, 1860, 1880, 1904; Altdokumentation)"" - Stadtmuseum Dresden, 07.03.2020",piz,male,+,
115644,Druckerei Doktor,Druckerei Doktor,,,Druckerei Doktor aus Neuwied am Rhein,kif,,+,
122903,Jean-Baptiste Jules Charvet,Jean-Baptiste Jules Charvet (1824-1882),1824,1882,"""geb. in Macon; Franz. Sammler; Architekt"" - gnd, 18.08.2024",piz,male,+,http://d-nb.info/gnd/12227170X
162577,Faber Druck GmbH,Faber Druck GmbH,,,Druckerei in Kaiserslautern,kif,,+,
336523,Friedrich Neide,Friedrich Neide (1806-1867),1806,1867,"Maler, um 1835 nachweisbar in Magdeburg",piz,male,,
205551,Jean-Michel Diébolt,Jean-Michel Diébolt (1779-1830),1779,1830,"Maler von Landschaften und Tierstücken (Hirtenszenen) aus Frankreich, tätig in Paris",piz,male,+,
201097,Barber & Klusemann,Barber & Klusemann,,,Betreiber einer Dampfmühle in Ofen (Budapest),kif,,+,
206813,Georg Wessa,Georg Wessa,,,Stammt aus Diedesfeld. Veröffentlichte Bücher über die Pfalz.,piz,male,+,
248657,August Schober,August Schober (1846-1913),1846,1913,Marmorpolierer und Grabsteinfabrikant in Berlin,piz,male,+,
8565,Hermann Matthäi,Hermann Matthäi,,,"Freund und Reisegefährte von Theobald von Oer;
Hermann Matthäi war der Sohn Professor Friedrich Matthäis, dessen private Schule an der Kunstakademie in Dresden von Oer besuchte.",piz,male,+,http://d-nb.info/gnd/1184407703
170701,Schuhmacher-Innung Döbeln,Schuhmacher-Innung Döbeln,,,"Innung der Schuhmachermeister in Döbeln, nachgewiesen 1930

Lade durch Mitglieder gestiftet: ""Gestiftet vom Ehrenobermeister Ferd. Reichel 1930. Stellvertr. Gust. Hofermeister, Kass. Ernst Schmalfuß, Schriftf. A. Hintersdorf, P. Röhrig, Beis. K. Bräuer. C. Altwig, M. Baum"" (Schuhmacher aus Döbeln).",kiz,,+,
139873,Gallija Gafnatullina,Gallija Gafnatullina,,,Tatarisches Lied- und Tanzensemble unter Leitung von S. Achmetow.,kim,,+,
328732,Irene Weiß,Irene Weiß (1921-1950),1921,1950,Irene Weiß war eine deutsche Schauspielerin.,piz,female,+,https://d-nb.info/gnd/1330634772
2954,John May,John May (1692-1738),1692,1738,Uhrmacher in London,piz,,+,
20724,Joseph Bernhard von Chlingensperg,Joseph Bernhard von Chlingensperg (1749-1811),1749,1811,"geb. den 11. Februar 1749,
""Joseph Maria Bernhard von Chlingensperg auf Schönhofen und Berg war Beamter und diente als Appellations- und Geheimer Rat in München. Er war auf Schloss Berg ob Landshut ansässig."" (gnd, 18.09.2017)
1. Fidei-Kommissar der Hofmark Berg und königl. bayrischer Revisionsrat",piz,male,+,http://d-nb.info/gnd/1104395975
341405,Christian Wilhelm Cronpusch,Christian Wilhelm Cronpusch (-1755),,1755,"Danziger Maler. Geboren um 1692 in Brieg, 1713 Aufnahme in die Danziger Malerzunft. Historien- und Porträtmaler.",piz,male,+,https://d-nb.info/gnd/1060778432
133765,Jacob Garnich,Jacob Garnich,,,"Drucker in Nancy, nachgewiesen für 1614-1619.",piz,male,+,http://d-nb.info/gnd/103762467X
172509,Fotoatelier Stephany & Baumann,Fotoatelier Stephany & Baumann,,,"Fotoatelier in
- Zürich, Schützengasse 21, belegt ca. 1886-1891
Zusammenarbeit von Gottlieb Stephany und Adolf Baumann, Vorgängerfirma von Adolf Baumann & Co.

Quelle: https://www.foto-ch.ch/?a=fotograph&id=20874&lang=de",kif,,+,
277138,Kálmánné Huber,Kálmánné Huber,,,"ungarische Autorin, 20. Jh.",piz,female,+,
132746,Carl Kress von Kressenstein,Carl Kress von Kressenstein (1550-1578),1550,1578,Nürnberger Patrizier.,piz,male,+,
259486,Jacques Craz,Jacques Craz (-1907),,1907,"Kaufmann in Frankfurt am Main; belegt ab 1877 (Johann Jacob Craz bereits 1871-76, evtl. andere Namensform?). Verstorben 31.08.1907.
Quellen: Adressbuch Frankfurt ab 1877 (1871-76 Joh. Jac, Craz); Jahrbuch des Freien Deutschen Hochstifts 1907, S. 333.",piz,male,+,
22228,Roland Unger,Roland Unger (1941-),1941,,"Maler, Kunsterzieher

""Professor für Kunstpädagogik"" - gnd, 31.07.2022",piz,male,+,http://d-nb.info/gnd/172428785
195026,Ferdinand Hauber GmbH,Ferdinand Hauber GmbH,,,Textilhersteller in Nürtingen.,kif,,+,
186119,Coulaux,Coulaux,,,"1801: Jacques und Julien Coulaux übernehmen sukzessive die kaiserliche Produktion der Blankwaffen (Hieb-, Stich-, Schlag-, Stoß-, Schutzwaffen etc.) und die königliche Fabrik in Klingenthal. Sehr bald wurde die Produktpalette um Werkzeuge und Kaffeemühlen erweitert.

1925: Das Familienunternehmen Coulaux wird zur Aktiengesellschaft ""Coulaux et Compagnie S.A."" mit Hauptsitz in Montbrisson (Loire) und Generaldirektion in Paris. Die Familie Firminy (heute Marine-Firminy) hält die Mehrheit der Anteile.

1928: Übernahme des jetzt französischen Unternehmens Mutzig-Framont.

1962: Am 1. Februar stellt Coulaux die Unternehmensaktivitäten endgültig ein.",kif,,+,
340701,Joseph Winter (Ohlau),Joseph Winter (Ohlau) (1784-1844),1784,1844,"Mitschüler Joseph von Eichendorffs im Breslau, später Bürgermeister in Ohlau",piz,male,+,
64022,Rapunzel (Märchenfigur),Rapunzel (Märchenfigur),,,Märchenfigur,pxl,,+,
331336,P. Vibius,P. Vibius,,,"""Sacedos Caesaris in Parion/Mysien unter Octavianus/Augustus. Freigelassener des Senators Manlius Acilius."" - https://ikmk.smb.museum/ndp/person/4982, 15.08.2025",piz,,+,
1691,"Baugesellschaft für elektrische Anlagen, Wiesbaden","Baugesellschaft für elektrische Anlagen, Wiesbaden",,,Baute elektrische Schalttafeln. Sitz: Wiesbaden (nachgewiesen 1904).,kif,,+,
172217,Verlag Th. Hofmann (Gera),Verlag Th. Hofmann (Gera),,,Verlag in Gera,piz,,+,
20012,Pfeffer Brauerei,Pfeffer Brauerei,,,Brauerei in Berlin (Schönhauser Allee 176),kif,,+,
220091,"J. P. Bemberg, Baumwoll-Industrie-Gesellschaft","J. P. Bemberg, Baumwoll-Industrie-Gesellschaft",,,"Von 1897-1902 in Barmen wirkendes Textilunternehmen.
Nachfolger: J.-P.-Bemberg-Aktiengesellschaft, Barmen",kif,,+,https://d-nb.info/gnd/5309698-8
29486,Helmut Schulz (Modelleur),Helmut Schulz (Modelleur) (1906-1984),1906,1984,"* 1906 Weinböla - † 1984 Meissen, arbeitete bei der Meißener Porzellanmanufaktur als Modelleur",piz,male,+,
63067,Albert Moores,Albert Moores,,,"Porträt- und Architekturmaler, nachgew. in Potsdam um 1850 - 1860",piz,male,+,
126623,Kurt Rehschuh,Kurt Rehschuh (1909-1996),1909,1996,"Landschaftsmaler, tätig in der ersten Hälfte des 20. Jahrhunderts, überwiegend Darstellung von Harzlandschaften.
Kurt Rehschuh bzw. Curt Rehschuh wurde am 6.11.1909 in Wernigerode geboren und starb 1969 in Ballenstedt. Bis nach 1961 war er in Wernigerode ansässig und u.a. als Dekorateur tätig.",piz,male,+,
54285,Dieter Wullkopf,Dieter Wullkopf,,,Grafiker in Witzhave (nachgewiesen 1991),piz,male,+,
234707,Smeeton-Tilly (Xylografische Anstalt),Smeeton-Tilly (Xylografische Anstalt),,,Xylografische Anstalt von Joseph Burn Smeeton und Auguste Tilly (†1898),kif,,+,
191820,Schubert Restaurierungen GmbH,Schubert Restaurierungen GmbH,,,Restaurierungsfirma im Auftrag des Simonetti Haus Coswig (Anhalt) e.V.,kif,,+,
62281,Peter Forster (Münzdesigner),Peter Forster (Münzdesigner),,,Entwarf Design für 2 Pfund Münze der Royal Mint in Großbritannien,piz,male,+,
5293,Christoph Vogel (Zimmermann),Christoph Vogel (Zimmermann),,,Zimmermann aus Eckartsberga. Ende 18. Jh.,piz,male,+,
