21313,Johann Christian Först (Husar),Johann Christian Först (Husar),,,"Husar in der Königlich Preußischen Armee.
Oktober 1815 stationiert in Frankreich?",piz,male,+,
260276,Anna Clara Daniel,Anna Clara Daniel,,,"geborene Rotwitt; Doktorswitwe in Frankfurt am Main (Witwe des Dr. jur Heinrich Daniel August Daniel, Advokat und Fiscal-Adjunct, gestorben 1875/76). Belegt 1876-1899.",piz,female,+,
162502,Deusch-Schwedische Vereinigung Weißenfels,Deusch-Schwedische Vereinigung Weißenfels,,,"Zweigverein der Deutsch-Schwedischen Vereinigung. Mitbegründer war Otto Link. 1932 gegründet, wahrscheinlich bis 1945 bestanden.",kiz,,+,
56198,H. Th. Böhme AG FEWA Abteilung Chemnitz,H. Th. Böhme AG FEWA Abteilung Chemnitz,,,"""Der VEB Fettchemie (vormals H. Th. Böhme AG bzw. Böhme Fettchemie GmbH) war ein bedeutendes Chemieunternehmen mit Sitz in Chemnitz und weiteren Produktionsstandorten in Mohsdorf, Oberlichtenau, Zwickau, Dresden und Hirschfelde. Neben Wasch- und Spülmitteln (Fewa, fit) produzierte es vor allem chemische Hilfsstoffe für die Papier-, Leder- und Textilindustrie. "" - Wikipedia (de) über VEB Fettchemie Chemnitz, 20.11.2021",kif,,+,
238285,Töpferei Hans Schulze,Töpferei Hans Schulze,,,"Töpferei in Görzke, 1. H. 20. Jh.",kif,,+,
193371,VEB Wartburg-Schnellwaagenfabrik,VEB Wartburg-Schnellwaagenfabrik,,,Waagenfabrik,kif,,+,
328893,Paul Küst (Firma),Paul Küst (Firma),,,"Berliner Abzeichen-, Fahnen-, Orden- und Bandfabrik Paul Küst, 19./20. Jh.",kif,,+,
257528,Alfred H. Sumner,Alfred H. Sumner,,,Alfred H. Sumner diente während der Berliner Luftbrücke bei dem 11th Air Formation Signals Regiment der britischen Royal Air Force auf dem Flugplatz Schleswigland.,piz,male,+,
144691,Magistratsdruckerei Berlin,Magistratsdruckerei Berlin,,,Druckereibetrieb des Magistrats von Berlin,kif,,+,
270925,Paul Knabe,Paul Knabe (1874-1937),1874,1937,"Paul Knabe (geb.19. 8. 1874, gest. 1937) war Teilhaber der durch die Sektmarke ""Rotkäppchen"" bekannten Sektkellerei Kloss & Foerster in Freyburg/Unstrut.",piz,male,+,
