MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
152103,RB Medical Engineering Ltd.,RB Medical Engineering Ltd.,,,"Firmirte bis 2000 als Rimmer Brothers, Namenswechsel durch Management buyout. Hersteller medizinischer Ausrüstungen in Ross-on-Wye, Herefordshire.",kif,,+,
31883,Schneider Computer Division,Schneider Computer Division,,,"""Die „Schneider Computer Division“ wurde in den 1980er Jahren als eigene Abteilung von den Schneider Rundfunkwerken aus Türkheim aufgebaut.
Zunächst vertrieb sie in Lizenz ab 1984 in Konkurrenz zum Commodore 64 den Amstrad CPC464. Später folgten die Amstrad PCW/Joyce-Schreibsysteme des und die IBM-kompatiblen Modelle Amstrad PC1512 und PC1640.
Danach versuchte sich das Unternehmen in Eigenentwicklungen und verkaufte auch eigene Computersysteme. Eine der ersten Eigenentwicklungen war der den CPC-Modellen 664/6128 sehr ähnlich geratene Schneider Euro PC mit integriertem 3,5""-Diskettenlaufwerk."" - Wikipedia über Schneider (Unternehmen), 22.07.2017",kif,,+,
163293,Christian Mätzschke,Christian Mätzschke (-1688),,1688,Maler und Radierer aus Kamenz,piz,,+,
199231,Bauschäfer Aktiengesellschaft für bergmännischen Untergrundbahn- und Tunnelbau,Bauschäfer Aktiengesellschaft für bergmännischen Untergrundbahn- und Tunnelbau,,,"""Bauschäfer Aktiengesellschaft für bergmännischen Untergrundbahn- und Tunnelbau, Berlin W 50, Augsburger Str. 61.
Gegründet: 21./1. 1930; eingetr. 4./3. 1930. Gründer: Gen.-Dir. Dr. phil. h. c. Rudolf ten Hompel, Münster i. Westf.; Hochtief Akt.Ges. für Floch- u. Tiefbauten vorm. Gebr. Helfmann, Dir. Heinrich Schäfer, Bauschäfer G. m. b. H., Volkswirt Heinz Bohlken, Essen.
Zweck: Ausführung von Arbeiten auf dem Gebiete des bergmännischen Untergrundbahnbaues, des Entwässerungs-, Wasserversorgungs- u. Tunnelbaues.
Kapital: RM. 300 000 in 300 Akt. zu RM. 1000, übern, von den Gründern zu pari.
Geschäftsjahr: Kalenderj. Gen.-Yers.: Im 1. Geschäftshalbj. Stimmrecht: 1 Aktie 1 St.
Vorstand: Reg.-Baumstr. Hanns Schäfer, Essen-Bredeney, Reg.-Baumstr. Erwin Fuchs, Duisburg; Reg.-Baurat a. D. Dr. Kurt Gaede, Berlin.
Aufsichtsrat: Gen.-Dir. Dr. phil. h. c. Rudolf ten Hompel, Münster i. W.; Dir. Heinrich Schäfer, Reg.-Baumstr. Dr.-Ing. e. h. Eugen Vogler, Dir. Trygve Olsen Herfeldt, Essen.
Zahlstelle: Ges.-Kasse"" - https://digi.bib.uni-mannheim.de/fileadmin/hoppenstedt/1006345701_193000351/pdf/1006345701_0494.pdf, 12.03.2023",kif,,+,
336570,Margarethe Schweitzer (Fotografin),Margarethe Schweitzer (Fotografin) (1907-1983),1907,1983,"Margarethe Schweitzer, geborene Rottstock war die Großnichte des Malers Karl Hagemeister, Enkelin von Hagemeisters Schwester. Sie heiratete 1931 den Fotografenmeister Herrmann Schweitzer, war aber selber als Fotografin ausgebildet. Sie erbte 1933 die Hälfte von dessen Nachlass. 
Ihr eigener Nachlass wurde 1983 verkauft, der überwiegende Teil des künstlerischen Nachlasses ihres Großonkels wurde von der Stadt Brandenburg an der Havel angekauft und dem Stadtmuseum übergeben.",piz,female,+,
60241,Anna Martha Napp,Anna Martha Napp (1982-),1982,,"Bildhauerin, geboren in Wismar",piz,female,+,http://d-nb.info/gnd/1176770462
272193,Preußische Bergwerks- und Hütten-Aktiengesellschaft,Preußische Bergwerks- und Hütten-Aktiengesellschaft,,,"""Bergbauunternehmen Dez. 1923 durch Umwandlung des Bergwerksbesitzes Preußens in AG, Hauptsitz Berlin, seit 1952 Hannover"" gnd 17.11.2025",kif,,+,https://d-nb.info/gnd/2018016-0
22223,Werner Carsch,Werner Carsch (1935-2014),1935,2014,Sächsischer Maler,piz,male,+,
147043,Königlich Preußisches Standesamt Stettin,Königlich Preußisches Standesamt Stettin,,,Standesamt in Stettin,kio,,+,
346757,Gustav Ludwig Johann von Wrangel,Gustav Ludwig Johann von Wrangel (1770-1811),1770,1811,"russischer Offizier, studierte später in Jena und wurde Arzt und Stadtphysikus in Reval (Tallin). Er war ein enger Freund von Clemens Brentano.",piz,male,+,
210780,Zespà,Zespà,,,"https://zespa.fr/en: In 2009 we founded ZESPÀ, here in the Aix-en-Provence in the South of France. We make high-end crafted footwear with patterns and colours inspired by our Mediterranean roots. We use noble ingredients, our products are long-lasting yet chic. Using our mastery we create shoes which are made for the customer who likes quality crafted products yet we are democratic when it comes to our prices. Firstly, we started by re-envisioning the design of the traditional espadrille turning it into a smart piece of footwear, then we walked our first catwalk in collaboration with Carven back in 2013. Then later we decide to make trainers a high-end product in 2014. For almost a decade we have shown to our customer how versatile our designs can be without forsaking our quality of our product, our character and elegance.",kif,,+,
267337,Konservatorium (Salzburg),Konservatorium (Salzburg),,,Hochschule in Salzburg. Bestand von 1914-1939. Ab 1922 staatlich.,kio,,+,https://d-nb.info/gnd/5246686-3
183184,Paul Stauß,Paul Stauß (1850-1936),1850,1936,Erfinder der Drahtziegelgewebes.,piz,male,-,
40653,Jean-François Beckaert,Jean-François Beckaert,,,"""Von dem aus den österreichischen Niederlanden stammenden Uhrmacher Jean-François Beekaert (auch Beckaert, Beeckaert oder Bekerr) sind nur wenige Lebensdaten bekannt: 1746 nahm ihn die Pariser Uhrmachergilde per königlichem Dekret auf. Er verwendete u. a. Gehäuse von Jean-Pierre Latz und Nicolas-Jean Marchand und dürfte nach 1772 gestorben sein."" - https://www.spsg.de/index.php?id=11508, 10.12.2017",piz,male,+,
5390,"Kombinat Sekundärrohstofferfassung, Kombinatsleitung","Kombinat Sekundärrohstofferfassung, Kombinatsleitung",,,"Sitz der Kombinatsleitung des Volkseigenen Kombinates Sekundärrohstofferfassung (VEB- SERO) in Berlin-Pankow, Thulestraße 7.",kiz,,+,
347719,Ferdinand Sommer (Maler),Ferdinand Sommer (Maler) (1822-1901),1822,1901,deutscher Vedutenmaler,piz,male,+,
64867,Firma Friedrich Wilhelm Remy,Firma Friedrich Wilhelm Remy,,,Firma in der Eisenverarbeitung engagiert. Niedergelassen in Bendorf am Rhein.,kif,,+,
16331,Frieda Kieser-Maruhn,Frieda Kieser-Maruhn,,,"Bildhauerin, nachgewiesen 1923/30",piz,female,+,
199735,"Gebr. Hoffmann, Bernsdorf (Oberlausitz)","Gebr. Hoffmann, Bernsdorf (Oberlausitz)",,,Nachfolger: AG für Glasfabrikation,kif,,+,
307349,Fotoatelier Klinkhardt & Eyssen,Fotoatelier Klinkhardt & Eyssen,,,"Fotoatelier in
- Dresden, Pragerstr. 56 und Bautzenerstr. 16 (Inhaber F. Eyssen), um 1914",kif,,+,
324756,Kathi Beckabetz,Kathi Beckabetz,,,1944 aus Tschene geflohen.,piz,female,+,
258189,Friedrich Gottlob von Hartmann,Friedrich Gottlob von Hartmann (1751-1835),1751,1835,Senator und Stadtsyndicus in Bautzen. 1792 geadelt.,piz,male,+,
