182598,Erich Schneider (Grafiker),Erich Schneider (Grafiker) (1903-),1903,,"Grafiker in Oschersleben (Lithografie, Linolschnitt)",piz,male,+,
73908,Sächsischer Brennstoff- und Mineralölhandelsverband e.V.,Sächsischer Brennstoff- und Mineralölhandelsverband e.V.,,,Handelsverband in Sachsen.,kiz,,+,
228089,Alfred Wirth & Co.,Alfred Wirth & Co.,,,"Die 'Maschinen- und Bohrgerätefabrik Alfred Wirth & Co.' wurde 1916 durch die Unternehmer Otto Wolff aus Köln und Alfred Wirth in Erkelenz gegründet. Vorgängerin war die Internationale Bohrgesellschaft AG, die 
am 8. August 1895 von Anton Raky, dem Kaufmann Heinrich Otto Seibt und weiteren Personen aus dem Elsass in Straßburg gründete worden war. 1902 verlegte die Firma ihren Sitz nach Erkelenz. Das Lex Gamp führte ab 1905 dazu zum Niedergang der I.B.G. und verschiedene Unternehmenszweige der I.B.G. wurden verkauft. Die Bohrabteilung mit dem Bohrpark ging 1916 an die Deutsche Erdöl-AG (DEA) und aus der Maschinen- und Bohrgerätefabrik in Erkelenz entstand die Alfred Wirth & Co. Diese Firma, wenn auch mit wechselnden Eigentümern, besteht immer noch in Erkelenz, zur Zeit unter dem Namen „MH Wirth“ .",kif,,+,
61691,Ferdinand Löffler (Münzmeister),Ferdinand Löffler (Münzmeister),,,"""Münzmeister an der Münzstätte Hall in Tirol von 1601 bis 1609.
Lit.: H. Moser - H. Tursky, Die Münzstätte Hall in Tirol 1477–1665 (1977) 354."" - https://ikmk.smb.museum/object?id=18206917, 09.09.2018",piz,male,+,
197628,Barbara Catoir,Barbara Catoir (1820-1909),1820,1909,"Ehemalige Besitzerin des Hauses Catoir in Bad Dürkheim.
Verheiratet mit Carl Catoir (1824-1909).",piz,female,+,
113962,Else Kamp Jensen,Else Kamp Jensen (1937-),1937,,"*1937 Fredericia (Dänemark) | 1970-1974 Studium an der Designskolen Kolding | 1974-1977 eigene Werkstatt in Kolding, seit 1977 in Solrød Strand bei Kopenhagen | 1977-1985 Mitarbeiterin bei Bing & Grøndahl in Kopenhagen | Gefäße aus Steinzeug und Porzellan, offene Ovalformen, aus Platten gebogen und montiert, mitunter mit umlaufendem Stempeldekor, außen unglasiert, mit Oxyden eingerieben",piz,female,+,
193490,Galerie des 20. Jahrhunderts,Galerie des 20. Jahrhunderts,,,Die Galerie des 20. Jahrhunderts existierte bis 1968. Sie wurde 1949 als Kunstsammlung des Berliner Senats in Berlin (West) gegründet.,kiz,,+,
350506,Saccoche S.A.,Saccoche S.A.,,,Schweizer Unternehmen um 1950,kif,,,
205977,VEB Frottex Berthelsdorf,VEB Frottex Berthelsdorf,,,"1899 schließt sich Hermann Dressler in Berthelsdorf und Ernst Marx aus dem benachbarten Großschönau zusammen und heben gemeinsam die Firma ""Dressler & Marx"" aus der Taufe. Am 1.Mai 1900 wird der erste Frottierwebstuhl im neuen Webereigebäude an der Berthelsdorfer Hauptstraße in betrieb genommen. Innerhalb weniger Jahre wird der junge Fabrikkomplex kontinuierlich erweitert. Das Unternehmen Dressler & Marx etabliert dabei die Marke ""Dressma"", exportiert die Waren bis in die USA und beschäftigt um 1930 zirka 350 Angestellte. Das Produktportfolio der Firma umfasste hauptsächlich Frottierhandtücher, -teppiche und -bademäntel. Mit dem dem Kriegsjahr 1944 muss die Weberei ihre Produktion aber einstellen und die Fabrikhallen der Siemens-Schuckertwerke aus Berlin zur Produktion von kriegswichtigen Elektroartikeln bereitstellen. Kurz nach dem Ende des 2. Weltkrieges geht es für die Firma Dressler & Marx bereits weiter. Als Reperationsbetrieb fertigt man vorwiegend für die sowjetische Besatzungsmacht. Ab 1960 wird das Unternehmen mit staatlicher Beteiligung weitergeführt. 1972 wurde das Unternehmen wie fast alle Betriebe mit staatlicher Beteiligung in einen volkseigenen Betrieb umgewandelt. Dieser firmierte zunächst unter dem Namen VEB Frottex Berthelsdorf, dem 1975 die Firma Rönsch & Söhne Löbau angegliedert wurde. Zum 1. Januar 1980 wurde das Unternehmen dem VEB Frottana Großschönau unterstellt. Die Anzahl der Beschäftigten betrug in den letzten Jahren durchschnittlich 300. Mit der Abwicklung der meisten oberlausitzer Textilbetriebe im Jahr 1990 endet auch in Berthelsdorf die Webereitradition.",kif,,+,
15008,F. C. Stendel,F. C. Stendel,,,Kommandeur der Altmärker Schützengilden (um 1850),piz,male,+,
