MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
64344,"VEB Streichgarnspinnerei Reichenbach, Werk IV","VEB Streichgarnspinnerei Reichenbach, Werk IV",,,"Das Werk IV (Werk Cunersdorf) wurde 1939 von der „August Schreiterer GmbH Streichgarnspinnereien Reichenbach“ (früher: „Gebr. Schreiterer, Reichenbach“) übernommen und gehörte bis dahin vermutlich zur Streichgarnspinnerei M. A. Popp AG. Durch den Ankauf verdoppelte die Firma ihre Produktion auf 500.000 kg Garn pro Jahr.
Die „August Schreiterer GmbH Streichgarnspinnereien Reichenbach“ wurde 1847 vom Tuchmacher Carl August Schreiterer als Wollwäscherei und in den folgenden Jahren zu einer Streichgarnspinnerei und Weberei weiterentwickelt. Nach einem Brand im ehemaligen Fabrikgebäude 1884, wurde 1895 der Neubau der Betriebsanlagen in Cunersdorf fertiggestellt. 
1972 wurde die Firma mit anderen Betrieben zum „VEB Streichgarnspinnerei Reichenbach“ verstaatlicht. Er gehörte zur „Vereinigung Volkseigener Betriebe Deko (VVB Deko)“ in Plauen.",kif,,+,
43936,Institut für Zuschlagstoffe und Natursteine,Institut für Zuschlagstoffe und Natursteine,,,"""Die Aufgabe des IZN bestand darin, für kombinatsangehörige Betriebe Bau-, Elektro- und Technologieprojekte durchzuführen. Hauptaufgabe war die Versorgung der Volkswirtschaft mit Rohstoffen. Der IZN zeigt z.B. die für die DDR typische Umstellung der Energiegewinnung von Rohölprodukten auf Braunkohlenstaub. Ebenso werden typische Technologien der Steine- und Erdenindustrie, die zum Einsatz kamen, aufgezeigt. Neue Verfahren der Rohstoffgewinnung, die Untersuchung von Neuaufschlüssen, Abbaustudien über Lagerstätten sowie Tagebau- und Abraumkonzeptionen wurden erstellt."" (http://archiv.sachsen.de/archiv/bestand.jsp?oid=09.05&bestandid=40148&syg_id=225327#geschichte)",kio,,,
198817,Fotoatelier Alphons Schneider,Fotoatelier Alphons Schneider,,,"Fotoatelier in
- Berlin-Tempelhof, Borussiastrasse 19",kif,,+,
31401,Johann Friedrich Conrad,Johann Friedrich Conrad,,,Verleger in Frankfurt/Main 1. H. 19. Jh.,piz,male,+,
125090,Verlag Ferdinand Rubach,Verlag Ferdinand Rubach,,,Magdeburger Verlag im 19. Jahrhundert.,kif,,+,
197758,Wilhelm Zastrow,Wilhelm Zastrow (1909-1982),1909,1982,Maler aus Deutschland.,piz,male,+,
332313,Wolf (Familie aus Zuckmantel),Wolf (Familie aus Zuckmantel),,,Familie Wolf stammte aus Zuckmantel und zog nach Korntal. Sie spendete der Zuckmantler Heimatstube eine nach eigenen Angaben 100 Jahre alte Holzschatulle.,pif,,+,
25620,Schauspielhaus Berlin,Schauspielhaus Berlin,,,"""Das Schauspielhaus (ehemals: Königliches Schauspielhaus, ab 1919: Preußisches Staatstheater, seit 1984: Konzerthaus Berlin) ist ein Baudenkmal am Gendarmenmarkt im Berliner Ortsteil Mitte des gleichnamigen Bezirks. In den Jahren 1818 bis 1821 von Karl Friedrich Schinkel erbaut, gehört es zu den Hauptwerken des deutschen Klassizismus. Im Zweiten Weltkrieg ausgebrannt, wurde es von 1976 bis 1984 außen originalgetreu und innen in historisierender Form als Konzerthaus wiederhergestellt."" - (Wikipedia (de) 26.07.2023)",kiz,,+,https://d-nb.info/gnd/2088926-4
327562,Johann Heinrich Lindemann,Johann Heinrich Lindemann,,,"Maler in Breslau, nachgewiesen um 1725. Porträt- und Historienmaler.",piz,male,+,
278266,Hermann A. Widemann,Hermann A. Widemann,,,"Schwäbisch Gmünd, 19. Jh.",piz,male,,
17031,Paul Jacobs,Paul Jacobs,,,"Geboren und als Kind wohnhaft in Samswegen.
Geschwister: Karl, Frieda und Fritz Jacobs.
Mutter: Vorname unbekannt, geborene Knuts, verheiratete Jacobs.
Vater: Vorname unbekannt, Nachname: Jacobs. Als Soldat im 1. Weltkrieg, für 1915-1917 Russland belegt.
Großereltern mütterlicherseits: Nachnamen Knuts, Vornamen unbekannt (Großvater 1923 gestorben, Großmutter 1928 gestorben).",piz,male,+,
128784,Anthonius Carli,Anthonius Carli (1647-1717),1647,1717,"""dt. Maler; Hofmaler des Kölner Kurfürsten Heinrich Maximilian von Bayern und Köln"" - gnd, 01.09.2024",piz,male,+,https://d-nb.info/gnd/1052841309
113590,Elfriede Klippel,Elfriede Klippel (1924-2005),1924,2005,Ehemalige Germersheimer Hobbykünstlerin,piz,female,+,
58006,Marcus Barbatius Pollio,Marcus Barbatius Pollio,,,"""Quaestor pro praetore 41 v. Chr. RRC Nr. 517. Erscheint auch als Duumvir in Parion unter Octavianus/Augustus (RPC I 384-385 Nr. 2261-2262)."" - https://ikmk.smb.museum/object?id=18215797, 12.09.2018",piz,,+,http://d-nb.info/gnd/1186998067
149015,"Sozialdemokratische Partei Deutschlands (SPD), Ortsgruppe Forst/Lausitz","Sozialdemokratische Partei Deutschlands (SPD), Ortsgruppe Forst/Lausitz",,,Ortsgruppe der Sozialdemokratischen Partei Deutschlands in Forst/Lausitz.,kiz,,+,
12062,Wilhelm Zirges (Verlag),Wilhelm Zirges (Verlag),,,Verlag in Leipzig,kif,,+,
