MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
23353,Gorontzi (Mühlenbesitzer),Gorontzi (Mühlenbesitzer),,,1911 Bauherr einer Mühle in Alt-Keykuth (Stare Kiejkuty),piz,,+,
206603,Verlag E. Nister,Verlag E. Nister,,,"Vollständiger Name des Verlages ist E. Nister Nürnberg, Kunstanstalt für graphische Reproduktionen jeder Art. Sitz des Unternehmens war in der Laufertormauer 8 in Nürnberg. ""Ernst Nister (geboren 1842 in Oberklingen, Hessen) hatte sich als Kaufmann frühzeitig in Holland, Belgien, Frankreich, Österreich, England und Amerika in verschiendenen Geschäftszweigen ausgebildet. Aus Amerika kommt er 1877 nach Nürnberg und übernimmt hier eine kleine chromolithographische Anstalt.""(http://www.albert-gieseler.de/dampf_de/firmen4/firmadet48813.shtml) 
Die Kunstanstalt war eine ""chemigraphische, chromographische und chromolithographische Anstalt; auch Herstellung von Reproduktionen, Druckplatten und keramischen Abziehbildern für Porzellan und Buchbinderei. - 1899: Die Firma pflegt alle Zweige der graphischen Kunst, ferner die Herstellung ganzer Werke. Eine große Anzahl der Arbeitsmaschinen wird durch Elektromotoren betrieben, von denen 18 vorhanden sind; Kraftanlage: 2 Dampfkessel zusammen h= 400 qm, 2 Dampfmaschinen, 2 Dynamomaschinen für Licht- und Kraftübertragung, 1 Dynamo (4 PS) für die Akkumulatorenanlage."" Die Quellenangabe stammt aus dem Reichs-Adreßbuch (1900) 477] [VDI (1899) 1120] [Maschinenbau-AG, Nürnberg: Lieferbuch Dampfmaschinen (http://www.albert-gieseler.de/dampf_de/firmen4/firmadet48813.shtml)",kif,,+,
52195,Otto Brandt (Schuldirektor),Otto Brandt (Schuldirektor),,,Schuldirektor und Lehrer in den 1920er Jahren in Teltow,piz,male,+,
201906,Pyrrhos (Smyrna),Pyrrhos (Smyrna),,,"""Pyrrhos
Magistrat in Smyrna/Ionien.
Sein Name erscheint auf Münzen aus der Zeit zwischen 115 und 105 v. Chr.
Lit.: J. G. Milne, The autonomous silver coinage of Smynra II, Numismatic Chronicle 1927, 71 Nr. 241 (115-105 v. Chr.); SNG Aulock Nr. 2167; W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 787; Th. Corsten, Lexicon of Greek Personal Names V A. Coastal Asia Minor (2010) 389 s. v. Pyrrhos (Nr. 15)."" - https://ikmk.smb.museum/ndp/person/9533",piz,,+,
267347,Kertész Gyula,Kertész Gyula (1900-1967),1900,1967,"Kertész Gyula (Bp., 1900. jún. 7. – Bp., 1967. júl. 6.): zeneszerző, tanár. 1918-ban elemi isk. tanítói, 1923-ban polgári isk. tanári, 1928-ban tanítóképzői tanári oklevelet szerzett, közben Kodály Zoltánnál a Liszt Ferenc Zeneművészeti Főisk.-n zeneszerzést tanult. 1931-ben egyik alapító tagja volt a Magyar Kórus c. lap- és zeneműkiadó vállalatnak, amely 1950-ig állt fenn. A kiadóvállalat megszüntetéséig társszerk.-je volt az Énekszó; Éneklő Ifjúság és Magyar Kórus c. folyóiratoknak; ezekben egyházi és világi műveinek egy része is megjelent. Életének utolsó éveiben ének, történelem és földrajztanítással foglalkozott és az MTA Népzenekutató Csoportjában végzett tudományos munkát. Megszervezte az „Éneklő ifjúság” mozgalmat. Szerk. a Hozsanna c. kottás népénekeskönyvet (Bp., 1961). forrás: Arcanum, Kézikönyvtár, Magyar Életrajzi Lexikon",piz,male,+,
11797,Scheurich (Glashandel),Scheurich (Glashandel),,,"""1928 von Alois Scheurich als Großhandlung für Glas, Porzellan und Keramik gegründet, folgte in den fünfziger Jahren der Startschuss für die Keramikproduktion. Dank einer Vielzahl an Innovationen entwickelte sich das Familienunternehmen zum Marktführer in Europa bei Indoor-Gefäßen und Accessoires für Blumen und Pflanzen."" Quelle: http://www.scheurich.de/v2.0/1_marke.php?sid=12cff0bccb4153546b3e5ba730347b04 ; abgerufen am 25.9.2013",kif,,+,
277283,Margaretha Schreyer,Margaretha Schreyer,,,"Margaretha Schreyer geb. Kammermeister, Frau des Bürgers Sebald Schreyer in Schwäbisch Gmünd",piz,female,,
44170,Edward M. Andrews,Edward M. Andrews,,,Captain. Führte um 1905-1907 Grabungen und Erkundungen in Simbabwe durch.,piz,,+,
344751,Uta Albeck,Uta Albeck (1938-),1938,,"Uta Albeck ist eine deutsche Künstlerin. Schwerpunkte ihrer Arbeit: Spezielle Techniken in Feder, Aquarell und Acryl. 1938 Geburt in München. Kindheit und erste Schuljahre am Starnberger See. Grafikschule, Studium der Malerei an der Kunstakademie München (Prof. W. Heise, Prof. E. Glette). Mitarbeit in einem Grafik-Atelier. Federzeichnungen, Aquarellstudien. Nach längerer Familienphase erneuter Beginn der künstlerischen Arbeit Ende der 70er Jahre. Sommerkurs Malerei bei Heribert Losert.",piz,female,+,
150834,Walfried Blaul,Walfried Blaul,,,Besitzer des Blaulschen Hofes in Fußgönheim (1928?),piz,male,+,
184336,Bruno Ollmann Audiometer KG,Bruno Ollmann Audiometer KG,,,Fabrik für Elektro-Akustik in Essen (gegründet 1937),kif,,+,
75055,Konstantinos Danassis,Konstantinos Danassis (1891-),1891,,"Konstantinos Danassis, geboren 1891 in Tzermiado, war ein griechischer Landmann, der während des Ersten Weltkriegs im Kriegsgefangenenlager Görlitz interniert war.",piz,male,+,
256536,Philipp der Ältere von Kronberg,Philipp der Ältere von Kronberg (-1447),,1447,Ritter von Kronberg/Cronberg,piz,male,+,
18906,Dampfkessel- und Maschinenfabrik Otto Lilienthal,Dampfkessel- und Maschinenfabrik Otto Lilienthal,,,1883 von dem Flugpionier gegründete Fabrik für Dampfkessel und -maschinen in Berlin,kif,,+,http://d-nb.info/gnd/4845460-6
128060,Heinrich Raab,Heinrich Raab (1667-1697),1667,1697,Kupferstecher in Nürnberg.,piz,male,+,http://d-nb.info/gnd/1214002978
178736,Vereinigung der Freunde von Kunst und Kultur im Bergbau (VFKK),Vereinigung der Freunde von Kunst und Kultur im Bergbau (VFKK),,,"""Die als gemeinnützig anerkannte Vereinigung der Freunde von Kunst und Kultur im Bergbau e.V. (VFKK) ist der 1947 gegründete Förderverein des Deutschen Bergbau-Museums Bochum. In ihm haben sich Menschen aus vielen Ländern in Europa und Übersee zusammengefunden, die sich dem Bergbau und seinen Traditionen verbunden fühlen und sich aus wissenschaftlichem Interesse mit dem Bergbau und seiner Geschichte beschäftigen."" - https://vfkk.de/, 13.08.2022",kiz,,+,https://d-nb.info/gnd/16315443-0
221287,Margot Werner-Galow,Margot Werner-Galow (1902-1984),1902,1984,"Malerin, geboren in Berlin 1902-1984 in Emmendingen verstorben.",piz,,+,https://d-nb.info/gnd/1012769461
126712,Ziegenhals & Lorenz,Ziegenhals & Lorenz,,,Atelier für Musterzeichnen Chemnitz i.S.,kiz,,+,
73139,Theodoros (Magnesia),Theodoros (Magnesia),,,"""Theodoros
Magistrat in Magnesia am Sipylos/Lydien zwischen ca. 20 und 10 v. Chr.
Erscheint zusammen mit M. Tullius Cicero dem Jüngeren.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 548."" - https://ikmk.smb.museum/ndp/person/3212, 18.10.2020",piz,,+,
22416,Constantin Schmidt (Maler),Constantin Schmidt (Maler),,,"Maler, Wirkungsdaten: 1817 - 1855 (rkd)
nachgewiesen 1830 in Plauen im Vogtland",piz,male,+,
1768,Zechnersche Buchdruckerei Speyer,Zechnersche Buchdruckerei Speyer,,,"Druckerei in Speyer, ab 1883",kif,,+,http://d-nb.info/gnd/2077093-5
349974,Ernst Friedrich Furer,Ernst Friedrich Furer (1887-1974),1887,1974,Schweizer Maler,piz,male,+,
252593,François Mioche,François Mioche (1802-1858),1802,1858,"Münzsammler und Numismatiker.
22.10.1802 -19.02.1858",piz,male,+,
74582,Sanatorium Dr. Spitznagel,Sanatorium Dr. Spitznagel,,,Dr. med. Dr. dent. Heinrich Spitznagel (07.12.1891 - 04.09.1960) baute nach 1940 mit seiner Frau Elly das Sanatorium in Bad Bodendorf auf.,kif,,,
116848,"Porzellanfabrik C. M. Hutschenreuther, Hohenberg","Porzellanfabrik C. M. Hutschenreuther, Hohenberg",,,"C. M. Hutschenreuther (Porzellanfabrik), Porzellanfabrik in Hohenberg an der Eger (1822–1969)",kif,,+,
24215,A. Lehmann (Mühlenbesitzer),A. Lehmann (Mühlenbesitzer),,,"Mühlenbesitzer in Fermerswalde, um 1900",piz,,+,
260421,Erika Komárominé Faragó,Erika Komárominé Faragó,,,Mitarbeiterin des Donau-Museums in Esztergom,piz,female,+,
310318,Gerngroß (Warenhaus-Unternehmen),Gerngroß (Warenhaus-Unternehmen),,,"Alfred Abraham Gerngross legte am 26. September 1879 mit der Eröffnung eines Geschäftes in der Kirchengasse 2 im 7. Wiener Gemeindebezirk den Grundstein für das spätere Warenhausunternehmen, welches sich zu einem in ganz Österreich tätigen Konzern (Gerngross-Gruppe) entwickelte. Beide Schreibweisen den Namens, Gerngross und Gerngroß, kommen vor, allerdings ist ""Gerngross"" die gängige Schreibweise.",kif,,+,
104674,"Hertel, Schwab & Co.","Hertel, Schwab & Co.",,,"""1910 gründeten August Hertel und Heinrich Schwab beide Puppen Designer und ihr Minderheiten-Partner Hugo Rosenbush der ein Porzellanmaler war die Firma Hertel, Schwab & Company.
Sie war auch als Stutzhauser Porzellanfabrik bekannt.
Einige Puppen wurden ausschließlich für den amerikanischen Markt hergestellt; Bye-Lo-Baby für George Borgfeldt, Unser Baby-Puppe Formnummer 152 und Unsere Fee Puppe Formnummer ju 222 für Louis Wolf & Co., Jubiläums Puppen für Strobel & Wilken.
Sie produzierte auch Porzellanköpfe für andere deutsche Puppenhersteller wie Kley & Hahn, König & Wernicke und wohl noch andere.
Sie produzierten Charakter Babys, Kinder-und Charakter-Gesicht Puppen, alle von sehr guter Qualität."" - https://www.historytoy.com/Firmengeschichte-Firmenbeschreibung-Historie-Hertel-Schwab-C0, 04.06.2020",kif,,+,
23621,Hohenlohe-Oehringen (Familie),Hohenlohe-Oehringen (Familie),,,"Standesherren von Hohenlohe-Öhringen; Hohenlohe-Öhringen war ab 1805 der Name des früheren Fürstentums Hohenlohe, welches 1806 mediatisiert wurde. Die Familie von Hohenlohe-Öhringen war außerdem u. a. in Slawentzitz in Oberschlesien begütert.",pif,,+,http://d-nb.info/gnd/119294427
113783,Ferdinand Funk (Bad Dürkheim),Ferdinand Funk (Bad Dürkheim),,,Ferdinand Funk wurde für seine Verdienste um die Feuerwehr am 25.05.1965 mit der Verdienst-Medallie der Stadt Bad Dürkheim ausgezeichnet.,piz,male,+,
222874,Herrmann Hammel (Bäcker),Herrmann Hammel (Bäcker),,,Obermeister der Bäckerinnung Heilbronn,piz,male,+,
141269,Pierre Legall,Pierre Legall,,,"Bretone, der im ersten Weltkrieg im Kriegsgefangenenlager Wahn interniert war und von dem Tonaufnahmen erstellt wurden.",piz,male,+,
24227,H. C. Bogk,H. C. Bogk,,,Um 1909 Besitzer einer Wassermühle in Niederröblingen,piz,,+,
269489,Schwäbischer Chorverband,Schwäbischer Chorverband,,,"""1.6.2008 Umbenennung des Schwäbischen Sängerbundes 1849 e.V., Sitz: Stuttgart; Dachverband von Sängervereinen im Gebiet des ehemaligen Württemberg u. Hohenzollern"" (GND 15.05.2024)",kim,,+,https://d-nb.info/gnd/10370900-9
21987,Wilhelm Neukirchner (Dioramenersteller),Wilhelm Neukirchner (Dioramenersteller),,,"Stellte Dioramen her, nachgewiesen um 1905 in Zwönitz",piz,male,+,
280591,Fotoatelier Walter Zülecke,Fotoatelier Walter Zülecke,,,"Fotoatelier in
- Magdeburg (Nachweis Magdeburger Atelier in der Lübecker Straße 35 für 1921 bis 1933)
- Farsleben (Nachweis Atelier in Farsleben, Schricker Weg 1 für 1951; Registrier-Nr. IV/24/3)",kif,,+,
266629,Baedeker Verlagshandlung,Baedeker Verlagshandlung,,,Verlag in Essen (nachgewiesen 1917),kif,,+,
181711,Marie von der Osten,Marie von der Osten (1856-1939),1856,1939,"Zeichenlehrerin und Malerin aus Berlin, Tochter eines Sängers. Ausgebildet an der Berliner Kunstakademie zur Zeichenlehrerin, wo sie 1876 einen Abschluss erhält. Die Malerin wurde von Professor Franz Skarbina unterrichtet; das Abschlußzeugnis wurde vom Präsidenten der Akademie, Friedrich Hitzig, und vom Sekretär, Theodor Fontane, signiert.
Als Mitglied des Vereins der Berliner Künstlerinnen 1892-1927 ist sie dort jedoch nicht mit Ausstellungsbeteiligungen nachweisbar. Die letzte Wohnung und Atelier war in der Berlin-Schöneberger Hauptstraße 136.
Ein etwa 200 Blatt umfassender Nachlass von Skizzen im Stadtmuseum Berlin zeigt sie als routinierte, nicht sehr innovative Zeichnerin.",piz,female,+,
75867,Arndt Rademecker,Arndt Rademecker,,,Bürgermeister von Unna 1556.,piz,male,+,
336540,James Winchester,James Winchester (1810-1890),1810,1890,Amerikanischer Hersteller und Fabrikant von Schusswaffen.,piz,male,-,
181832,Typis Regiae Universitatis Pestiensis,Typis Regiae Universitatis Pestiensis,,,Verlag in Budapest. Nachgewiesen für 1833.,kif,,+,
