176426,Völcker,Völcker,,,"1827/28 in Gießen
gnd: 319352",,,-,
23442,Friedrich Hendrischk (Mühlenbesitzer),Friedrich Hendrischk (Mühlenbesitzer),,,Um 1901 Besitzer der Kathlower Mühle bei Klinge,piz,male,+,
267559,Wihelm Jorck (Papierhandlung),Wihelm Jorck (Papierhandlung),,,"Geschäft in Landsberg an der Warthe (Gorzów Wlkp.), als Verlag für Ansichtskarten nachgewiesen durch ein 1898 verschicktes Exemplar mit der Aufschrift ""Verlag v. Wilhelm Jorck, Papierhandlung, Landsberg a./W.""",kif,,+,
197345,Roland Zaugg,Roland Zaugg (1942-),1942,,Nach einer Lehre als Hochbauzeichner studierte Roland Zaugg von 1966 bis 1972 in der Abteilung Industrialisiertes Bauen an der Hochschule für Gestaltung Ulm. Danach arbeitete er als Städteplaner in verschiedenen Architektur- und Planungsbüros. Von 1985 bis 2005 war er stellvertretender Leiter der Abteilung Struktur und Entwicklung des Hochbau- und Planungsamtes des Kantons Basel-Stadt.,piz,male,+,
271062,Maria von Thilo,Maria von Thilo,,,"Dr. med., Frauenärztin (Promotion Bern 1890), geb. in Reval",piz,female,+,
203900,Paul Wirth (Maler),Paul Wirth (Maler) (1821-1870),1821,1870,"Paul Wirth (1821-1870), Maler, erwähnt im Adressbuch Stuttgart 1855, wohnhaft Tübingerstraße 1.",piz,male,+,
71945,Radfahrer Club Blitz,Radfahrer Club Blitz,,,"Radfahrerverein, 1897 in Großschönau gegründet",kiz,,+,
10653,Fotoatelier C. Köhler,Fotoatelier C. Köhler,,,"Fotoatelier in
- Ilsenburg (Harz), Mühlenstraße 8",kif,,+,
275658,Jean Bernard Toro (Turreau),Jean Bernard Toro (Turreau) (1661-1731),1661,1731,französischer Bildhauer und Designer,piz,male,+,
4195,Botanischer Garten und Arboretum der Universität Greifswald,Botanischer Garten und Arboretum der Universität Greifswald,,,"Die Gründung des Gartens geht auf das Jahr 1763 zurück. Damals wurde er zwischen Collegiengebäuden (heute Universitätshauptgebäude) und Stadtmauer von dem Magister Samuel Gustav Wilcke als ""hortus medicus"" (Arzneipflanzengarten) angelegt. In der zweiten Hälfte des 19. Jahrhunderts wurden unter Prof. Julius Münter Pläne vorangetrieben den Garten zu verlagern. 1886 konnte so auf einer 2 Hektar großen Fläche zwischen Soldmann- und Grimmer Straße die neue Gartenanlage fertiggestellt werden.",kiz,,+,
1007,Verlag J. F. Richter,Verlag J. F. Richter,,,Verlag in Hamburg,kif,,+,http://d-nb.info/gnd/16046475-4
258675,Ute Kehrer,Ute Kehrer,,,"Deutsche Sängerin (Alt), 
1989 in Berlin als Solistin konzertierend nachgewiesen mit Zugehörigkeit zum Rundfunk der DDR, 1985-2022 als Sängerin beim Rundfunkchor Berlin",piz,female,+,
147767,Schmuck- und Uhrentechnik Michels,Schmuck- und Uhrentechnik Michels,,,Unternehmen in Neuwied.,kif,,+,
