MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
252754,Carl Benjamin Fähndrich,Carl Benjamin Fähndrich (1797-1873),1797,1873,"Kaufmann und Stadtverordnetenvorsteher in Fürstenwalde/Spree

""Geboren am 31. 05. 1797 in Luckenwalde. Sohn des Kaufmanns und Posthalters Andreas Wilhelm Fähndrich. Kam 1818 nach Fürstenwalde/Spree, gründet eine Handelsgesellschaft. Erstes Geschäft war in Mühlenstraße Ecke Wassergasse. Heiratete 1821 Charlotte Henriette, deren Vorfahren lebten schon im 16. Jhd als Tuchmacher in der Stadt. Wurde am 5. Juli 1832 als Schiedsmann gewählt und war 1849–1850 Stadtverordnetenvorsteher. Fähndrich versorgte nicht nur die Spreeschiffer und Einwohner, sondern auch die Umgebung. Er eröffnete ein weiteres Geschäft in der Mühlenstraße Ecke Tuchmacherstraße. Verstarb am 10.03.1873 in Fürstenwalde. Ehrenbürger seit 10.03.1870 ""
Quelle: Stadt-Wiki Fürstenwalde, Frühere Ehrenbürger der Stadt, https://heimatgeschichte-fuerstenwalde.de/mediawiki/index.php?title=Kategorie:Fr%C3%BChere_Ehrenb%C3%BCrger_der_Stadt (abgerufen 2.12.2023)",piz,male,+,
343595,Adolf Fröhlich (Zuckmantel),Adolf Fröhlich (Zuckmantel),,,"Adolf Zuckmantel war Briefträger in Zuckmantel. Sein Vater war Karl Fröhlich und sein Neffe Adolf Schönwälder spendete der Zuckmantler Heimatstube eine Wanduhr, die zuvor Karl und Adolf Fröhlich gehörte.",piz,male,+,
26060,Schuster-Innung Schönebeck,Schuster-Innung Schönebeck,,,"Innung der Schustermeister in Schönebeck, nachgewiesen 1857",kiz,,+,
327773,J. H. Gunkel,J. H. Gunkel,,,"Ersteller des ursprünglichen Plans für Landgraf Friedrich V. von Hessen-Homburg, um 1780. Später kopiert von Louis Des-Noyer (1799–1864).",piz,male,,
23743,Heinrich Michel (Mühlenunternehmer),Heinrich Michel (Mühlenunternehmer),,,1902 Auftraggeber eienr Mahlmühle in Wendelsheim / Rheinhessen,piz,male,+,
49354,Ernst Schneider (Fotograf),Ernst Schneider (Fotograf),,,"""Um 1910-35 Portrait- und Modeatelier in Berlin
Ernst Schneider hatte von 1909 - 1920 (Quelle: Berliner Adressbuch) ein Atelier Unter den Linden 62 und 63."" - https://www.fotografenwiki.org/index.php/Ernst_Schneider, 22.06.2020",piz,male,+,
75349,Hamadi Mdáuhóma,Hamadi Mdáuhóma (1890-),1890,,"Hamadi Mdáuhóma, geboren um 1890 in der Nähe von Ngazidja, war ein komorischer Landarbeiter, der während des Ersten Weltkriegs im Kriegsgefangenenlager Wünsdorf interniert war.",piz,male,+,
238141,Heinz Thuß,Heinz Thuß (1913-2006),1913,2006,Heinz Thuß war von 1954 bis 1978 der erste Leiter des Museums Burg Stein bei Hartenstein in Sachsen.,piz,male,+,
339417,Uwe Völkner,Uwe Völkner (1960-),1960,,Uwe Völkner ist ein deutscher Fotograf.,piz,male,+,https://d-nb.info/gnd/11374014X
69030,"Israel-Frister AG Verkaufsgesellschaft der Vereinigten Fabriken für Beleuchtungskörper, Heiz- und Kochapparate","Israel-Frister AG Verkaufsgesellschaft der Vereinigten Fabriken für Beleuchtungskörper, Heiz- und Kochapparate",,,"Unternehmen in Berlin, Kottbuserstraße; abgekürzt: ISRAFRIAG
""1933 fusionierte die Firma Gebr. Israel AG mit der in Schwierigkeiten geratenen Lampenfabrik Frister aus Oberschöneweide zur Israel-Frister AG. Im Zuge der ""Arisierung"" musste 1936 der Nachfolger Felix Israels, der jüdische Geschäftsmann Walter Goldberg, von seinem Amt zurücktreten. Die in Frister AG umbenannte Fabrik für Beleuchtungskörper bestand bis zu ihrer Zwangsversteigerung 1964."" (http://www.stadtentwicklung.berlin.de/denkmal/liste_karte_datenbank/de/denkmaldatenbank/daobj.php?obj_dok_nr=09097780; 29.05.2019)",kif,,+,
