186196,Johannes Fettback,Johannes Fettback (1862-),1862,,"geboren 22. Mai 1862 Ziegenrück, Studium in Halle/Saale bei Cornelius, Doebner, Haym, Knoblauch Oberbeck Volhard und Berlin bei Consentius Hertzer, Hirschwald, Hörmann, Liebermann, Paalzow Sell, Vogel, H. Weber, Weeren",piz,male,+,
228269,Hugo Leidel,Hugo Leidel (1854-1911),1854,1911,Vergolder und Modelleur in Berlin,piz,male,+,
334932,August Kolleffel,August Kolleffel (1719-1772),1719,1772,Klingenschmied aus Ravensburg.,piz,male,+,
34558,Leuconide-Metallwarenfabrik & -handlung J. P. Kayser Sohn,Leuconide-Metallwarenfabrik & -handlung J. P. Kayser Sohn,,,Metallverarbeitendes Unternehmen in Krefeld (Kaiser-Zinn),kif,,+,http://d-nb.info/gnd/2071729-5
142008,Johann Tobias Baur,Johann Tobias Baur,,,Silberschmied des 18. Jahrhunderts im Elsaß,piz,male,+,
312749,"Hermann Kleemann (Maler, Bad Sachsa)","Hermann Kleemann (Maler, Bad Sachsa) (1887-1957)",1887,1957,"geb. 24.09.1887 Nordhausen, gest. 12.07.1957. Bad Sachsa, Am Kurpark 8, Maler von Jagd- und Tierbildern.",piz,male,+,
184414,Ernst Peter Ruhrig,Ernst Peter Ruhrig (1877-),1877,,"Deutscher Maler, wahrscheinlich Jahrgang 1877. Mehr nicht bekannt.",piz,male,+,
231988,Haug & Cie. (Verlag),Haug & Cie. (Verlag),,,Verlag und Buchhandlung von Karl Friedrich Haug in Bad Saulgau,kif,,+,
1873,Manufaktur Gerhard Wolbeer,Manufaktur Gerhard Wolbeer,,,Berliner Fayence-Manufaktur,kif,,+,
2736,David Heinrich Teichmann,David Heinrich Teichmann,,,"Zinngießer in Pößneck, Marke: ""DMB"", 19. Jh.",piz,male,+,
18561,Ernst C. Behrens (Firma),Ernst C. Behrens (Firma),,,Unternehmen in Alfeld (Leine),kif,,+,http://d-nb.info/gnd/2027279-0
75228,Vincenzo Ravellino,Vincenzo Ravellino (1896-),1896,,"War am 25.03.1918 im Kriegsgefangenenlager Limburg an der Lahn, wo Sprachaufnahmen in neapolitanischer Sprache erfolgten.",piz,male,+,
283041,Trude Schneider (Schauspielerin),Trude Schneider (Schauspielerin),,,Schauspielerin,piz,female,+,
183748,Amalie de Grahl,Amalie de Grahl (1844-1881),1844,1881,"Geb. Lamberger, katholisch, aus Lemberg, Ehefrau des Otto de Grahl (1833-1906), preußischen Offiziers, Hofrats a.D., dann Redakteurs in Berlin; Mutter der Malerin Hannah schreiber de Grahl (1864-1930)
[Quelle: Hendrikje Warmt: ""So nah dem Unberührten am Schwielowsee"". Hannah Schreiber de Grahl und Karl Hagemeister. Ausstellungskatalog. Michendorf 2018, S. 23; Landesarchiv Berlin, Standesamt Berlin III, Sterberegister, Reg.-Nr. 1187/1881]",piz,female,+,
328348,Looksmart (Miniaturmodelle),Looksmart (Miniaturmodelle),,,"Der italienische Miniaturmodellhersteller spezialisiert sich auf die Herstellung von hochwertigen Kunstharz Fahrzeugminiaturen in den Maßstäben 01:43 und 01:64.
Nachgewiesen 2009 in Italien und 2010-2026 in China.",kif,,+,
710,Wolfgang Wanckel,Wolfgang Wanckel (1879-1964),1879,1964,"Reeder, Unternehmer, Heimatforscher, Museologe (Schönebecker Museumsleiter)",piz,male,+,https://d-nb.info/gnd/1161956719
220272,Constantia Gorove,Constantia Gorove (1816-1885),1816,1885,"Tochter des László Gorove de Gattája und der Mária Magdolna Rácz, gestorben am 03.12.1885 in Budapest.",piz,female,+,
278510,Ingo Linz,Ingo Linz,,,Maler in Kollig (nachgewiesen 2023),piz,male,+,
282760,Emil Morgenstern KG,Emil Morgenstern KG,,,"Konfektionsunternehmen in Crimmitschau (nachgewiesen 1960), ab 1972 VEB Hausbekleidung Crimmitschau, ab 1981 VEB Wäscheunion",kif,,+,
349333,Thomas März (Fußballspieler),Thomas März (Fußballspieler) (1966-),1966,,deutscher Fußballspieler,piz,male,+,
341842,Emanuel Listnau,Emanuel Listnau,,,"Deutscher Maler, Schneider und Schriftkünstler. Geboren um 1740, gestorben um 1780. Tätig in Danzig, Königsberg und Berlin. Porträtmaler, Quodlibetzeichner und Schreibkünstler.",piz,male,+,
18118,B. Birkel Söhne GmbH,B. Birkel Söhne GmbH,,,"""Die Birkel Teigwaren GmbH war der größte Nudelhersteller in Deutschland ... 1874 gründete Balthasar Stephan Birkel einen Mühlen- und Produkthandel in Schorndorf. 1896 erfolgte dort die Grundsteinlegung zur ersten Nudelfabrik. Die ersten Nudeln wurden 1902 unter dem Markennamen Victoria auf den Markt gebracht. Ab 1906 firmierte das Unternehmen unter Schwaben-Nudel-Werke B. Birkel Söhne."" (wikipedia 18.12.2014)",kif,,+,http://d-nb.info/gnd/2102282-3
113313,Andreas Maier (Uhrenbemaler),Andreas Maier (Uhrenbemaler),,,Bemalte Lackschilduhren. Nachgewiesen für Zeit um 1880.,piz,male,+,
4596,Magistrat der Stadt Aschersleben,Magistrat der Stadt Aschersleben,,,Stadtverwaltung von Aschersleben,kio,,+,
24250,Paul Jaworski (Mühlenbesitzer),Paul Jaworski (Mühlenbesitzer),,,1910 Bauherr einer motorbetriebenen Mahlmühle in Freundsthal,piz,male,+,
265916,Elisabeth von Carnap,Elisabeth von Carnap (1872-1950),1872,1950,"Elisabeth Freifrau von Carnap, geb. von Amelunxen, geb. 19. 11. 1872 Hamburg, gest. 7. 12. 1950 Bad Godesberg, ab 1901 verheiratet mit Julius Freiherrn von Carnap (1868-1955), Bürgermeister von Mersch bei Jülich.
Quelle: Genealogisches Handbuch des Adels, Freiherrliche Häuser XVI 1992, S. 57.",piz,female,+,
142876,Pom. Septorianos,Pom. Septorianos,,,"""Strategos des Koinon von Lesbos unter Commodus bzw. zwischen 177 und 192 n. Chr.

Lit.: W. Leschhorn. Lexikon der Aufschriften auf griechischen Münzen II (2009) 803. "" - https://ikmk.smb.museum/ndp/person/11396",piz,,+,
31479,Paul Polko,Paul Polko (1855-1932),1855,1932,"Paul Polko (*26. März 1855 in Berlin - †26. September 1932) war Bitterfelder Bürger und Kaufmann. Er war Inhaber der Kaffeerösterei und Weinhandlung Polko in Bitterfeld. In der zweiten Hälfte des 19. Jahrhunderts war Polko in Südamerika als Händler tätig. Auch nachdem er sich in Bitterfeld niederließ, pflegte er Beziehung dorthin. U. a. übernahm er die Generalvertretung der „Hamburg-Amerkanischen-Paket-Aktien-Gesellschaft“ und vermittelte Reisen nach Südamerika. Zudem wirkte Polko als Honorarkonsul der Republik Kolumbien.",piz,male,+,
251648,Fotoatelier G. Greiszen,Fotoatelier G. Greiszen,,,"Fotoatelier in Berlin
1910: ""Greiszen, G., Frau, Photogr. Atelier, W8, Friedrichstr. 76 III. (Ecke Jägerstr.). Inh. Frau G. Greiszen u. Frl. Agathe Witzeck."" (Adressbuch Berlin 1910, S. I 831).
1915: ""Greiszen, G., Photogr. Atel., NO18, Gr. Frankfurter Str., 84 Erdg. Inh. Frau G. Greiszen u. Frl. Agathe Witzeck."" Außerdem unter ""Greiszen, G., Frau, Photographin, NO18, Gr. Frankfurter Str. 50, 51 III., s. G. Greiszen."" (Adressbuch Berlin 1915, S. I 926).",kif,,+,
23399,F. Phillippi (Mühlenbesizter),F. Phillippi (Mühlenbesizter),,,"Mühlenbesitzer in Rüdesheim, nachgewiesen für Zeit um 1911",piz,,+,
328379,Martin Ritzau,Martin Ritzau,,,Fotografierte u.a. Eisenbahnen (nachgewiesen 1994 in Pritzwalk).,piz,male,,
267654,Friedhelm Schelter,Friedhelm Schelter (1969-),1969,,Bildhauer in Königswalde/Deutschland,piz,male,+,
270,Lorenz Ortmann,Lorenz Ortmann,,,Nachgewiesen in Braunsbedra 1911,piz,male,+,
3439,Bertelsmann & Niemann,Bertelsmann & Niemann,,,"(Plüsch-)weberei aus Bielefeld-Stieghorst, gegr. 1857, Schließung der Produktion in Bielefeld 1995 und Verlagerung der Produktion zum Tochterunternehmen ""Sächsische Textilmanufaktur""",kif,,+,
208415,Landwirtschaftskammer Rheinland,Landwirtschaftskammer Rheinland,,,"Sitz in Bonn; aktive Zeit: 1946 - 2003
Vorgänger-Institution: Landesbauernschaft Rheinland
Nachfolge-Institution: Landwirtschaftskammer Nordrhein-Westfalen",kio,,+,https://d-nb.info/gnd/2018073-1
270543,Johann Ludwig von Glauburg,Johann Ludwig von Glauburg (1580-1631),1580,1631,Patrizier in Frankfurt am Main,piz,male,+,
246832,Reichszeugmeisterei der NSDAP,Reichszeugmeisterei der NSDAP,,,Dienststelle der NSDAP,kiz,,+,
