MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
36887,R. Stainier (Stecher),R. Stainier (Stecher),,,"Stecher, zuerst erwähnt: 1790, Schaffenszeit: 1790 in England",piz,male,+,
73,Companhia Cacique de Cafe Soluvel,Companhia Cacique de Cafe Soluvel,,,Brasilianischer Kaffeehersteller,kif,,+,
262388,Lester R. D. Stilwell,Lester R. D. Stilwell (1921-2014),1921,2014,"Lester R. D. Stilwell erhielt 1943 seine Militärpilotenlizenz bei der US Army Air Force und wurde in Südostasien (China-Indien-Burma-Konflikt - ""The Hump"") als Transportflieger eingesetzt. 1948/49 war er im Rang eines First Lieutenant als Pilot von Douglas C-54 Skymaster bei der 513th Troop Carrier Group für die Berliner Luftbrücke eingesetzt. Bis zum 01.01.1949 flog er 100 Missionen, wofür er die Air Medal erhielt. Insgesamt leistete er 270 Missionen für die Berliner Luftbrücke.
In den 1950er Jahren war er am ""Dewline"" Frühwarnradarprojekt der US-amerikanischen Luftwaffe im Nordatlantik und Grönland beteiligt. In den 1960er Jahren leitete er eine Stabsstelle für Pilotenausbildung und Standardisierung auf der McClellan Air Force Base und ging 1965 als Lieutenant Colonel in den Ruhestand. Hier arbeitete er bis 1970 als Zivilpilot bei World Airways und anschließend bis 1980 für die Pilotenausbildung am Boden.",piz,male,+,
42077,Dora Zacharias,Dora Zacharias (1901-),1901,,"Dora Zacharias, geb. 1901, Ovelgünne, verdingte sich als Dienstmädchen in diversen gehobenen Haushalten der Region.",piz,female,+,
39454,Ad. Bock,Ad. Bock,,,"Lithograf, belegt Anf./1. H. 19. Jh.",piz,male,,
69034,J. H. Rothaas,J. H. Rothaas (1805-1863),1805,1863,J. H. Rothaas (geboren 1805; gestorben 1863) war ein Uhrmacher und Teilnehmer an der Pfälzischen Erhebung von 1849.,piz,male,+,
269357,Moon'scher Blindenverein,Moon'scher Blindenverein,,,"Moon'scher Blindenverein gegründet 1860, Sitz: Berlin.",kiz,,+,
277306,T&H Colditz,T&H Colditz,,,"Steingutfabrik Thomsberger & Hermann, ab 1804 in Colditz.",kif,,+,
274110,Eberhard Scherrieble GmbH,Eberhard Scherrieble GmbH,,,Fachhandel für Arbeitsbekleidung in Esslingen am Neckar (nachgewiesen 2020),kif,,+,
275045,Franz Sales Meszmer,"Dr. Franz Sales Meszmer, 1915 - 2000",1915,2000,"Autor regionalgeschichtlicher Themen, unter anderem ""Historischer Atlas der Region Mosbach""",piz,male,,
