MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
150066,Friedemann Henschel,Friedemann Henschel (1953-),1953,,"""- 1953 in Havelberg geboren
- 1973 Abitur, Studium Chemieanlagenbau
- 1977 Diplom mit anschließender Berufstätigkeit
- 1982 Gründung einer eigenen Werkstatt in Kuhlhausen bei Havelberg, Gesellenprüfung
- 1988 Kauf des Gutshauses in Panschenhagen, Mecklenburg und Umzug dorthin
- 1991 Mitglied im Landesverband Kunsthandwerk

Sein Vater war der spätexpressionistischer Maler Kurt Henschel. Er wurde 1953 in Havelberg geboren und studierte nach dem Abitur Chemieanlagenbau. Er arbeitete mehrere Jahre als Technologe, gründete dann aber 1982 seine erste eigene Werkstatt, bevor er sich 1988 mit seiner Frau Sylvia in Panschenhagen in der Nähe von Waren/Müritz niederließ, wo er im Gutshaus eine Werkstatt betreibt, die öffentlich zugänglich ist."" (https://henschelkeramik.de/der-kuenstler/, 17.10.2022)",piz,male,+,https://d-nb.info/gnd/137540191
180795,Kupferhütte Glogów,Kupferhütte Glogów,,,Kupferhütte in der Nähe von Glogów.,kif,,+,
162329,Gottfried Häcker,Gottfried Häcker (1772-1843),1772,1843,"""Gottfried Häcker (1772 bis 1843) war Stadtrat in Stuttgart und Wirt des Petersburger Hofes, einer Gaststätte „mit Billiard-Gerechtigkeit“ in der Eberhardstraße 24.
Der Hof, der wohl mit einigen Umbauten heute noch steht, war eines der besseren Gasthäuser in Stuttgart, wo Häcker die Künstler und Gelehrten seiner Zeit kennenlernte und ebenso Fuhrleute und Dienstboten. Schließlich konnten in den Stallungen 40 Pferde untergebracht werden und im Keller 300 Eimer Wein, wie die „Stuttgarter Allgemeine Zeitung“ 1843 in einem Inserat schrieb. Dazu kamen zwei vollständige Billard-Tische, ein Kaffeehaus, sowie ein Gemüsegarten und ein Blumengarten mit Gartenlaube."" (https://www.stuttgarter-zeitung.de/inhalt.wiederentdeckt-durch-eine-cd-der-richter-der-ein-dichter-war.2caaa5d0-0cdc-4858-b5c1-17a38500ff2b.html, 7.1.2021).",piz,male,+,
345949,Anna Thielemann,Anna Thielemann (1840-1922),1840,1922,"Stilllebenmalerin in Berlin

Ehename: Anna Wagener",piz,female,+,
67455,Verlag Jacob Mendelssohn,Verlag Jacob Mendelssohn,,,Verlag in Nürnberg,kif,,+,
335868,Elisabeth Limberger,Elisabeth Limberger (1923-),1923,,"Elisabeth Limberger, geb. Lemli, geboren am 5.12.1923 in Milititsch / Srpski Miletić (Batschka, Jugoslawien, heute Serbien). Ihre Eltern waren Johann Lemli und Marianne Lemli, geb. Müller. Am 24.7.1947 heiratete sie Valentin Limberger.",piz,female,+,
34696,Erdmann Christoph von Hünicke,Erdmann Christoph von Hünicke (1672-1691),1672,1691,"""Sohn des Geheimrats Albrecht Friedrich von Hünicke, Herr auf Ferbitz, Gamig und Meuschau"" - gnd, 31.12.2017",piz,male,+,http://d-nb.info/gnd/124723136
24440,Wolfgang Edel (Mühlenbesitzer),Wolfgang Edel (Mühlenbesitzer),,,Um 1913 Mühlenbesitzer in Schönlind,piz,male,+,
41905,Wilhelm Ferdinand Schmidt (Tagebuchschreiber),Wilhelm Ferdinand Schmidt (Tagebuchschreiber),,,Verfasste ein Tagebuch in 1813,piz,male,+,
33265,Fritz Jenrich,Fritz Jenrich,,,"Um 1911 Inhaber des Waldrestaurants ""Küchenhorn"" in Wolmirstedt.",piz,male,+,
