MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
203581,KfL Wolmirstedt,KfL Wolmirstedt,,,Kreisbetrieb für Landwirtschaft,kio,,+,
270168,Zentrum für Netzkunst e.V.,Zentrum für Netzkunst e.V.,,,"Das Zentrum für Netzkunst rekonstruiert, erhält und bewahrt Netzkunst und Netzkultur. Die Initiative erforscht Möglichkeiten der Archivierung und Kontextualisierung von Netzkunst mit besonderem Fokus auf die Berliner Szene. Das Zentrum für Netzkunst ist aus der panke.gallery ausgegründet worden, um sich auf die archivarische Arbeit zu fokussieren und modellhaft eine “museale” Plattform für Netzkunst zu etablieren.",kiz,,+,
263555,Louis Westhausser Verlag,Louis Westhausser Verlag,,,Verlag in Paris. Nachgewiesen für die 2. Hälfte des 19. Jahrhunderts.,kif,,+,https://d-nb.info/gnd/1072986159
328850,Robert Riele GmbH & Co KG,Robert Riele GmbH & Co KG,,,"ROBERT RIELE GmbH & Co KG ist Hersteller von optischen Geräten mit Sitz in Berlin, 1946 gegründet.",kif,,+,
312626,Kunstanstalt Hermann Ludewig,Kunstanstalt Hermann Ludewig,,,"Kunstanstalt, Druckerei und Verlag in Leipzig 1900-1924, gab Ansichtskarten heraus",kif,,+,
191600,Heinrich Gink,Heinrich Gink (1850-1909),1850,1909,"Rechtsanwalt in Bad Tölz; geboren in Zweibrücken um 1850, gestorben nach 1909",piz,male,+,
153004,Irmgard Zobel,Irmgard Zobel (1927-),1927,,"Geboren am 21.03.1927 in Zielitz.
Mutter: Marta Zobel
Vater: Karl Zobel (Beruf: Maurer)

1942 Lehrausbildung zur Damenschneiderin bei der Schneidermeisterin Anna Grupe in Wolmirstedt.",piz,female,+,
259006,Lem Turney,Lem Turney,,,Lem Turney diente während der Berliner Luftbrücke auf dem Stützpunkt und Flugplatz Wunstorf vermutlich als Flugzeugmechaniker (Airframe Fitter) bei der britischen Royal Air Force.,piz,male,+,
75025,Chrestos Astithos,Chrestos Astithos (1894-),1894,,"Chrestos Astithos, geboren 1894 in der Nähe von Karystos, war ein griechischer Mönch, der während des Ersten Weltkriegs im Kriegsgefangenenlager Görlitz interniert war.",piz,male,+,
315602,Otto Heinrich Frohs,Otto Heinrich Frohs (1861-1935),1861,1935,Drechsler in Seiffen,piz,male,+,
30177,Ofenfabrik Adler,Ofenfabrik Adler,,,"Ofenfabrik in der Friedrichstraße 7 in Velten, Inhaber B. Ebert 
1910: Ofen- und Tonwarenfabrik „Adler“ GmbH",kif,,+,
17986,W. F. Burnau (Druckerei und Verlag),W. F. Burnau (Druckerei und Verlag),,,Unternehmen in Danzig. Nachgewiesen für 1910er Jahre.,kif,,+,
329305,Ellen Schieß,Ellen Schieß (1972-),1972,,"deutsche Schauspielerin
Ausbildung:
2002-1998 Einzelcoaching und Workshops bei Jens Roth, Gesang bei Lilia Milek
1995-1992 Die Etage – Schule für Darstellende Künste e.V.
Quelle: http://www.ellen-schiess.de/vita/ (Stand 08.07.2025)",piz,female,+,https://d-nb.info/gnd/1062228316
314256,Wilhelm S. Schröder (Verlag),Wilhelm S. Schröder (Verlag),,,"Ansichtskartenverlag in Berlin, Anf. 20. Jh.",kif,,+,
4998,August Sauter KG,August Sauter KG,,,Waagenfabrik in Albstadt-Ebingen.,kif,,+,http://d-nb.info/gnd/2005173-6
334848,Viktor Kögel (Zeichenlehrer),Viktor Kögel (Zeichenlehrer),,,Zeichnungslehrer in Riedlingen,piz,male,+,
281669,Fotoatelier Friedrich Schröder,Fotoatelier Friedrich Schröder,,,"Fotoatelier in
- Brandenburg an der Havel (ca. 1914/20), auch Ansichtskartenverlag",kif,,+,
36219,Heinrich Ludwig Lefeld,Heinrich Ludwig Lefeld (1801-1900),1801,1900,"""Kommerzienrat in Halberstadt u. Braunschweig, verschwägert mit Familie Klamroth, Halberstadt"" - gnd, 02.12.2020",piz,male,+,http://d-nb.info/gnd/1026822610
257223,Germania-Linoleum-Werke,Germania-Linoleum-Werke,,,"Firma in Bietigheim (Bietigheim-Bissingen) 1900-1926
Nachfolger: Deutsche Linoleum-Werke (DLW)",kif,,+,https://d-nb.info/gnd/10105189-X
166344,Zinnhannes,Zinnhannes,,,"Zinnhannes - Individuelle Orden für Fastnacht, Fasching und Karneval, Unternehmen in Krummenau",kif,,+,
40520,Johann Christian Bode,Johann Christian Bode (1675-),1675,,"Der Glasschneider Johann Christian Bode (geb. 1675-175?) arbeitete seit 1718 in Potsdam. Neben den herausragenden Vertretern des brandenburgischen Glasschnitts Gottfried Spiller und Elias Rosbach wagte auch er sich an mythologische Themen heran. 1751 wurde ihm in Potsdam ""eine Lotterie zur Tilgung seiner Schulden bewilligt, in der er außer seinen Glasschnittarbeiten im Werte von 2575 Talern noch Silberzeug, Uhren, Degen, Hirschfänger, tombackene Schnallen und Schlosserarbeiten"" verloste (Schmidt, Brandenburgische Gläser, 1914, S. 101).",piz,male,+,
329992,"K. Reichhelm, Treuenbrietzen","K. Reichhelm, Treuenbrietzen",,,Ansichtskartenverlag um 1900,kif,,+,
257260,Friedrich Wilhelm Bosch,Friedrich Wilhelm Bosch (1812-),1812,,"* Ilbesheim bei Landau 20.2.1812. Eltern Joh. Adam Bosch (Gutsbesitzer) und Susanna Conrad.
Friedrich Wilhelm Bosch war Student in Erlangen (1834/39) und Utrecht (1839), später Pfarrer in Kallstadt; Vikar Hornbach und Odernheim, 12.2.45/50 Pfarrer Niederhausen an der Appel, 14.2. 50/66 Gönnheim, 14.12.66/67 , 76/88 Kallstadt, 28.12.1888.",piz,male,+,
238779,Luise Schneider-Dörfel,Luise Schneider-Dörfel,,,Kunstschaffende,piz,female,+,
