MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
239100,Gustav Parade,Gustav Parade (1866-1933),1866,1933,"Evangelischer Pfarrer, 1891 Hilfsprediger Jähnsdorf, 1892-1903 Pfarrer in Spiegelberg (Neumark), 1903-1925 Archidiakon in Küstrin, 1925-1933 Oberpfarrer und Superintendent ebenda (Otto Fischer: Evangelisches Pfarrerbuch für die Mark Brandenburg. Berlin 1941, Bd. 2/2, S. 620)",piz,male,+,
254960,Hugo Faust,Hugo Faust,,,Oschatzer Hobbymaler (nachgewiesen 1956),piz,male,+,
24231,C. F. Stoeckert & Co.,C. F. Stoeckert & Co.,,,Maschinenfabrik in Landsberg (Warthe),kif,,+,
308358,Buchdruckerei Wilhelm Hecht,Buchdruckerei Wilhelm Hecht,,,"nachweislich Hersteller des Teltower Kreisblatts 1864-1866, Redaktion, Druck und Verlag vom Wilhelm Hecht in Teltow",kif,,+,
19343,Eisenbahn-Hauptwerkstätte Potsdam,Eisenbahn-Hauptwerkstätte Potsdam,,,"1838 als erste in Deutschland gegr., Vorläufer des späteren Eisenbahnausbesserungswerks (EAW) bzw. Reichsbahnausbesserungswerks (RAW)",kif,,+,
115358,Hans Andres Verlag,Hans Andres Verlag,,,"""Hans Andres war seit 1926 Inhaber eines Ansichtskartenverlages dessen Absatzgebiet zunächst vor allem im Hamburger Raum lag. Um 1930 übernahm er den auf Hamburger Ansichten spezialisierten Verlag von Carl Worzedialek. Als Teilhaber lieferte die Fotografien der auf Stadtansichten und Landschaftsaufnahmen spezialisierte Hamburger Fotograf Hans Hartz. 1939 profitierte die Firma Andres von der Arisierung des überregional führenden Ansichtkartenverlages M. Glückstadt & Münden. Die jüdischen Unternehmer mussten ihre Firma zwangsweise verkaufen. Andres konnte zu einem günstigen Preis Fotovorlagen, Kundendaten und rund 500.000 bereits fertig gestellte Ansichtspostkarten übernehmen. Mindestens seit 1943 unterhielt der Ansichtskarten-Grossverlag, wie er sich jetzt nannte, auch eine Filiale in Berlin. Die Zusammenarbeit Andres/Hartz wurde nach 1945 fortgesetzt. Die Firma verlegte nun Ansichtspostkarten von Orten in der gesamten Bundesrepublik, ab etwa 1960 unter dem Namen Andres & Co. 1962 war der Hauptsitz sowohl der Offsetdruckerei Andres & Co. wie auch des Hans Andres Verlag für Ansichtskarten und Bildkalender in der Bramfelder Str. 76 in Hamburg.1 Im Geschäft blieb die Firma mindestens bis Anfang der 1980ger Jahre, später auch unter den Markennamen AH, ANCO und ANCO-LUX.""
https://www.guestrow-history.de/index.php/andres-hans (02.07.2025)",kif,,+,https://d-nb.info/gnd/1073072959
183677,Max Schaper,Max Schaper (1862-1896),1862,1896,"Dr. phil., Oberlehrer an der Ritterakademie in Brandenburg an der Havel
[Quelle: Heike Köhler: Frauen in Kunst und Gesellschaft im 19. / frühen 20. Jahrhundert. In: Historischer Verein Brandenburg Havel e.V. Jahresbericht 20 (2010/11 [2011]), S. 201-224, hier S. 216; Heiratsurkunde: Landesarchiv Berlin, Standesamt Charlottenburg, Heiratsregister, Reg.-Nr. 525/1895 ]",piz,male,+,
62126,Felicitas Forster,Felicitas Forster,,,Mutter des Joachim Forster (Goldschmied und Medailleur) und Gattin des Sixtus Forster (Schmied). Nachweisbar um 1520,piz,female,+,
233848,Gebr. Staiger (Uhrenfabrik),Gebr. Staiger (Uhrenfabrik),,,Uhrenfabrik in St. Georgen. 1992 schlossen sich die Firmen Kundo und Staiger zu Kundo-Staiger zusammen.,kif,,+,
328468,Verlag E. Stiller,Verlag E. Stiller,,,"Verlag in (Berlin-)Köpenick, gab um 1905 Ansichtskarten heraus",kif,,+,
