5065,M. Pohlmann,M. Pohlmann,,,"M. Pohlmann führte 1930 das Bettenhaus ""BETTEN-POHLMANN"" in der Schönhauser Allee 87, Berlin.",piz,,+,
337644,Boenicke & Eichner,Boenicke & Eichner,,,"Zigarren-Importfirma in Berlin, Französische Straße 21 (nachgewiesen 1900)",kif,,+,
311007,Konrad Fricke,Konrad Fricke (1855-1936),1855,1936,"Julius Rudolf Eduard Konrad Fricke, Kaufmann in Berlin, geb. 25. 5. 1855 Berlin, gest. 20. 10. 1936 Berlin-Lichtenberg, evang.",piz,male,+,
120033,Eli Terry & Sons,Eli Terry & Sons,,,"Wikipedia (en) über Eli Terry:
""Eli Terry Sr. (April 13, 1772 – February 24, 1852) was an inventor and clockmaker in Connecticut. He received a United States patent for a shelf clock mechanism. He introduced mass production to the art of clockmaking, which made clocks affordable for the average American citizen. Terry occupies an important place in the beginnings of the development of interchangeable parts manufacturing. Terry is considered the first person in American history to actually accomplish Interchangeable parts with no government funding. Terry became one of the most accomplished mechanics in New England during the early part of the nineteenth century. The village of Terryville, Connecticut is named for his son, Eli Terry Jr. "" - Wikipedia (en), 30.05.2020",kif,,+,
275612,Fürst von Fürstenberg,Fürst von Fürstenberg,,,Herrscherhaus in Südwestdeutschland,pik,,+,
148083,Nibelungen-Verlag GmbH,Nibelungen-Verlag GmbH,,,Verlag in Berlin und Leipzig. Nachgewiesen für Zeit um 1940.,kif,,+,
197935,Verband ehemaliger Arbeitsdienstangehöriger und ihrer Hinterbliebenen (V.e.A.),Verband ehemaliger Arbeitsdienstangehöriger und ihrer Hinterbliebenen (V.e.A.),,,"„Traditionsverband“, dessen Gründer, Funktionäre und Redner dem Führerkorps des Reichsarbeitsdienstes entstammten und zu dem sich auch ehemalige Arbeitsmänner und Arbeitsmaiden hinzugesellten.",kiz,,+,
126257,Hans Stöcklein (Politiker),Hans Stöcklein (Politiker) (1922-),1922,,"Seit 16. April 2007 Ehrenbürger der Stadt Annweiler am Trifels; Politiker (SPD), Bürgermeister",piz,male,+,
208223,Christoph Seiler,Christoph Seiler,,,Er wird als Autor eines Buches namens Phasmiden aufgeführt,piz,male,+,
20857,Robert Crome,Robert Crome (1705-1770),1705,1770,Englischer Komponist,piz,male,+,
55885,Alfred Winge und Eduard Scotland (Designer),Alfred Winge und Eduard Scotland (Designer),,,Designer in Bremen,kif,,+,
315273,Hans-Nikolaus Herden,Hans-Nikolaus Herden,,,"deutscher Anästhesist und Intensivmediziner, 20. Jh.",piz,male,+,
305159,Marga Buchmann,Marga Buchmann,,,1957 Teilnehmerin eines Wettbewrbs des Senators für Volksbildung in Berlin,piz,female,+,
342124,Nadine Kreß,Nadine Kreß (1991-),1991,,deutsche Fußballfunktionärin,piz,female,+,
189459,Werner Taag,Werner Taag (1915-1998),1915,1998,"1915 geboren am 9. Februar in Nowawes bei Potsdam als Sohn des kaufmännischen Angestellten Reinhold Taag und seiner Ehefrau Elsa Marie, geb. Gräfe | 1927 unter väterlicher Anleitung erste Beschäftigung mit der Photographie, seine erste Kamera war eine 6 x 6 Stereo-Plattenkamera vom Vater | 1929-1932 Lehre als Elektriker bei der Lokomotivfabrik „Orenstein & Koppel“ | 1933 Arbeit als Elektromonteur | 1934 Berufssoldat | 1941 als Soldat in Norwegen und Finnland, Gründung eines Photozirkels in seiner Einheit | 1944 Gefangenschaft bei Landsberg an der Warthe | August 1945 Rückkehr aus sowjetischer Kriegsgefangenschaft nach Potsdam, auf Grund der Vorräte seines Vaters an Filmen und Chemikalien konnte er mit einer geliehenen TENAX - Kamera die Auswirkungen des Krieges festhalten
seit 1945 ständige intensive Beschäftigung mit der Photographie, versteht sich als ein Chronist seiner Heimatstadt Potsdam | 1945-1980 Elektro- und Fahrleitungsmonteur bei den Potsdamer Verkehrsbetrieben, Brigadier einer Fahrleitungsbau-Brigade | 1946 Heirat mit Ingeborg Melech, zwei Kinder | 1949 Mitbegründer der ""Fotografischen Gemeinschaft"", dem späteren ""Fotoclub Potsdam"" im Kulturbund | seit 1952 Personalausstellungen und Ausstellungsbeteiligungen im In- und Ausland, Publikationen und Presseveröffentlichungen | 1998 gestorben am 20. Oktober in Potsdam",piz,male,+,https://d-nb.info/gnd/1204269831
175108,Theodor von Herder,Theodor von Herder,,,Schrieb 1838 einen Brief an seine Mutter.,piz,male,+,https://d-nb.info/gnd/116732326
329774,Max Herber,Max Herber (1873-),1873,,Fotograf in München (gnd: 1106874943),piz,male,+,https://d-nb.info/gnd/1106874943
40059,Marcus Furius L. f. Philus,Marcus Furius L. f. Philus,,,"""M. Furius Philus (en), M. Furius Philus (la) - Roman Republican Moneyer, c. 119 BC (en)"", http://nomisma.org/id/m_fovri_l_f_phili_rrc, 26.11.2017",piz,,+,http://d-nb.info/gnd/1185192689
125091,Verlag Schultz & Wundermann,Verlag Schultz & Wundermann,,,Verlag in Hamm im 19. Jahrhundert.,kif,,+,
60229,Marcus Aurelius Domitianos (Byzantion),Marcus Aurelius Domitianos (Byzantion),,,"""Magistrat in Byzantion unter Maximinus Thrax.
Lit.: E. Schönert-Geiss, Die Münzprägung von Byzantion II (1972) 16; W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 384."" - https://ikmk.smb.museum/object?id=18235904",piz,,+,
145538,Reserve-Lazarett Wernigerode,Reserve-Lazarett Wernigerode,,,Lazarett im zweiten Weltkrieg.,kio,,+,
69718,Verlag Ernst Reinhardt,Verlag Ernst Reinhardt,,,Verlag Ernst Reinhardt in München,kif,,+,
199465,Fotoatelier Fr. W. Weber,Fotoatelier Fr. W. Weber,,,"Fotoatelier, nachgewiesen für 1884",kif,,+,
15898,Johann Andreas Jacobs,Johann Andreas Jacobs (1832-1845),1832,1845,Johann Andreas Jacobs aus Ummendorf,piz,male,+,
43943,"Druckerei Willibald Nitsche, Weißenfels","Druckerei Willibald Nitsche, Weißenfels",,,"Druckerei in Weißenfels, ca.1900-1950",kif,,+,
14550,Berliner Lithographisches Institut,Berliner Lithographisches Institut,,,"Berliner Lithographisches Institut, Berlin W 35; Nachfolger des Königl. Lithographischen Instituts Berlin",kif,,,http://d-nb.info/gnd/10151550-9
271,Willy Brandt (Präparator),Willy Brandt (Präparator),,,"Tierpräparator in Bernburg, 1930er Jahre",piz,male,+,
258169,Antonius Röhrscheidt,Antonius Röhrscheidt (-1542),,1542,Bürgermeister in Bautzen.,piz,male,+,
37426,F. A. Zehl,F. A. Zehl,,,"Drucker, um 1850 Zusammenarbeit mit Jurany (Leipzig)",piz,male,+,http://d-nb.info/gnd/1050533771
48528,"Buchdruckerei A. Haase, Prag","Buchdruckerei A. Haase, Prag",,,Druckerei in Prag. Nachgewiesen für Zeit um 1900,kif,,+,
236917,Stadt Radolfzell,Stadt Radolfzell,,,Die Stadtgemeinde Radolfzell als Gebietskörperschaft sowie ihre Verwaltung,kio,,+,
25490,Fotoatelier W. J. Beckmann,Fotoatelier W. J. Beckmann,,,"Fotoatelier in
- Essen",kif,,+,
35328,Johannes Justus Borchers,Johannes Justus Borchers (-1731),,1731,"Deutscher Maler. Geboren um 1668, gestorben um 1731. Tätig in Köln, Porträtmaler. Wahrscheinlich identisch mit den Malern J. J. Borchers (siehe Porträt von Henning Adolph von Steinberg) und Borchers aus Düsseldorf (AKL XII, 1996, 669; ThB IV, 1910, 340).",piz,male,+,http://d-nb.info/gnd/1072395819
335279,Johann Tamme,Johann Tamme,,,"Johann Tamme war Krippenschnitzer in Zuckmantel, Vorstadt Miserich.",piz,male,,
168218,Franz Busl,Franz Busl (1931-2016),1931,2016,Franz Busl wurde 1931 in Tirschenreuth geboren und ist 2016 in Bamberg gestorben. Er war deutscher Grenzpolizist und Kreisheimatpfleger des Landkreises Tirschenreuth.,piz,male,+,https://d-nb.info/gnd/120866137
196194,Johann Daniel Beyer,Johann Daniel Beyer (1785-1846),1785,1846,"""Künstler, Maler, Miniaturist, Lithograf in Straßburg"" - gnd, 21.09.2025",piz,,+,https://d-nb.info/gnd/1050426495
209326,Waltraut Kruse,Waltraut Kruse,,,"Mitautorin des Buches ""Komm mit ins Museum"" (1984)",piz,female,+,
189188,Steinkohlenbergbauverein (Essen),Steinkohlenbergbauverein (Essen),,,"Vereinigung der Bergwerksunternehmen des Steinkohlebergbaus im Ruhrgebiet, Aachen und Niederdeutschland nach dem zweiten Weltkrieg.",kiz,,+,
183620,Roengler (Firma),Roengler (Firma),,,Hersteller von elektrischen Bügeleisen in Gelsenkirchen,kif,,+,
64933,Stadt Halle (Westf.),Stadt Halle (Westf.),,,Die Stadtgemeinde Halle (Westf.) als Gebietskörperschaft sowie ihre Verwaltung,kio,,+,
345659,Ellen Morgenstern,Ellen Morgenstern,,,Malerin (erw. um 1900 in Berlin),piz,female,,
172722,Wilhelmina Walter,Wilhelmina Walter (1791-1865),1791,1865,"Wilhelmina Walter, geborene Gunning(h) (* 06.06.1791 Haarlem, +21.02.1865 Apeldoorn) war die älteste Tochter des bekannten Apeldoorner Industriellen Johannes Hermanus Gunning(h) (Besitzer der Papierfabrik ""De Vlijt""). Sie heiratete am 03.04.1823 den Arzt Dr. Thomas Jan Walter in Apeldoorn und wohnte zeitgleich mit den Röntgens in der Hooftstraat.",piz,female,+,
259801,Heinrich König,Heinrich König,,,Lebte 2002 in Ravensburg.,piz,,+,
142772,James Barber,James Barber,,,"""Barber, James
Gold- und Silberschmied, Juwellier in York. Ausgabe von Marken 1811 zusammen mit seinem (Senior-) Geschäftspartner Robert Cattle.
Geschäft in der Coney Street.
Lit.: W. J. Davis, The Nineteenth Century Token coinage of Great Britain Ireland the Channel Islands and the Isle of Man to which are added Tokens over one Penny value of any period (1904/Nachdruck 1969) 175 Nr. 74; P. und B. R. Withers, The Token Book. British Tokens of the 17th 18th and 19th centuries and their values (2010) 421 Nr. 76-86."" - https://ikmk.smb.museum/ndp/person/11046, 06.06.2022",piz,male,+,
232440,"Schwetschke'sche Sortiments-Buchhandlung (C. E. M. Pfeffer) (Halle, Saale)","Schwetschke'sche Sortiments-Buchhandlung (C. E. M. Pfeffer) (Halle, Saale)",,,"Vorgänger C. A. Schwetschke & Sohn (Verlag)
Nachfolger	Pfeffer'sche Musikalien-Handlung (H. Karmrodt) (Halle, Saale)
Nachfolger		Pfeffer'sche Buchhandlung (Halle, Saale)
Das Unternehmen bestand von 1848-1853 in Halle (Saale)",kif,,+,https://d-nb.info/gnd/1073018776
259288,Hugo Reiss,Hugo Reiss (1894-1972),1894,1972,"Hugo Reiss war Anfang der 1930er Jahre der Schatzmeister von Eintracht Frankfurt. Als Jude musste er sein Amt nach der Machtübernahme der Nazis niederlegen. In den darauffolgenden Jahren flieht er nach Chile. 

Detaillierte Informationen zu seiner Person: https://museum.eintracht.de/historisches/hugo-reiss-136712 (Stand: Januar 2024)",piz,male,+,
114640,Eugen Prenner,Eugen Prenner (-1870),,1870,"""Eugen Prenner
- 30.11.1870 Villiers sur Marne
beruflicher Titel, Amtsbezeichung, Dienstgrad: Premier-Leutnant
Beruf: Militär
Beruf: Offizier
- am 30.11.1870 gefallen bei Villiers sur Marne (Deutsch-Französischer Krieg 1870/1871)"" - http://sammlungsdatenbank-museen-dresden.de/de/entitySearch?artId=66580, 23.06.2020",piz,male,+,
243515,Johannes Wittekindt,Johannes Wittekindt,,,Bäcker in Rauschenberg,piz,male,+,
2315,Else Hellmund,Else Hellmund,,,"Theaterschauspielerin in Lodz (198), Göttingen, Schwerin (1900) und 1907 bis 1916 am Meininger Hoftheater",piz,female,+,
1442,VEB Feinmess Dresden,VEB Feinmess Dresden,,,Unternehmen in Dresden.,kif,,+,http://d-nb.info/gnd/5186167-7
324512,Sebastian Guth (Weprowatz),Sebastian Guth (Weprowatz) (1916-),1916,,lebte in Weprowatz,piz,male,+,
201454,Porzellanfabrik Stadtlengsfeld,Porzellanfabrik Stadtlengsfeld,,,Thüringische Porzellanfabrik,kif,,+,https://d-nb.info/gnd/133400806X
340681,Toni Endres (Segelflieger),Toni Endres (Segelflieger),,,"Eigentlich Anton Endres, war ein Segelflieger, der 1950 den Flugsport-Club Würzburg neu mit gegründet hat.",piz,male,+,
330045,Johann Schnabel (der Mittlere),Johann Schnabel (der Mittlere) (1642-1709),1642,1709,"Deutscher Maler, Heller-Münzmeister, Baumeister, Vermessungsingenieur und Kartograf. Tätig in Coburg und Hildburghausen. Historienmaler, Kartenzeichner, kein Porträt bisher bekannt. Sohn des Malers Johann Schnabel (der Ältere) (1603-1679), Bruder des Malers Johann Schnabel (der Jüngere) (1644- nach 1688).",piz,male,+,https://d-nb.info/gnd/135790611
40546,Tecta Möbel,Tecta Möbel,,,"""Im Jahr 1956 von Hans Könecke in Lauenförde gegründet, leiten heute Axel Bruchhäuser und sein Neffe Christian Drescher das familiengeführte Möbelunternehmen Tecta. Die auf Stahlmöbel spezialisierte Marke steht für die Wiederauflage von Klassikern der Bauhaus-Ära und deren Weiterentwicklung. Darunter finden sich unter anderem Entwürfe von Walter Gropius, Marcel Breuer und Mies van der Rohe. Was die Avantgarde in den 1920er Jahren als experimentelles Wagnis und in geringer Stückzahl produzierte, wird heute von Tecta exklusiv und serienmäßig nach den Originalentwürfen hergestellt. Die Produktion wurde dazu vom Berliner Bauhaus-Archiv offiziell lizenziert. Die bekannte Kragstuhlserie mit dem sogenannten Tecta-Geflecht gehört beispielsweise ins Portfolio der niedersächsischen Firma. Neue Ansätze mit innovative Materialien und Techniken, die sich teilweise an der Schnittstelle zwischen Kunst und Design bewegen, werden von jüngeren Kreativen wie Florian Borkenhagen, Stefan Werweka und Joop Couwenberg vorangetrieben."" - http://stilwerk.com/de/berlin/brand/tecta, 30.12.2017",kif,,+,http://d-nb.info/gnd/1065286775
73785,Gaius Caecilius Metellus Caprarius,Gaius Caecilius Metellus Caprarius,,,"""Römischer Politiker u. Münzmeister, belegt ca. 125 v. Chr. sowie 113 v. Chr. als Konsul und 102 v. Chr. als Zensor"" - gnd, 21.06.2020",piz,,+,https://d-nb.info/gnd/1183433158
277519,Kunst-Verlag von Adolf Jaene's Papierhandlung,Kunst-Verlag von Adolf Jaene's Papierhandlung,,,"Verlag in Neuruppin, gab Ansichskarten heraus (um 1900)",kif,,+,
339660,Axel Busenkell,Axel Busenkell (1971-),1971,,Deutscher Athletiktrainer,piz,male,+,
273607,Kurhausrestaurant Bad Dürkheim,Kurhausrestaurant Bad Dürkheim,,,Restaurationsbetrieb im Kurhaus Bad Dürkheim,kif,,+,
227599,Kreisbauamt Tuttlingen,Kreisbauamt Tuttlingen,,,Bauamt des Landkreises Tuttlingen.,kio,,+,
