MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
117658,Mahla (Justizrat),Mahla (Justizrat),,,Der Justizrat Mahla war 1911 königlicher Notar im Notariat Bad Dürkheim I,piz,male,,
12625,Konstantin Kwilecki,Konstantin Kwilecki,,,Der Chursächsisch Hof- und Staatskalender für 1794 nennt unter den Obristen einen Johann Constanz Kwilecki.,piz,,+,
19025,Wolfgang Send,Wolfgang Send (1944-),1944,,"""Jahrgang 1944, Physiker. Promotion in theoretischer Gasdynamik Hamburg 1976. Bis Oktober 2009 Strömungsmechaniker beim Deutschen Zentrum für Luft- und Raumfahrt e.V. (DLR) im Institut für Aeroelastik, Göttingen. Langjähriges Arbeitsgebiet war die Instationäre Aerodynamik und Stabilitätsanalyse für moderne Luftfahrzeugkonstruktionen (theoretische Begleitung der Airbus-Entwicklung). Lehrbefähigung für das Höhere Lehramt in Mathematik und Physik. 1985 bis 2003 Zusammenarbeit mit der Arbeitsgruppe Flugbiophysik (Zoologisches Institut) an der Universität Göttingen und Vorlesungen zur Aerodynamik des Tierflugs. 2006 Preisträger des Berblinger Wettbewerbs der Stadt Ulm mit einer Machbarkeitsstudie für einen zweisitzigen Schwingenflieger. 2009 bis 2011 mit einem kleinen Team die Entwicklung von SmartBird. Ab 2011 zunächst eine Machbarkeitsstudie für die Anwendung des Hubflügelgenerators in Luft, danach Forschungs- und Entwicklungsarbeiten bis zur Vorstellung des DualWingGenerator auf der Hannovermesse 2014. Beide Projekte SmartBird und DualWingGenerator fanden statt und wurden voll finanziert im Rahmen des Bionic Learning Network der Festo AG in Esslingen."" (Quelle: http://www.aniprop.de/ueber-uns, besucht 26.06.2016)",piz,male,+,
142640,Hans Winkler (Münzmeister),Hans Winkler (Münzmeister),,,"""Winkler, Hans
Münzmeister aus Bamberg.
Tätig für das Bistum Würzburg/Franken 1454/1455.
Lit.: H. Ruß, Die mittelalterlichen Münzen des Hochstiftes Würzburg (2020) 385. 399 Nr. 661 a."" - https://ikmk.smb.museum/ndp/person/11239?lang=de, 04.11.2021",piz,male,+,
55979,Paul Heinrich Ferdinand Fischmann,Paul Heinrich Ferdinand Fischmann (1837-1907),1837,1907,"24.10.1837-30.01.1907, Kammachermeister in Berlin am Spittelmarkt.",piz,male,+,
208146,Dessauer Druck,Dessauer Druck,,,"Kleine grafische Werkstatt in Bad Bodendorf. 
https://bad-bodendorf.com/dessauer-druck/",kif,,+,
33209,Lina Zwicker,Lina Zwicker,,,Ende der 1920er Jahre vermutlich in Delmenhorst wohnhaft,piz,female,+,
180361,Wilhelm-Georg Schmidt,Wilhelm-Georg Schmidt (1909-1972),1909,1972,Mitarbeiter der Westfälischen Berggewerkschaftskasse. Promotion in Göttingen.,piz,male,+,
202175,Gubener Tuchmacher GmbH,Gubener Tuchmacher GmbH,,,Nachfolgebetrieb des VEB Gubener Wolle,kif,,+,
113733,Kurt Lässig,Kurt Lässig,,,Jacquardkartenschläger in Frankenberg,piz,male,+,
