70769,Kreiskriegerverband Neuhaldensleben,Kreiskriegerverband Neuhaldensleben,,,Verband in Neuhaldensleben,kiz,,,
230545,Josef B. Scholz (Firma),Josef B. Scholz (Firma),,,"Spezialfabrik in Deutschland für geprägte Etiketten und Siegelmarken in Eberfeld bzw. Wuppertal, nachweisbar mindestens 1892-1960
1960: Großdruckerei, Kunstprägeanstalt, Offsetdruckerei",kif,,+,
267859,Alfred Dreger (Druckerei),Alfred Dreger (Druckerei),,,"Druckerei in Berlin-Spandau (nachgewiesen 1935 und 1941)
1941 laut Telefonbuch in Berlin-Spandau, Karl-Schurz-Str. 45, ansässig, Angebotspalette: ""Drucksachen für Gewerbe, Handel, Industrie, Privat"".",kif,,+,
254891,Gottlieb Tannert (Bauer),Gottlieb Tannert (Bauer),,,Bauer und Gemeinde-Ältester in Großschönau (1802 und 1803),piz,male,+,
48495,Druckerei Otto von Holten,Druckerei Otto von Holten,,,Druckerei in Berlin. Nachgewiesen für Zeit um 1900,kif,,+,
56318,"Verlag Haus Neuerburg, Köln","Verlag Haus Neuerburg, Köln",,,Verlag der Zigarettenfabrik Haus Neuerburg. Herausgeber von Sammelbildern.,kif,,+,
277173,Pötzschke,Pötzschke,,,deutscher Maler,piz,male,,
71669,Umkreis des Filippo Napoletano,Umkreis des Filippo Napoletano,,,"Maler aus dem Umkreis des Filippo Napoletano. Filippo Napoletano, eigentlich Filippo d’Angeli (* um 1587 in Rom; † 1629 ebenda), war ein italienischer Maler des 17. Jahrhunderts.",siu,,+,
205630,Höhere Fachschule für Wirkerei- und Strickerei-Industrie Chemnitz und Limbach,Höhere Fachschule für Wirkerei- und Strickerei-Industrie Chemnitz und Limbach,,,"""1923 Vereinigung der ""Höheren Wirkschule in Limbach in Sachsen"" mit der ""Sächsischen Höheren Fachschule für Textilindustrie"" in Chemnitz zur ""Höheren Fachschule für Wirkerie- und Strickereiindustrie Chemnitz und Limbach"", Sitz: Chemnitz; 1938 Umbenennung der vereinigten Schulen Chemnitz und Limbach in ""Höhere Textilschulen Chemnitz und Limbach"""" - gnd, 10.08.2022",kiz,,+,https://d-nb.info/gnd/5054563-2
19807,Gemeindeverwaltung Irxleben,Gemeindeverwaltung Irxleben,,,Gemeindeverwaltung des des bis 2010 eigenständigen Dorfs Irxleben in der Börde,kio,,+,
9635,John Ryan,John Ryan,,,"John Ryan war Senior Animation Director der Firma DESIGNefx, u.a. erschuf er das Maskottchen ""Izzy"" zu den Olympischen Spielen 1996 in Atlanta.",piz,male,+,
47721,Iwanaga Shikô,Iwanaga Shikô,,,Töpfer in Japan,piz,,+,
67614,Dewag Werbung Weißenfels,Dewag Werbung Weißenfels,,,in Weißenfels ansässiges Unternehmen der Werbeindustrie.,kif,,+,
311576,Luise Köhler,Luise Köhler,,,"Frau des Müllers Philipp Jacob Wernz in Dürkheim, Anfang 19.Jh. Witwe",piz,female,+,
40205,Fotoatelier Theodor Kimstädt,Fotoatelier Theodor Kimstädt,,,"Fotoatelier in
- Wittenberg, Mittelstraße 58",kif,,+,
310055,István Rosta,István Rosta (1946-),1946,,"ungarischer Wissenchaftshistoriker, Ingenieur, geb. 12. 10. 1946 Kaposvár.",piz,male,+,
270273,Rich. John (Papierhandlung),Rich. John (Papierhandlung),,,Berliner Papierhandlung und Ansichtskarten-Verlag. Zu Beginn des 20. Jahrhunderts in der Glogauerstr. 21 nachgewiesen.,kif,,+,
133170,Anne Bastard,Anne Bastard,,,"geborene Worsley, 17 Jh.",piz,female,+,
204721,Körner & Proll,Körner & Proll,,,Die Berliner Firma Körner & Proll zählte zu den renommierten Berliner Gold- und Silberschmiedeunternehmen. Es existierte seit dem Jahre 1845 und war durch Franz Eduard Körner und Friedrich Wilhelm Proll gegründet worden. Auf Grund seiner künstlerischen und qualitativ herausragenden Arbeiten war der noch heute existierenden Firma der Titel Hofgoldschmied verliehen worden.,kif,,+,
10770,A. Lagemang (Verlag),A. Lagemang (Verlag),,,Druck und Verlag in Magdeburg,kif,,+,
217182,Friedrich Mauke (Jena),Friedrich Mauke (Jena),,,"Verlag in Jena
""Gründung: 1789 von Joh. Michael Mauke"" - gnd, 25.01.2023
""Verkauf des Verlages: 31.12.1866"" - gnd, 25.01.2023",kif,,+,https://d-nb.info/gnd/107299173X
260864,Constantin Gehlhaar,Constantin Gehlhaar,,,"Zimmermeister in Frankfurt am Main, belegt 1834-1884 (gestorben 1884/85).
Andere Namensform: Constantin Gelhaar.
Quelle: Adressbuch Frankfurt am Main 1834-1884 (1885: Witwe).",piz,male,+,
125118,Mihály Székely (Rechtsanwalt),Mihály Székely (Rechtsanwalt) (1887-),1887,,"Mihály Székely; Kisvárda, 1887-, Rechtsanwalt",piz,male,+,
8945,A. Laumannsche Buchhandlung Dülmen/Westfalen,A. Laumannsche Buchhandlung Dülmen/Westfalen,,,"A. Laumannsche Buchhandlung, Dülmen i. Westf, Ende 19.Jh. Auch als Verlag tätig.",kif,,+,
235399,Johannes Henkel (Schuhmacher),Johannes Henkel (Schuhmacher),,,"Schuhmacher in Rauschenberg (Hessen), Schmaleicherstorstraße",piz,male,+,
557,Magdalena Sybilla von Sachsen-Zeitz,Magdalena Sybilla von Sachsen-Zeitz (1672-1672),1672,1672,"Magdalena Sibylla (* 7. April 1672 auf Schloss Moritzburg in Zeitz; † 20. August 1672 ebd.), Prinzessin von Sachsen-Zeitz; Tochter der Herzogs Moritz aus zweiter Ehe.",pik,female,+,
288037,Jean Chemineau,Jean Chemineau (1916-1964),1916,1964,Französischer Architekt.,piz,male,+,
54299,Verlag H. Klesser (Oldenburg),Verlag H. Klesser (Oldenburg),,,Verlag in Oldenburg.,kif,,+,
132554,Georg Adolf von Hohenlohe-Schillingsfürst,Georg Adolf von Hohenlohe-Schillingsfürst,,,Aus der Familie Hohenlohe-Schillingsfürst.,pik,male,+,
123470,Marquis Roger de Meyran de Lagoy,Marquis Roger de Meyran de Lagoy (1789-1860),1789,1860,"""Numismatiker"" - gnd, 18.08.2024",piz,male,+,http://d-nb.info/gnd/139423087
66697,Karl Hermann von Ehrenstein,Karl Hermann von Ehrenstein (1837-1899),1837,1899,"""Karl Hermann von Ehrenstein
19.8.1837 Dresden - 31.10.1899 Sibyllenort (Szczodre) in Schlesien
beruflicher Titel, Amtsbezeichung, Dienstgrad: Generalleutnant
beruflicher Titel, Amtsbezeichung, Dienstgrad: Kgl. Oberstallmeister
- 1876 erster Nachweis in Dresden als Major beim Garde-Reiterregiment
- 1890 Generalmajor der Kavallerie a. D. und Königlicher Oberstallmeister"" - http://sammlungsdatenbank-museen-dresden.de/de/entitySearch?artId=50580, 30.03.2019",piz,male,+,
19056,Ludwig Kretschmer,Ludwig Kretschmer (-1845),,1845,"Ludwig Kretschmer, gest. 2. Febr. 1845 in Kirchberg an der Jagst, OT Lendsiedel, pensionierter Hauptmann der Kgl. Bayerischen Armee, Verfasser militärischer Schriften, Maler",piz,male,+,
332526,Emil Johann Frey (Regierungsrat),Emil Johann Frey (Regierungsrat),,,"Schweizer Offizier, Landschreiber, Redaktor, Diplomat. Direktor Int. Büro Telegraphenunion. Regierungsrat und Bundesrat für die FDP.",piz,male,+,
74641,Hermann Wildt (Buchhändler),Hermann Wildt (Buchhändler),,,"Buchhändler aus Stuttgart, belegt Ende des 19. Jahrhunderts.",piz,male,+,
202910,Georg Huebner,Georg Huebner,,,"""Huebner, Georg
Münzwardein in Breslau um 1650.
Signiert mit GH."" - https://ikmk.smb.museum/ndp/person/3210, 21.05.2022",piz,,+,
198732,Magnus Herrmann,Magnus Herrmann (1817-1894),1817,1894,"Banker und Kunstsammler in Belin
Bei dem Bankier Magnus Herrmann aus Berlin handelt es sich um einen Freund Menzels, der auch eine Reihe von Werken in Auftrag gab. Er war auch Realitätenbesitzer in Hofgastein.",piz,male,+,
278720,Louis Hermsdorf (Färberei),Louis Hermsdorf (Färberei),,,"Färberei in Chemnitz, Louis Hermsdorf, der Inhaber und Begründer der Firma gilt als der bedeutendste „Echt-Schwarz-Färber“ der Welt",kif,,,
19244,Manzanillo (Kuba),Manzanillo (Kuba),,,Kubanische Landmaschinenfirma,kif,,+,
70478,"Cencin, Vincenzo",Vincenzo Cencin (1925-2010),1925,2010,"""Vincenzo Cencin (Veneza, Itália 1925 - São Paulo SP 2010). Pintor e engenheiro.[...]"" - http://enciclopedia.itaucultural.org.br/pessoa8684/vincenzo-cencin",piz,,+,
311193,Pécsi Tudományegyetem Nemzetközi Igazgatóság,Pécsi Tudományegyetem Nemzetközi Igazgatóság,,,"A Pécsi Tudományegyetem Nemzetközi Igazgatósága felel az egyetem nemzetközi kapcsolatainak fejlesztéséért, a külföldi hallgatók támogatásáért és a nemzetközi mobilitási programok koordinálásáért. Célja, hogy elősegítse az intézmény globális jelenlétét és támogassa a nemzetközi együttműködéseket.",kio,,+,
75016,Athanasios Tzandalis,Athanasios Tzandalis (1894-),1894,,"Athanasios Tzandalis, geboren 1894 in Ahmetbey, war ein türkischer Hirte, der während des Ersten Weltkriegs im Kriegsgefangenenlager Görlitz interniert war.",piz,male,+,
301236,Ionia S.P.A.,Ionia S.P.A.,,,"Ionia S.p.A. ist ein italienisches Kaffeeunternehmen mit Sitz in Santa Venerina, Sizilien. Gegründet wurde es 1960 unter dem Namen „Torrefazione Ionia di Ottani Rossana“ in Giarre. Seit 1975 produziert das Unternehmen in Santa Venerina Espresso-Kaffee, der weltweit exportiert wird.",kif,,+,
170638,Claus-Henning Ammann,Claus-Henning Ammann (1954-),1954,,Erster Vorsitzender des Krankenhausmuseum Bielefeld e.V.,piz,male,+,
187784,Maria Haffke,Maria Haffke,,,Lehrerin in Bodendorf,piz,female,+,
339620,Margaretha Antonia Hölzl,Margaretha Antonia Hölzl,,,"Deutsche Malerin, tätig in Ingolstadt. Vor 1747 verehelicht mit dem Maler Johann Evangelist Hölzl (nach älteren Angaben Tochter von dessen Bruder Felix H.). Porträt- und Historienmalerin, um 1767 gerühmt für Muttergottes-Bilder.",piz,female,+,https://d-nb.info/gnd/129272787
17146,Glass,Glass (Firma),,,Hersteller u.a. von Entkernern,kif,,+,
184480,Eckart-Verlag,Eckart-Verlag,,,Verlag in Berlin - Steglitz. Nachgewiesen für Zeit um 1930.,kif,,+,
271367,Christophel Jacob de Weys,Christophel Jacob de Weys (1743-1813),1743,1813,"Iserlohner Uhrmacher, reformiert; V: Quirin de Weys (Kauf- und Handelsmann aus Amsterdam), M: NN; verheiratet mit Catharina Maria Elisabeth Quincke (* 1742)
geboren in Amsterdam, gestorben in iserlohn ca. 1813",piz,male,+,
282027,Hans Dahl,Hans Dahl (1849-1937),1849,1937,Norwegischer Landschafts- und Genremaler,piz,male,+,https://d-nb.info/gnd/117617091
274812,Otto Wandl (Fotoatelier/Verlag),Otto Wandl (Fotoatelier/Verlag),,,"Berliner Fotoatelier/Verlag, um 1900.",kif,,+,
201515,Fotoatelier Franjo Svirčević,Fotoatelier Franjo Svirčević,,,"Fotoatelier in
- Ossijek, Kapucinsca Utca Br. 16",kif,,+,
264952,A. M. Prochorow,A. M. Prochorow,,,1981 nachgewiesen als Wörtberbuchautor,piz,,,
350274,Gebrüder Jänecke Druck- und Verlagshaus,Gebrüder Jänecke Druck- und Verlagshaus,,,"Druckerei in Hannover
Am 12.10.1827 eröffneten die Brüder Friedrich und Christian Jänecke eröffnen in der Rademacherstraße eine Buchdruckerei. 1927 verfasste Martin Frehsee (Berlin) den Text und und Walter Schacht (Hannover) die Zeichnungen und den Entwurf zum Werk: ""Gebrüder Jänecke Druck- und Verlagshaus Hannover - Rückblick und Entwicklung Festschrift zur Hundertjahrfeier des Hauses Gebrüder Jänecke"". 
https://d-nb.info/gnd/1303060-7",kif,,+,https://d-nb.info/gnd/1303060-7
73930,Brikettfabrik Knappenrode,Brikettfabrik Knappenrode,,,"""Von 1918 bis zur Stilllegung 1993 wurden in der Brikettfabrik Werminghoff (später: Knappenrode) Briketts aus Rohbraunkohle produziert. Die Pressen waren teils elektrisch, teils mit Dampfmaschinen angetrieben. Zur Versorgung der Pressen und Trockner mit Dampf und Elektroenergie verfügte die Fabrik über ein eigenes Kesselhaus und Kraftwerk.

Bis 1946 galt die Fabrik als modernste Brikettfabrik Deutschlands. Nach der Schließung blieben die imposante Backsteinarchitektur, die fast vollständig eingerichtete Brikettfabrik mit einer lückenlosen Folge dampfbetriebener Brikettiertechnik erhalten"" - Wikipedia über Energiefabrik Knappenrode, 06.04.2021",kif,,,
63016,Graphisches Institut Oscar Fürstenau,Graphisches Institut Oscar Fürstenau,,,Leipziger Verlag,kif,,+,
271886,Verlag Benno Michaelis,Verlag Benno Michaelis,,,Der Verlag Benno Michaelis veröffentlichte um 1900 Ansichtskarten in Berlin.,kif,,+,
225950,Klaus Eberhardt (Maler),Klaus Eberhardt (Maler) (1954-),1954,,"Geboren wurde er 1954 in Delmenhorst, wo er auch aufwuchs, ehe er an die Hochschule für Bildende Kunst in Braunschweig zum Studieren ging. Dort lernte er bei Malte Sartorius und war von 1974 bis 1980 Meisterschüler. Aus dieser Zeit stammen auch Eberhardts frühere Werke, in denen er noch fotorealistisch gearbeitet hat. Er malte Filmszenen oder Fotografien nach, etwas, was ihn auf Dauer aber nicht zufrieden stellte. ""Fotorealistische Bilder sind im Prinzip einfach zu machen, sie sind sehr plakativ"", findet der Künstler. Später ging er dann über zum Hyper-Realismus – weg von dem Plakativen, hin zu Bildern, die so detailgenau waren, dass man sogar Adern und Hautstrukturen erkennen konnte.

https://www.weser-kurier.de/stadt-delmenhorst/der-grosse-unbekannte-doc7e4iebhc8mw49ikd1s7 (Stand: 22.04.2023)",piz,male,+,https://d-nb.info/gnd/1150649399
