MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
56073,Stuttgarter Lebensversicherung AG,Stuttgarter Lebensversicherung AG,,,Versicherungsgesellschaft,kif,,+,
34764,Karl Heinrich Nagel,Karl Heinrich Nagel,,,"""Eröffnete seine medizinisch-homöopathische Praxis zu Halberstadt nach dem Abgang von Dr. Fielitz im Jahr 1839."" - gnd, 29.12.2017

""Nagel (Carl Heinrich), Arzt zu Halberstadt seit 1841, Med. Dr. Berol. 1835; geb. in Brandenburg n. practicirte seit 1835 zu Magdeburg. 22. D. inaug. de tussi convulsiva; q. def. d. 4 Novbr. Berol. (Leipz. Weigel). 1835. 8. 32 S. (3 Gr.)"" - Callisen, Adolph Carl Peter, ""Medicinisches Schriftsteller-Lexicon der jetzt lebenden Verfasser. Einunddreissigster Band. N-Rop."" Copenhagen, 1843, Nachtrag. Fortsetzung zum dreizehnten Bande, S. 5",piz,male,+,http://d-nb.info/gnd/1029955883
45685,"Biener, Adolfo",Adolfo Biener,,,"""Adolfo Biener was a photographer and post card publisher working in Guatemala from around 1915 until 1930’s. He is best known for his color cards and photographs. After taking an underdeveloped black and white image, he would hand-color a master copy, then print the colored photograph, giving a vivid colored image to these romantic photographs."" - https://archivolal.tulane.edu/?p=collections/controlcard&id=110, 26.03.2019",piz,male,+,
286599,Oskar Winneberger,Oskar Winneberger,,,Direktor der Adlerstycht-(Real-)Schule in Frankfurt am Main (nachgewiesen 1905),piz,male,+,
132527,Philipp David von Kircheim,Philipp David von Kircheim (1653-1682),1653,1682,"""Freiherr aus dem Elsaß; Student in Straßburg; Jurist; Amtmann zu Brumath; Hanauischer Geheimer Rat; am 21. Juni 1682 auf der Reise aus Frankreich ermordet zwischen St. Menehoude und Clairemont worden, im Alter von 29 Jahren und 5 Monaten"" - gnd, 13.01.2021",piz,male,+,https://d-nb.info/gnd/100929923
42623,Ernst Retemeyer,Ernst Retemeyer,,,"Deutscher Zeichner, (WBI gibt als Geburtsjahr 1890 an). (GND, 16.01.2019)",piz,male,+,http://d-nb.info/gnd/102291328X
241328,Roman Streisand (Senftenhütte),Roman Streisand (Senftenhütte),,,"""Instrumentenbauer, Mittelaltermarkt-Organisator und Dudelsackspieler Roman Streisand aus dem brandenburgischen Senftenhütte"" - https://www.ostfolk.de/bands/spilwut/, 19.01.2026",piz,male,+,
154256,Fotoatelier Georg Wiehe,Fotoatelier Georg Wiehe,,,"Fotoatelier in
- Ludwigshafen/Rh.",piz,,+,
277096,4. Armee (Österreich-Ungarn),4. Armee (Österreich-Ungarn),,,österreich-ungarischer Truppenverband,kio,,,
228845,Fotoatelier C. Hübel,Fotoatelier C. Hübel,,,"Fotoatelier in
- Neisse",kif,,+,
