ID,Name,PrefName,Geboren,Gestorben,Anmerkung,Typ,Geschlecht,Status,GND
127292,Töpferzunft Ziesar,Töpferzunft Ziesar,,,"Zunft der Töpfer zu Ziesar, nachgewiesen 1771-1779",kiz,,+,
66332,Heinrich Carl Tölcke,Heinrich Carl Tölcke (-1792),,1792,"""Hofinstrumentenbauer für Holzblasinstrumente in Braunschweig nach 1760"" - gnd, 06.06.2019",piz,male,+,http://d-nb.info/gnd/103515921X
263863,Ernst W. Maiwald,Ernst W. Maiwald,,,"Kaufmann, später Studium d. Volkswirtschaft u. d. Staatsrechts, 1921 Promotion, war für den Werberat der Deutschen Wirtschaft tätig und leitete gleichzeitig als stellvertretender Reichskommissar die deutsche Abteilung auf der Pariser Weltausstellung, seit 1935 Hauptgeschäftsführer des Ausstellungsvereins 'Große Ausstellung Düsseldorf-Schlageterstadt 1937 für Städtebau, Siedlung, Gartengestaltung, Kunsthandwerk und Gewerbe e.V.' (später 'Schaffendes Volk, Große Ausstellung Düsseldorf-Schlageterstadt 1937'), nach dem Krieg Organisation weiterer Ausstellungen im In- und Ausland 
https://d-nb.info/gnd/1123217238",piz,male,+,https://d-nb.info/gnd/1123217238
282525,Ingeborg Janosch,Ingeborg Janosch,,,Lehramtsstudentin an der Pädagogischen Hochschule Alfeld; sie studierte dort zwischen 1950 und 1970,piz,female,+,
331071,Christoph Krentzer,Christoph Krentzer,,,"Uhrmacher, hatte eine Leipziger Werkstatt, welche 1727-1730 belegbar ist.",piz,male,+,
192989,Schaffgotsch (Adelsgeschlecht),Schaffgotsch (Adelsgeschlecht),,,"Die Grafen Schaffgotsch sind ein altes schlesisches Adelsgeschlecht mit einer erloschenen Linie in Böhmen, welches ursprünglich den Namen Scof (Schaf, nach der Helmzier ihres Wappens) trug und aus Franken kam.

Die Scof zählten seit dem 16. Jahrhundert zu den größten Grundbesitzern Schlesiens und brachten Generäle, Bischöfe und Unternehmer hervor. Der Leitname „Gotsche“ (Gotthard) wurde später dem Familiennamen angehängt.[1]",pif,,+,
49888,Pieter Pieterszon van Dyck,Pieter Pieterszon van Dyck,,,Kupferstecher. Nachgewiesen für 1683.,piz,male,+,
149474,Fotoatelier W. Beermann,Fotoatelier W. Beermann,,,"Fotoatelier in
- Gleiwitz, Kronprinzen-Straße 90",kif,,+,
23684,Export-Import Bank Warna,Export-Import Bank Warna,,,"Bank mit Spezialisierung auf internationale Handelsgeschäfte, belegt 1909",kif,,+,
24141,Engelhardt (Mühlenbesitzer),Engelhardt (Mühlenbesitzer),,,Um 1902 Mühlenbesitzer in Ammelstedt,piz,,+,
59471,Charecaucius,Charecaucius,,,"""Merowingischer Monetar in Friesland ca. 600-675.
Zum Monetarnamen Charecaucius s. E. Felder, Die Personennamen auf den merowingischen Münzen der Bibliothèque nationale de France (2003) 170. 202."" - https://ikmk.smb.museum/object?id=18208246, 18.02.2019",piz,,+,
128167,Claude Savary,Claude Savary,,,1622/1642. Verleger in Frankreich.,piz,male,+,
313803,Robert Fricke (Architekt),Robert Fricke (Architekt),,,"Architekt in Wuppertal-Elberfeld, erwähnt 1929 und 1938",piz,male,+,
269994,Anneliese Weiß,Anneliese Weiß (1915-2006),1915,2006,"geb. Hartke, Lehrerin, Geburtsort Enger, Wirkungsort Minden",piz,female,+,
38498,Ephraim Gottlieb Gutsche,Ephraim Gottlieb Gutsche (1749-),1749,,"""Gymnasium Zittau; Jurastudium in Leipzig; Maler"" - gnd, 10.07.2021",piz,male,+,http://d-nb.info/gnd/1165242680
287727,Reinhold Klüser,Reinhold Klüser (1913-),1913,,Reinhold Klüser (*1913 in Essen) war ein deutscher Architekt.,piz,male,+,
35750,W. von d. Borch,W. von der Borch,,,Schlesische Zeichnerin. Nachgewiesen Ende 18. Jh. in Berlin und Breslau. Porträtzeichnerin.,piz,female,+,http://d-nb.info/gnd/1137217103
350098,Gesellschaft der Freunde und Förderer für ein Deutsches Krankenhausmuseum e.V.,Gesellschaft der Freunde und Förderer für ein Deutsches Krankenhausmuseum e.V.,,,Förderverein in Oldenburg (nachgewiesen 1977-1991),kiz,,,
32095,L. Bisch (Lithograf),L. Bisch (Lithograf),,,"Französischer Lithograf, Wirkungsdaten: 1846-1867",piz,,+,http://d-nb.info/gnd/1050424883
262321,Oskar Dahlke,Oskar Dahlke (1914-1998),1914,1998,deutscher Fotograf und Künstler in Berlin,piz,male,+,https://d-nb.info/gnd/1207557137
117274,Fotoatelier Metropol,Fotoatelier Metropol,,,"Fotoatelier in
- Brno",kif,,+,
141414,Paul von Pola,Paul von Pola,,,"Este, der im ersten Weltkrieg als Gefangener in Ohrdruf festgehalten wurde, wo von ihm Tonaufzeichnungen angefertigt wurden.",piz,male,+,
30102,Karl Stein (Müllerschüler),Karl Stein (Müllerschüler),,,Schüler der Deutschen Müllerschule in Dippoldiswalde. Nachweis für 1899.,piz,male,+,
301097,Certified International Corporation,Certified International Corporation,,,"Certified International Corporation (CIC) ist ein 1942 in New York gegründetes US-amerikanisches Unternehmen, das sich auf die Herstellung und den Vertrieb von Haushaltswaren, insbesondere Geschirr, Besteck und Küchenaccessoires, spezialisiert hat. Das Unternehmen vertreibt seine Produkte unter verschiedenen Marken über den Einzelhandel und den Gastronomiesektor. Der Hauptsitz befindet sich in Pleasantville, New York.",kif,,+,
227697,"Hotel- und Gaststättenverband e.V., Kreisstelle Tuttlingen im Bergland Junge Donau","Hotel- und Gaststättenverband e.V., Kreisstelle Tuttlingen im Bergland Junge Donau",,,Regionaler Verband (nachgewiesen 1983),kiz,,+,
13662,Chiron (Figur in Goethes Faust),Chiron (Figur in Goethes Faust),,,Figur in Goethes Faust,pxl,,+,
312341,Georg Kummer's Verlag,Georg Kummer's Verlag,,,"1909 in Leipzig gegründeter und ansässiger Verlag. Nach 1945 bestand keine Verlagstätigkeit mehr. (gnd, 24.03.2025)",kif,,+,https://d-nb.info/gnd/1056899352
167176,Friedrich Wilhelm Heinrigs,Friedrich Wilhelm Heinrigs (1819-1856),1819,1856,Stellte um 1850 einen Stadtplan von Köln her.,piz,male,+,
340831,Elli Lisser,Elli Lisser (1883-1943),1883,1943,"Elli Lisser war eine deutsche Fotografin, die ab 1916 ein eigenes Atelier in der Kaiserallee 26 in Berlin betrieb. 1943 wurde sie in das KZ Auschwitz deportiert, wo sie ermordet wurde. 

Quelle: https://www.stolpersteine-berlin.de/de/duppelstr/32/elly-lisser [Abruf: 18.12.2025]",piz,female,+,
73999,VVB Braunkohle,VVB Braunkohle,,,Braunkohle-Unternehmen in der ehemaligen DDR.,kif,,+,
